dataset,rank,families,K,lambda,nonidentical,score,selection_loglik_train,active_counts,refit_pi
parkinsons,1,gaussian+gaussian+student_t,3,10,True,3088.04387857383,-1309.70348313358,"[17, 15, 13]","[0.3278143476504179, 0.26935446745996505, 0.402831184889617]"
parkinsons,2,gaussian+student_t+student_t,3,20,True,3093.62144605521,-1316.83149754378,"[12, 17, 14]","[0.30645228701453703, 0.2770851329135465, 0.4164625800719166]"
parkinsons,3,gaussian+student_t+skew_normal,3,5,True,3109.34989468387,-1302.99956851058,"[17, 14, 17]","[0.2731307722090132, 0.40504577083164284, 0.32182345695934395]"
parkinsons,4,student_t+skew_normal+skew_normal,3,20,True,3112.66263833192,-1317.67363234312,"[16, 11, 17]","[0.40783292672132243, 0.3189042247716048, 0.2732628485070729]"
parkinsons,5,student_t+student_t+student_t,3,5,False,3120.14151106758,-1304.05614603292,"[17, 14, 17]","[0.27125858764506344, 0.40373665366429096, 0.3250047586906456]"
parkinsons,6,student_t+student_t+skew_normal,3,0.25,True,3123.30801501424,-1292.62170599774,"[17, 17, 17]","[0.27106268991457483, 0.41749908925110557, 0.31143822083431966]"
parkinsons,7,gaussian+gaussian+gaussian,3,0.25,False,3617.5567824528,-1552.76378172554,"[17, 17, 17]","[0.5831735608084689, 0.16679935084674785, 0.25002708834478327]"
parkinsons,8,skew_normal+skew_normal+skew_normal,3,5,False,3646.76210173384,-1554.34874935754,"[17, 17, 17]","[0.1764222717546726, 0.25694116474552464, 0.5666365634998026]"
parkinsons,9,gaussian+gaussian+skew_normal,3,20,True,3727.43198274285,-1629.39753521809,"[12, 16, 17]","[0.08703498299405416, 0.44642126769610657, 0.46654374930983916]"
parkinsons,10,gaussian+skew_normal+skew_normal,3,20,True,3735.94593198987,-1629.31527917209,"[17, 16, 12]","[0.4652624229902996, 0.08767227167347756, 0.4470653053362229]"
rand,1,poisson+nb2,2,20,True,7949.54540315217,-3809.76265178615,"[24, 10]","[0.8374745919769823, 0.16252540802301765]"
rand,2,poisson+zinb,2,20,True,7959.19278703801,-3810.24397399776,"[24, 10]","[0.8405764692756613, 0.15942353072433874]"
rand,3,zinb+zinb,2,20,False,7966.65901943714,-3805.2923507347,"[24, 10]","[0.8752986144613654, 0.12470138553863462]"
rand,4,nb2+zip,2,20,True,7967.81653243241,-3810.21347696365,"[10, 25]","[0.19516792337670416, 0.8048320766232959]"
rand,5,nb2+nb2,2,20,False,7971.3802565097,-3811.99533900229,"[27, 8]","[0.8766214997776818, 0.12337850022231821]"
rand,6,zip+zinb,2,20,True,7976.22876074715,-3810.0772213897,"[25, 10]","[0.810109074591945, 0.1898909254080549]"
rand,7,nb2+zinb,2,20,True,8000.35868852026,-3804.772706351,"[29, 10]","[0.8783507018429891, 0.12164929815701081]"
rand,8,poisson+zip+zinb,3,20,True,8007.78493198727,-3808.4858280845,"[24, 4, 9]","[0.804304825780771, 0.04972897949390608, 0.1459661947253229]"
rand,9,poisson+poisson+zinb,3,20,True,8012.2225990965,-3810.70466163912,"[25, 3, 10]","[0.7941577694918917, 0.062415586559596184, 0.1434266439485122]"
rand,10,poisson+zinb+zinb,3,20,True,8024.28247920143,-3825.41934115421,"[24, 5, 5]","[0.8154058118676047, 0.04665601039910869, 0.13793817773328662]"
