dataset,split_id,model_class,families,K,lambda,bic,test_loglik,n_test,log_score,rmse,mae,active_counts
parkinsons,0,"Identical, K>1",student_t+student_t+student_t,3,5,1561.97072132193,-1565.98838151737,1132,-1.38338196247117,0.464246531682102,0.414268663962265,"[16, 17, 17]"
parkinsons,0,K=1,student_t,1,20,3812.8765514595,-1001.13194147465,1132,-0.884392174447567,0.471826684960391,0.427188281057821,[15]
parkinsons,0,Non-identical,gaussian+gaussian+student_t,3,20,1371.86106271125,-1893.78151416863,1132,-1.67295186764013,0.467817323478746,0.423035268507331,"[14, 16, 16]"
parkinsons,1,"Identical, K>1",student_t+student_t+student_t,3,20,133.86462992445,-2735.98481002866,1133,-2.41481448369697,0.660999037007749,0.581137110649697,"[15, 16, 16]"
parkinsons,1,K=1,gaussian,1,0.1,1913.55686158611,-2506.06407062555,1133,-2.21188355748063,0.654408123325178,0.56789095612601,[17]
parkinsons,1,Non-identical,gaussian+student_t+student_t,3,20,140.311498341139,-2750.29226650918,1133,-2.42744242410342,0.662701028563289,0.583699512471379,"[17, 15, 15]"
parkinsons,2,"Identical, K>1",student_t+student_t+student_t,3,2,708.228642762766,-2622.07108060379,1146,-2.28802014014292,0.616100979119485,0.490588788105842,"[17, 17, 17]"
parkinsons,2,K=1,gaussian,1,10,2457.67286492575,-2261.29231855195,1146,-1.97320446645022,0.651982072983961,0.520686946847062,[16]
parkinsons,2,Non-identical,gaussian+student_t+student_t,3,1,682.118596843151,-2582.09221213797,1146,-2.25313456556542,0.618137800226841,0.489415134909443,"[17, 17, 17]"
parkinsons,3,"Identical, K>1",gaussian+gaussian+gaussian,3,5,1415.79021084111,-1758.9373876068,1257,-1.39931375306826,0.496351200241281,0.409258471619942,"[16, 17, 16]"
parkinsons,3,K=1,student_t,1,10,3606.40614958876,-1184.38487063348,1257,-0.94223140066307,0.520266380540023,0.427868637617659,[16]
parkinsons,3,Non-identical,gaussian+gaussian+skew_normal,3,10,1388.99592187096,-1797.72324369828,1257,-1.43016964494692,0.496946903886411,0.410066360396718,"[16, 17, 14]"
parkinsons,4,"Identical, K>1",student_t+student_t+student_t,3,20,2425.18887261171,-448.722036917707,1130,-0.397099147714785,0.346052712615473,0.301986887004093,"[16, 13, 16]"
parkinsons,4,K=1,student_t,1,0.1,4321.33264499023,-585.675731251226,1130,-0.51829710730197,0.383763981041811,0.331522597602169,[17]
parkinsons,4,Non-identical,gaussian+student_t+student_t,3,20,2439.290793704,-797.968210707501,1130,-0.706166558148231,0.383657030014565,0.338598423862562,"[16, 14, 16]"
rand,0,"Identical, K>1",nb2+nb2+nb2,3,20,6332.01862092122,-835.016762742672,1182,-0.706443961711229,5.37990299904272,1.16915256125025,"[11, 5, 16]"
rand,0,K=1,nb2,1,20,6699.51215618881,-1157.54753481259,1182,-0.979312635205237,3.78965469379248,0.991890598765181,[33]
rand,0,Non-identical,poisson+nb2,2,20,6335.37473938336,-834.829983722301,1182,-0.706285942235449,3.78438442629104,0.977904732806087,"[26, 12]"
rand,1,"Identical, K>1",nb2+nb2,2,20,6474.18401539531,-757.493701550079,1182,-0.640857615524601,4.00612405435598,0.839058946770746,"[29, 6]"
rand,1,K=1,nb2,1,20,6841.41039088567,-820.515897917067,1182,-0.694175886562662,4.05924925084407,0.898542060013808,[28]
rand,1,Non-identical,poisson+nb2,2,20,6452.05003232298,-754.628345455318,1182,-0.638433456391978,4.01962932490576,0.854028981176715,"[27, 8]"
rand,2,"Identical, K>1",nb2+nb2,2,20,6487.464418055,-738.860012520481,1182,-0.625093073198377,2.20539058154535,0.757420464412016,"[27, 6]"
rand,2,K=1,nb2,1,20,6860.46487133162,-821.681941719695,1182,-0.695162387241705,2.2302681589845,0.776499869696707,[30]
rand,2,Non-identical,poisson+nb2,2,20,6476.5875565649,-740.917258784343,1182,-0.626833552271018,2.2226259974482,0.7805407911487,"[25, 8]"
rand,3,"Identical, K>1",nb2+nb2,2,20,6353.82807566494,-790.113122704312,1182,-0.668454418531567,2.62667983819427,0.841814879669061,"[27, 10]"
rand,3,K=1,nb2,1,20,6752.50114891331,-878.105863175684,1182,-0.742898361400748,2.64985328311954,0.875769681907101,[31]
rand,3,Non-identical,poisson+nb2,2,20,6333.79122294337,-797.580918886143,1182,-0.674772351003505,2.65067473784092,0.857334638564811,"[23, 15]"
rand,4,"Identical, K>1",zinb+zinb,2,20,6427.47301043718,-777.003572967577,1182,-0.65736342890658,2.35482706143125,0.782496807389064,"[24, 10]"
rand,4,K=1,nb2,1,20,6797.24408382819,-844.314360360663,1182,-0.714309949543708,2.36538593053878,0.811150423266658,[28]
rand,4,Non-identical,poisson+nb2,2,20,6405.58639729885,-779.437545619397,1182,-0.659422627427578,2.35753599705688,0.788060262359175,"[24, 10]"
