dataset,component,feature_index,feature,screening_frequency,selection_frequency,selected_in_full_fit
parkinsons,0,1,age,1,1,True
parkinsons,0,2,sex,1,0.998,True
parkinsons,0,3,test_time,1,0.996,True
parkinsons,0,4,Jitter(%),1,0.954,True
parkinsons,0,5,Jitter(Abs),1,0.99,True
parkinsons,0,6,Jitter:RAP,1,0.974,True
parkinsons,0,7,Jitter:PPQ5,1,0.946,True
parkinsons,0,8,Shimmer,1,0.912,True
parkinsons,0,9,Shimmer(dB),1,0.92,True
parkinsons,0,10,Shimmer:APQ3,1,0.954,True
parkinsons,0,11,Shimmer:APQ5,1,0.92,True
parkinsons,0,12,Shimmer:APQ11,1,0.968,True
parkinsons,0,13,NHR,1,0.982,True
parkinsons,0,14,HNR,1,0.994,True
parkinsons,0,15,RPDE,1,0.99,True
parkinsons,0,16,DFA,1,0.996,True
parkinsons,0,17,PPE,1,0.99,True
parkinsons,1,1,age,1,1,True
parkinsons,1,2,sex,1,1,True
parkinsons,1,3,test_time,1,0.996,True
parkinsons,1,4,Jitter(%),1,0.908,True
parkinsons,1,5,Jitter(Abs),1,0.968,True
parkinsons,1,6,Jitter:RAP,1,0.922,True
parkinsons,1,7,Jitter:PPQ5,1,0.892,True
parkinsons,1,8,Shimmer,1,0.856,True
parkinsons,1,9,Shimmer(dB),1,0.89,False
parkinsons,1,10,Shimmer:APQ3,1,0.914,True
parkinsons,1,11,Shimmer:APQ5,1,0.85,True
parkinsons,1,12,Shimmer:APQ11,1,0.948,True
parkinsons,1,13,NHR,1,0.958,True
parkinsons,1,14,HNR,1,0.998,True
parkinsons,1,15,RPDE,1,0.996,True
parkinsons,1,16,DFA,1,1,True
parkinsons,1,17,PPE,1,0.996,False
parkinsons,2,1,age,1,1,True
parkinsons,2,2,sex,1,1,True
parkinsons,2,3,test_time,1,1,True
parkinsons,2,4,Jitter(%),1,0.982,True
parkinsons,2,5,Jitter(Abs),1,0.992,True
parkinsons,2,6,Jitter:RAP,1,0.986,True
parkinsons,2,7,Jitter:PPQ5,1,0.982,False
parkinsons,2,8,Shimmer,1,0.96,True
parkinsons,2,9,Shimmer(dB),1,0.966,False
parkinsons,2,10,Shimmer:APQ3,1,0.976,False
parkinsons,2,11,Shimmer:APQ5,1,0.974,False
parkinsons,2,12,Shimmer:APQ11,1,0.968,True
parkinsons,2,13,NHR,1,0.994,True
parkinsons,2,14,HNR,1,1,True
parkinsons,2,15,RPDE,1,0.998,True
parkinsons,2,16,DFA,1,1,True
parkinsons,2,17,PPE,1,0.99,True
rand,0,1,coins,1,0.842,True
rand,0,2,tookphys,0.936,0.42,False
rand,0,3,black,1,0.878,True
rand,0,4,income,0.95,0.352,False
rand,0,5,xage,1,1,True
rand,0,6,female,1,0.988,True
rand,0,7,educdec,0.798,0.588,True
rand,0,8,time,0.944,0.568,True
rand,0,9,num,1,0.2,False
rand,0,10,mhi,1,0.642,True
rand,0,11,disea,1,0.882,True
rand,0,12,physlm,1,0.54,False
rand,0,13,ghindx,1,0.372,False
rand,0,14,mdeoff,1,0.086,False
rand,0,15,pioff,1,0.362,False
rand,0,16,child,1,0.91,True
rand,0,17,fchild,1,0.12,False
rand,0,18,lfam,1,0.306,False
rand,0,19,lpi,0.994,0.282,False
rand,0,20,idp,0.652,0.322,True
