example_id,n,Strict_Selection_Rate,Oracle_Eq_Selection_Rate,BIC_is_Best_Pred_Rate,In_Sample_LL_Selected,In_Sample_LL_Oracle,Test_LL_Selected,Test_LL_Oracle,Top10_BIC_Inclusion_Rate,Top10_PRED_Inclusion_Rate
1,500,0.75,0.75,0.23,-913.033914329679,-917.310349176654,-1.86830943214646,-1.87953938445371,1,1
1,1000,0.96,0.96,0.27,-1841.35225644952,-1851.18292651562,-1.85361066643273,-1.86697257649393,1,0.99
1,1500,0.99,0.99,0.26,-2766.30772831643,-2781.86032745653,-1.85256964787377,-1.86684771921536,1,0.98
2,500,0.56,0.56,0.47,-551.728083294098,-556.763841143829,-1.13261384527958,-1.14098191840233,1,0.98
2,1000,0.68,0.68,0.57,-1122.06074341635,-1128.94950909035,-1.13141338591858,-1.13853355108877,0.98,0.98
2,1500,0.81,0.81,0.61,-1679.73785688557,-1691.16594364525,-1.12437449908166,-1.13254060105928,0.95,0.95
3,500,0,0.48,0.42,-1348.67782023973,-1365.12839011028,-2.72435850667424,-2.75850380467394,1,1
3,1000,0,0.88,0.69,-2695.05322848711,-2733.30196405207,-2.70977145302197,-2.75018849789307,1,1
3,1500,0,0.98,0.72,-4048.82635141171,-4109.04853363318,-2.70538717418617,-2.74662217232939,1,1
4,500,1,1,0.29,-1206.0746721297,-1206.10829672412,-2.44363499119198,-2.44423628049407,1,1
4,1000,0.99,0.99,0.23,-2423.18795536485,-2423.35698625496,-2.43579537455581,-2.43622225936993,1,1
4,1500,0.99,0.99,0.18,-3642.14115432164,-3642.22323761146,-2.43294546557296,-2.43300601936638,1,1
