example_id,n,method,Mean_Abs_Bias,Mean_SE,SE_Success,Coverage,CI_Length,Parameter_RMSE,Coverage_MCSE,Replicates
1,500,louis,0.07518572455302,0.0926076336149163,1,0.937,0.363015253157434,,,
1,1000,louis,0.0521232379472093,0.0648016222820672,1,0.948,0.25401769162524,,,
1,1500,louis,0.0438873040492731,0.0543755945511099,1,0.952,0.213148413916256,,,
2,500,louis,0.0420200939796333,0.043669215160493,1,0.9368,0.171180177895394,0.106441984765415,0.0050895310838334,500
2,1000,louis,0.0246500085939988,0.0310100912193735,1,0.9442,0.121557323894548,0.0379647094346249,0.0032732473625733,500
2,1500,louis,0.0204390594406958,0.0253300505026202,1,0.9456,0.0992919734234327,0.0314749838167333,0.0031274337216584,500
2,2500,louis,0.0158995677449479,0.0195909669768842,1,0.9426,0.0767951793940134,0.0245058663784547,0.0033753913155464,500
4,500,louis,0.0599028983498777,0.0714803361246106,1,0.943,0.280197768814108,,,
4,1000,louis,0.0414385415237219,0.0488760930148277,1,0.933,0.191590764028184,,,
4,1500,louis,0.0316473821403403,0.0385752319791992,1,0.938,0.151212130749016,,,
