dataset,families,K,lambda,nonidentical,splits_observed,bic_wins,mean_delta_bic,median_delta_bic,max_delta_bic,mean_test_loglik_per_obs,mean_test_rmse,mean_test_mae,mean_rmse_skill,mean_mae_skill,finite_prediction_rate,stable_prediction_rate,median_min_pi
bird_counts,zinb+zinb+zinb,3,10.0,False,3,1,34.9795566692604,21.998889062204398,82.93978094557679,-2.525838920745844,3287886476707.879,214224290958.03943,-1422666368.2114928,-805822334.6610972,1.0,0.6666666666666666,0.14921322800864947
bird_counts,nb2+nb2+zinb,3,5.0,True,3,1,156.15011082096316,44.55639816449548,423.893934298394,-2.51705410868947,1711.3470217706736,203.88636737868953,0.19692966445777046,0.14405753952807357,1.0,1.0,0.10488622581910154
bird_counts,nb2+nb2+nb2,3,5.0,False,3,1,157.80861440817048,37.24648721367703,436.17935601083445,-2.517480830485919,1718.4330235821244,206.72083623476814,0.19400723633593653,0.1307663687392073,1.0,1.0,0.10685478937099546
bird_counts,nb2+zinb+zinb,3,10.0,True,3,0,166.37219987490244,109.1040428798442,373.30248602631764,-2.5293607546233856,403764198027392.75,26277314346602.87,-174708509448.6362,-98844284756.16457,1.0,0.6666666666666666,0.1575902246852178
bird_counts,nb2+nb2+nb2,3,10.0,False,3,0,192.09678700248818,109.34234002839366,407.9048015675362,-2.5288035031349607,1602.9429523597055,191.8012635470519,0.24461235662073746,0.19141828286039284,1.0,1.0,0.12465862850668377
bird_counts,nb2+zinb+zinb,3,25.0,True,3,0,261.89733400042314,120.3292950483883,567.3654297351459,-2.5348063583813634,1712.7297556058736,189.80626313872583,0.1962215159552928,0.20188395552320523,1.0,1.0,0.16323168543095284
bird_counts,zinb+zinb+zinb,3,5.0,False,3,0,336.3640199079091,349.60442193761264,453.45885963181354,-2.5337141077926026,inf,1.2199543911460537e+300,-inf,-5.482194069986842e+297,1.0,0.0,0.15576110730761217
bird_counts,zinb+zinb+zinb,3,25.0,False,3,0,346.56595485840563,67.00041644771409,945.9051853712663,-2.543530690583102,inf,2.830585076258379e+301,-inf,-1.2719997429640908e+299,1.0,0.6666666666666666,0.14941785325464596
bird_counts,nb2+nb2+zinb,3,2.0,True,3,0,351.0036730809467,356.7248263432484,393.6217136753912,-2.527049654288814,inf,7.20586614942566e+200,-inf,-3.2318059093414376e+198,1.0,0.0,0.1824054067024854
bird_counts,nb2+nb2+nb2,3,2.0,False,3,0,382.57388199352135,392.82382156385574,405.8135674507066,-2.527711256777129,inf,6.372924250638446e+200,-inf,-2.8582343643227794e+198,1.0,0.0,0.19226194925576384
bird_counts,nb2+nb2+zinb,3,10.0,True,3,0,418.19297348070296,519.2488754948063,637.5106725844817,-2.538119738684354,4.703954594831421e+118,2.9457521851666656e+117,-2.179254566138162e+115,-1.321159603200017e+115,1.0,0.0,0.10571356314254245
bird_counts,nb2+zinb+zinb,3,5.0,True,3,0,439.3308639397704,395.9738171570789,592.0819290532236,-2.539381099199744,3.225163996880512e+46,2.096832662912198e+45,-1.3955263923301795e+43,-7.887408967553526e+42,1.0,0.0,0.16310175641531444
bird_counts,nb2+zinb+zinb,3,2.0,True,3,0,496.8904591209648,465.82761391519307,622.8758671898104,-2.5399313681738076,4.797326035576774e+61,3.1116655716928167e+60,-2.0757998978456427e+58,-1.1704786637627996e+58,1.0,0.0,0.1821719222527529
bird_counts,zinb+zinb+zinb,3,2.0,False,3,0,531.5718219064292,508.13461173592077,604.326590010809,-2.536600050162093,inf,3.581163194558151e+300,-inf,-1.6092922630016094e+298,1.0,0.0,0.1857271038758907
