families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,extras,test_rmse,test_mae,prediction_finite,prediction_max,prediction_q99,prediction_stable,baseline_mean_rmse,baseline_median_mae,rmse_skill,mae_skill,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,split_id,split_seed,n_train,n_test,offset_used,init,task_id,test_loglik_per_obs
poisson+nb2,2,50.0,True,True,,-3149.7576987763323,6434.90228525644,6331.515397552665,-758.8123626606715,"[0.8311610048601437, 0.16883899513985634]","[{}, {""log_alpha"": 2.1689327064861117}]",3.005641360421278,0.8436346170025972,True,0.8652876155474313,0.7279845275996892,True,3.010951352996976,0.48815566835871405,0.001763559736829623,-0.7282081755581802,"[12, 0]",0.0,12.0,"[[1, 2, 3, 8, 11, 15, 16, 17, 20, 22, 41, 44], []]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""logc"", ""coins"", ""mhi"", ""site_3"", ""female"", ""plan_17"", ""plan_2""], []]","[{""xage"": 0.1819159995569112, ""child"": -0.12669746614808974, ""disea"": 0.028141484958962626, ""black"": -0.05482870995063338, ""fmde"": -0.005700278853431569, ""logc"": -0.22620724868022296, ""coins"": -0.024815963926278314, ""mhi"": -0.030847521571267852, ""site_3"": 0.14727215260543272, ""female"": 0.061844333708173306, ""plan_17"": 0.02164399889181584, ""plan_2"": 0.042867458612433317}, {}]","[-1.9435667627027482, 0.9115893636547265]",5,0.16883899513985634,39.29141592979431,randhealth_notmdvis_baseline,0,20260630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S0_K2_poisson-nb2_L50.0_quantile_glm,-0.6419732340614818
poisson+zinb,2,50.0,True,True,,-3148.081366953041,6440.011302091344,6330.162733906082,-758.3759825974295,"[0.8358124712580375, 0.16418752874196255]","[{}, {""log_alpha"": 2.208652915512146, ""logit_theta"": -17.152473802529013}]",3.005453641423713,0.8434642489766966,True,0.8742138248383575,0.7368579380712964,True,3.010951352996976,0.48815566835871405,0.001825905147152529,-0.7278591720805119,"[12, 0]",0.0,12.0,"[[1, 2, 3, 8, 11, 15, 16, 17, 20, 22, 41, 44], []]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""logc"", ""coins"", ""mhi"", ""site_3"", ""female"", ""plan_17"", ""plan_2""], []]","[{""xage"": 0.17856297526414255, ""child"": -0.12883740804433158, ""disea"": 0.031499325857108615, ""black"": -0.058023335096307554, ""fmde"": -0.007379642161966941, ""logc"": -0.2259880023211183, ""coins"": -0.028931016067105794, ""mhi"": -0.032576096973891376, ""site_3"": 0.14580325508261535, ""female"": 0.060681057666065547, ""plan_17"": 0.022016289505624807, ""plan_2"": 0.04794478563360505}, {}]","[-1.9240393336208947, 0.9314134170368994]",6,0.16418752874196255,43.73062992095947,randhealth_notmdvis_baseline,0,20260630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S0_K2_poisson-zinb_L50.0_quantile_glm,-0.6416040461907186
poisson+zinb,2,50.0,True,True,,-3140.0564786938558,6440.884886535945,6318.1129573877115,-758.0116772686599,"[0.8436550432772897, 0.15634495672271026]","[{}, {""log_alpha"": 0.6373594554257159, ""logit_theta"": 0.7297486615638065}]",3.0044718402886894,0.8347258646090919,True,0.8841458070784003,0.7503726157635083,True,3.010951352996976,0.48815566835871405,0.0021519818650796996,-0.7099583569635124,"[14, 0]",0.0,14.0,"[[1, 2, 3, 8, 11, 15, 16, 17, 20, 22, 23, 41, 44, 50], []]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""logc"", ""coins"", ""mhi"", ""site_3"", ""female"", ""site_4"", ""plan_17"", ""plan_2"", ""plan_7""], []]","[{""xage"": 0.15573497704391073, ""child"": -0.14912410199991, ""disea"": 0.03894156046018785, ""black"": -0.0727336852511802, ""fmde"": -0.044630647146931615, ""logc"": -0.18967912884483865, ""coins"": -0.04295640798263501, ""mhi"": -0.03513707850406855, ""site_3"": 0.13955861123101132, ""female"": 0.05756245149626799, ""site_4"": -0.008975203288456513, ""plan_17"": 0.02581893855776704, ""plan_2"": 0.053191518069682364, ""plan_7"": 0.005327758802558561}, {}]","[-1.8455537534658704, 2.0425055925525046]",3,0.15634495672271026,39.26041388511658,randhealth_notmdvis_baseline,0,20260630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S0_K2_poisson-zinb_L50.0_kmeans_glm,-0.6412958352526734
poisson+nb2,2,50.0,True,True,,-3146.423959343212,6445.158167353172,6328.847918686424,-757.8839448305732,"[0.8398400488713731, 0.16015995112862694]","[{}, {""log_alpha"": 2.3315478328948305}]",3.005039328630551,0.843067026602889,True,0.8857148228063266,0.7542671489399697,True,3.010951352996976,0.48815566835871405,0.0019635071023451633,-0.7270454513771487,"[14, 0]",0.0,14.0,"[[1, 2, 3, 8, 11, 15, 16, 17, 20, 22, 23, 41, 44, 50], []]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""logc"", ""coins"", ""mhi"", ""site_3"", ""female"", ""site_4"", ""plan_17"", ""plan_2"", ""plan_7""], []]","[{""xage"": 0.16372291514075843, ""child"": -0.14175279425219736, ""disea"": 0.036906780279238986, ""black"": -0.06678904872925787, ""fmde"": -0.03530081913820762, ""logc"": -0.19929898237071597, ""coins"": -0.03739952352221782, ""mhi"": -0.033939789650744255, ""site_3"": 0.14231445563308912, ""female"": 0.057488771328768035, ""site_4"": -0.004843056271407171, ""plan_17"": 0.024000080962392877, ""plan_2"": 0.053295337007770775, ""plan_7"": 0.0030959523976401425}, {}]","[-1.8800420616152291, 0.9395706548436651]",4,0.16015995112862694,33.686821937561035,randhealth_notmdvis_baseline,0,20260630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S0_K2_poisson-nb2_L50.0_kmeans_glm,-0.6411877705842413
poisson+nb2,2,100.0,True,True,,-3188.9835874351647,6445.660618722217,6393.9671748703295,-765.1841012760815,"[0.8305223077061423, 0.16947769229385773]","[{}, {""log_alpha"": 2.1579638705939996}]",3.0080994263784495,0.8469799537269465,True,0.6780659004744056,0.635650848104117,True,3.010951352996976,0.48815566835871405,0.0009471845553691294,-0.735061187704074,"[4, 0]",0.0,4.0,"[[1, 2, 15, 20], []]","[[""xage"", ""child"", ""logc"", ""site_3""], []]","[{""xage"": 0.16605635240488797, ""child"": -0.04810550417267051, ""logc"": -0.14046420289208633, ""site_3"": 0.06078211960644735}, {}]","[-1.8962485583553341, 0.9114823386673371]",5,0.16947769229385773,13.503375053405762,randhealth_notmdvis_baseline,0,20260630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S0_K2_poisson-nb2_L100.0_quantile_glm,-0.6473638758680893
poisson+nb2,2,100.0,True,True,,-3188.9835874351647,6445.660618722217,6393.9671748703295,-765.1841012760815,"[0.8305223077061423, 0.16947769229385773]","[{}, {""log_alpha"": 2.1579638705939996}]",3.0080994263784495,0.8469799537269465,True,0.6780659004744056,0.635650848104117,True,3.010951352996976,0.48815566835871405,0.0009471845553691294,-0.735061187704074,"[4, 0]",0.0,4.0,"[[1, 2, 15, 20], []]","[[""xage"", ""child"", ""logc"", ""site_3""], []]","[{""xage"": 0.16605635240488797, ""child"": -0.04810550417267051, ""logc"": -0.14046420289208633, ""site_3"": 0.06078211960644735}, {}]","[-1.8962485583553341, 0.9114823386673371]",5,0.16947769229385773,23.42470383644104,randhealth_notmdvis_baseline,0,20260630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S0_K2_poisson-nb2_L100.0_kmeans_glm,-0.6473638758680893
poisson+zinb,2,100.0,True,True,,-3185.7749924613327,6447.70510925604,6389.549984922665,-764.5137187007499,"[0.8455659170587664, 0.15443408294123365]","[{}, {""log_alpha"": 2.1082289490533683, ""logit_theta"": -3.9098255844163567}]",3.007706211309997,0.8412846510957058,True,0.6778111671657729,0.6304200391015253,True,3.010951352996976,0.48815566835871405,0.0010777795143548374,-0.7233942072705795,"[4, 0]",0.0,4.0,"[[1, 2, 15, 20], []]","[[""xage"", ""child"", ""logc"", ""site_3""], []]","[{""xage"": 0.15442264144543458, ""child"": -0.06702978501579324, ""logc"": -0.1490098132627916, ""site_3"": 0.06611878965237895}, {}]","[-1.8841188428526794, 0.994151585556835]",4,0.15443408294123365,24.927257776260376,randhealth_notmdvis_baseline,0,20260630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S0_K2_poisson-zinb_L100.0_kmeans_glm,-0.6467967163288916
poisson+poisson+nb2,3,50.0,True,True,,-3148.263276172691,6448.836801012129,6332.526552345382,-758.1420265670735,"[0.8483723386950223, 0.0502986057533949, 0.10132905555158293]","[{}, {}, {""log_alpha"": 1.754712813714247}]",3.005254393382487,0.8434376169786967,True,0.8826570359761666,0.7486934555918443,True,3.010951352996976,0.48815566835871405,0.0018920795943178081,-0.7278046157171916,"[12, 0, 0]",0.0,12.0,"[[1, 2, 3, 8, 11, 15, 16, 17, 20, 22, 41, 44], [], []]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""logc"", ""coins"", ""mhi"", ""site_3"", ""female"", ""plan_17"", ""plan_2""], [], []]","[{""xage"": 0.17079135321215025, ""child"": -0.14928593157816433, ""disea"": 0.03704691205096684, ""black"": -0.06272135630009727, ""fmde"": -0.026896147298243096, ""logc"": -0.21710580612442953, ""coins"": -0.03060824958378383, ""mhi"": -0.03126276231897609, ""site_3"": 0.15042980105870302, ""female"": 0.057199920528827816, ""plan_17"": 0.016130402506227645, ""plan_2"": 0.050264645631108454}, {}, {}]","[-1.9634801705974527, -1.5658624077163277, 1.3943472497968823]",4,0.0502986057533949,34.86056351661682,randhealth_notmdvis_baseline,0,20260630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S0_K3_poisson-poisson-nb2_L50.0_kmeans_glm,-0.6414061138469319
nb2+zip,2,50.0,True,True,,-3153.024029283625,6449.896626752512,6340.04805856725,-759.6149511455659,"[0.1811504273056907, 0.8188495726943094]","[{""log_alpha"": 2.397648015680198}, {""logit_theta"": -1.8575865580853241}]",3.005186179111602,0.8461448293356677,True,0.8836015970911174,0.7523623984265139,True,3.010951352996976,0.48815566835871405,0.0019147349822292714,-0.7333504129545221,"[0, 12]",0.0,12.0,"[[], [1, 2, 3, 8, 11, 15, 16, 17, 20, 22, 41, 44]]","[[], [""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""logc"", ""coins"", ""mhi"", ""site_3"", ""female"", ""plan_17"", ""plan_2""]]","[{}, {""xage"": 0.16594578535002577, ""child"": -0.13872090719346533, ""disea"": 0.03539504543524636, ""black"": -0.06162518308493839, ""fmde"": -0.018893979343530713, ""logc"": -0.21702547277790293, ""coins"": -0.03033405461672649, ""mhi"": -0.03234422034440623, ""site_3"": 0.13673564632317506, ""female"": 0.050376618199593014, ""plan_17"": 0.014370203105673676, ""plan_2"": 0.04717902646127299}]","[0.8223766301810884, -1.6914686220095787]",7,0.1811504273056907,49.16362929344177,randhealth_notmdvis_baseline,0,20260630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S0_K2_nb2-zip_L50.0_kmeans_glm,-0.6426522429319509
poisson+zinb,2,100.0,True,True,,-3188.858501028114,6453.872126389602,6395.717002056228,-765.1571755781879,"[0.8339036019246033, 0.16609639807539672]","[{}, {""log_alpha"": 2.133144050905562, ""logit_theta"": -16.28316743502934}]",3.0080980896276794,0.8469795903493778,True,0.678302202713618,0.6356969991646626,True,3.010951352996976,0.48815566835871405,0.000947628518294219,-0.7350604433153631,"[4, 0]",0.0,4.0,"[[1, 2, 15, 20], []]","[[""xage"", ""child"", ""logc"", ""site_3""], []]","[{""xage"": 0.16615398728898664, ""child"": -0.04808512758256696, ""logc"": -0.1405019023489341, ""site_3"": 0.061011260036079935}, {}]","[-1.9001653857418097, 0.9315954930819915]",5,0.16609639807539672,14.596919298171997,randhealth_notmdvis_baseline,0,20260630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S0_K2_poisson-zinb_L100.0_quantile_glm,-0.6473410960898375
