families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,extras,test_rmse,test_mae,prediction_finite,prediction_max,prediction_q99,prediction_stable,baseline_mean_rmse,baseline_median_mae,rmse_skill,mae_skill,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,split_id,split_seed,n_train,n_test,offset_used,init,task_id,test_loglik_per_obs
poisson+nb2,2,100.0,True,True,,-3202.186169498942,6472.0657828497715,6420.372338997884,-741.7262560068359,"[0.8309147891955837, 0.16908521080441635]","[{}, {""log_alpha"": 2.2092772962273095}]",2.841699371732494,0.8673295188227754,True,0.7151224609183232,0.67126814467628,True,2.8454558104550394,0.4856175972927242,0.001320153596742979,-0.7860339568789556,"[4, 0]",0.0,4.0,"[[1, 16, 19, 49], []]","[[""xage"", ""logc"", ""site_3"", ""site_6""], []]","[{""xage"": 0.24741237977714545, ""logc"": -0.12702344457229384, ""site_3"": 0.06435788093864993, ""site_6"": -0.041755990621935274}, {}]","[-1.8529642056361213, 0.8976787410099367]",5,0.16908521080441635,24.928432941436768,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S1_K2_poisson-nb2_L100.0_kmeans_glm,-0.6275179830853096
poisson+nb2,2,100.0,True,True,,-3202.186169498942,6472.0657828497715,6420.372338997884,-741.7262560068359,"[0.8309147891955837, 0.16908521080441635]","[{}, {""log_alpha"": 2.2092772962273095}]",2.841699371732494,0.8673295188227754,True,0.7151224609183232,0.67126814467628,True,2.8454558104550394,0.4856175972927242,0.001320153596742979,-0.7860339568789556,"[4, 0]",0.0,4.0,"[[1, 16, 19, 49], []]","[[""xage"", ""logc"", ""site_3"", ""site_6""], []]","[{""xage"": 0.24741237977714545, ""logc"": -0.12702344457229384, ""site_3"": 0.06435788093864993, ""site_6"": -0.041755990621935274}, {}]","[-1.8529642056361213, 0.8976787410099367]",5,0.16908521080441635,14.120447158813477,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S1_K2_poisson-nb2_L100.0_quantile_glm,-0.6275179830853096
poisson+nb2,2,50.0,True,True,,-3156.9013997615193,6474.574728671272,6351.802799523039,-734.2838267115932,"[0.8412830892153302, 0.15871691078466973]","[{}, {""log_alpha"": 2.3686367672881246}]",2.840122573401708,0.862661755631286,True,0.9298412001609729,0.784237161857896,True,2.8454558104550394,0.4856175972927242,0.0018742997286184115,-0.7764219427808015,"[15, 0]",0.0,15.0,"[[1, 2, 7, 14, 16, 17, 19, 20, 22, 23, 25, 39, 43, 44, 49], []]","[[""xage"", ""child"", ""disea"", ""coins"", ""logc"", ""mhi"", ""site_3"", ""plan_16"", ""year_3"", ""site_4"", ""female"", ""plan_17"", ""plan_7"", ""plan_2"", ""site_6""], []]","[{""xage"": 0.248594264929152, ""child"": -0.08103806943240865, ""disea"": 0.05248880003585426, ""coins"": -0.0424861532593338, ""logc"": -0.2074896159222727, ""mhi"": -0.011562792359552581, ""site_3"": 0.11989418006320948, ""plan_16"": -0.009890746107345692, ""year_3"": -0.006654300657926743, ""site_4"": -0.07675529280456131, ""female"": 0.03149173329527953, ""plan_17"": 0.014399195530935811, ""plan_7"": 0.009203312115091363, ""plan_2"": 0.03604451482511198, ""site_6"": -0.15747247129978464}, {}]","[-1.8546107888581111, 0.9333705872473441]",4,0.15871691078466973,34.30224943161011,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S1_K2_poisson-nb2_L50.0_kmeans_glm,-0.6212215116003327
poisson+nb2,2,50.0,True,True,,-3158.947146693212,6478.666222534657,6355.894293386424,-733.77793835203,"[0.8351380965556778, 0.1648619034443222]","[{}, {""log_alpha"": 2.2736822423946275}]",2.8402268902185828,0.8631505725194838,True,0.9164139990283201,0.7713809399853834,True,2.8454558104550394,0.4856175972927242,0.0018376388827561208,-0.7774285308676478,"[15, 0]",0.0,15.0,"[[1, 2, 7, 14, 16, 17, 19, 20, 22, 23, 25, 39, 43, 44, 49], []]","[[""xage"", ""child"", ""disea"", ""coins"", ""logc"", ""mhi"", ""site_3"", ""plan_16"", ""year_3"", ""site_4"", ""female"", ""plan_17"", ""plan_7"", ""plan_2"", ""site_6""], []]","[{""xage"": 0.25725713861009714, ""child"": -0.0750574997733472, ""disea"": 0.05041607976175554, ""coins"": -0.03437469731604422, ""logc"": -0.20825553545474929, ""mhi"": -0.00892736266937369, ""site_3"": 0.12248504008801372, ""plan_16"": -0.009635015822803884, ""year_3"": -0.001090361600321122, ""site_4"": -0.07573164160943478, ""female"": 0.029945027935462082, ""plan_17"": 0.013840875735372557, ""plan_7"": 0.009743182519953692, ""plan_2"": 0.021829057729743757, ""site_6"": -0.150528398756819}, {}]","[-1.887995088579253, 0.9106458092747048]",6,0.1648619034443222,36.74071383476257,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S1_K2_poisson-nb2_L50.0_quantile_glm,-0.6207935180643231
poisson+zinb,2,100.0,True,True,,-3202.071561003496,6480.298246340366,6422.143122006992,-741.7140749640805,"[0.8353925428083749, 0.16460745719162514]","[{}, {""log_alpha"": 2.173425436913886, ""logit_theta"": -20.18847225995371}]",2.8417006527978823,0.8673420569500095,True,0.7151272671788356,0.6711385093494175,True,2.8454558104550394,0.4856175972927242,0.0013197033822699433,-0.7860597758099499,"[4, 0]",0.0,4.0,"[[1, 16, 19, 49], []]","[[""xage"", ""logc"", ""site_3"", ""site_6""], []]","[{""xage"": 0.2475181422169379, ""logc"": -0.1268097838074507, ""site_3"": 0.06455838157884042, ""site_6"": -0.041579344072150616}, {}]","[-1.8591342610946062, 0.9248126131289142]",5,0.16460745719162514,14.157972812652588,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S1_K2_poisson-zinb_L100.0_quantile_glm,-0.6275076776345859
poisson+zinb,2,50.0,True,True,,-3152.037331116368,6481.769952343941,6346.074662232736,-733.0588210516221,"[0.8445023054822456, 0.15549769451775428]","[{}, {""log_alpha"": 0.7981836240795822, ""logit_theta"": 0.6578605726738412}]",2.8396663480079427,0.851445504937486,True,0.9217750385568048,0.7767005890226706,True,2.8454558104550394,0.4856175972927242,0.0020346344602591993,-0.7533250641744051,"[16, 0]",0.0,16.0,"[[1, 2, 7, 12, 14, 16, 17, 19, 20, 22, 23, 25, 39, 43, 44, 49], []]","[[""xage"", ""child"", ""disea"", ""fmde"", ""coins"", ""logc"", ""mhi"", ""site_3"", ""plan_16"", ""year_3"", ""site_4"", ""female"", ""plan_17"", ""plan_7"", ""plan_2"", ""site_6""], []]","[{""xage"": 0.24211052115304682, ""child"": -0.08365534947681678, ""disea"": 0.05129516215424593, ""fmde"": -0.0040003291980075, ""coins"": -0.048498627604615194, ""logc"": -0.2022923112609614, ""mhi"": -0.01348067385286726, ""site_3"": 0.11788609762437538, ""plan_16"": -0.010292393079493162, ""year_3"": -0.010610172813104092, ""site_4"": -0.07589699947035569, ""female"": 0.03372062704802667, ""plan_17"": 0.015215043279360567, ""plan_7"": 0.009085811821760917, ""plan_2"": 0.03758270653610306, ""site_6"": -0.15769521603042708}, {}]","[-1.824395263901976, 1.9768897391796594]",3,0.15549769451775428,34.48453736305237,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S1_K2_poisson-zinb_L50.0_kmeans_glm,-0.6201851277932505
poisson+zinb,2,100.0,True,True,,-3199.072994203335,6482.76279322153,6418.14598840667,-741.7078514818268,"[0.8488729930021258, 0.15112700699787412]","[{}, {""log_alpha"": 2.1481329760237426, ""logit_theta"": -14.346683671709561}]",2.8416105618227463,0.8670756020303543,True,0.7266731942665166,0.6779170026392737,True,2.8454558104550394,0.4856175972927242,0.0013513647332580314,-0.7855110829266181,"[5, 0]",0.0,5.0,"[[1, 2, 16, 19, 49], []]","[[""xage"", ""child"", ""logc"", ""site_3"", ""site_6""], []]","[{""xage"": 0.24969861693631412, ""child"": -0.00015280767483889739, ""logc"": -0.1343411006313759, ""site_3"": 0.06778773614070843, ""site_6"": -0.04732797481907707}, {}]","[-1.8503690659830208, 1.0013206612531234]",4,0.15112700699787412,20.089191436767578,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S1_K2_poisson-zinb_L100.0_kmeans_glm,-0.6275024124211732
nb2+nb2,2,100.0,False,True,,-3195.152138777179,6483.382762850704,6412.304277554358,-741.9354370159429,"[0.8815427740555053, 0.11845722594449472]","[{""log_alpha"": -10.62585229174817}, {""log_alpha"": 1.9949965463212178}]",2.841488842527265,0.8665367726611336,True,0.742762313415844,0.6878529934335813,True,2.8454558104550394,0.4856175972927242,0.0013941414634515148,-0.784401507465958,"[6, 0]",0.0,6.0,"[[1, 2, 7, 16, 19, 49], []]","[[""xage"", ""child"", ""disea"", ""logc"", ""site_3"", ""site_6""], []]","[{""xage"": 0.24152545166276934, ""child"": -0.006292262186525917, ""disea"": 0.00476402709225123, ""logc"": -0.14660617623679295, ""site_3"": 0.07127965356914108, ""site_6"": -0.05851471466115908}, {}]","[-1.8426435768931992, 1.2277923370842883]",11,0.11845722594449472,35.008681535720825,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S1_K2_nb2-nb2_L100.0_kmeans_glm,-0.6276949551742326
nb2+nb2,2,50.0,False,True,,-3153.694765214076,6485.084820539358,6349.389530428152,-736.1092087526512,"[0.883931431268255, 0.11606856873174497]","[{""log_alpha"": -26.290237475702824}, {""log_alpha"": 2.022724243280114}]",2.839944491773173,0.8670666555347459,True,0.996752578180923,0.8255552384066193,True,2.8454558104550394,0.4856175972927242,0.0019368842986828838,-0.7854926600036058,"[16, 0]",0.0,16.0,"[[1, 2, 7, 14, 15, 16, 17, 19, 20, 22, 23, 25, 39, 43, 44, 49], []]","[[""xage"", ""child"", ""disea"", ""coins"", ""black"", ""logc"", ""mhi"", ""site_3"", ""plan_16"", ""year_3"", ""site_4"", ""female"", ""plan_17"", ""plan_7"", ""plan_2"", ""site_6""], []]","[{""xage"": 0.2507141057500679, ""child"": -0.0828322519207752, ""disea"": 0.04452414826081464, ""coins"": -0.056103548769150434, ""black"": -0.0016114672795255573, ""logc"": -0.2187857062720381, ""mhi"": -0.03859923460364784, ""site_3"": 0.12634319484600082, ""plan_16"": -0.010763850886538594, ""year_3"": -0.012775919103737866, ""site_4"": -0.06803606774073076, ""female"": 0.0263267573871398, ""plan_17"": 0.013051563487572977, ""plan_7"": 0.005832050760924786, ""plan_2"": 0.037487336566075224, ""site_6"": -0.1659132834534528}, {}]","[-1.8484845957712968, 1.2404520507502594]",11,0.11606856873174497,56.279886960983276,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,kmeans_glm,randhealth_notmdvis_baseline_S1_K2_nb2-nb2_L50.0_kmeans_glm,-0.6227658280479282
poisson+poisson+nb2,3,50.0,True,True,,-3171.433703625198,6486.715975435658,6376.867407250396,-736.3906939850976,"[0.8086456041620274, 0.05846438152833785, 0.1328900143096348]","[{}, {}, {""log_alpha"": 2.022887607849318}]",2.8404535181379558,0.8644412004314913,True,0.8957428542677784,0.7469540701786042,True,2.8454558104550394,0.4856175972927242,0.001757993323496243,-0.7800862350348827,"[11, 0, 0]",0.0,11.0,"[[1, 2, 7, 14, 16, 19, 20, 23, 25, 43, 49], [], []]","[[""xage"", ""child"", ""disea"", ""coins"", ""logc"", ""site_3"", ""plan_16"", ""site_4"", ""female"", ""plan_7"", ""site_6""], [], []]","[{""xage"": 0.2963316097982732, ""child"": -0.0663490191720584, ""disea"": 0.046184529356195624, ""coins"": -0.011202699311064147, ""logc"": -0.22328387796995228, ""site_3"": 0.1406741016712391, ""plan_16"": -0.0010165564327670657, ""site_4"": -0.06315891427892029, ""female"": 0.02117122673094261, ""plan_7"": 0.002139141904799194, ""site_6"": -0.1297200344893794}, {}, {}]","[-2.0243453864740446, -0.9598384079415492, 1.122972724053055]",6,0.05846438152833785,29.575807332992554,randhealth_notmdvis_baseline,1,20261630,4730,1182,False,quantile_glm,randhealth_notmdvis_baseline_S1_K3_poisson-poisson-nb2_L50.0_quantile_glm,-0.6230039712225869
