replicate,seed,success,error,selected_lambda,selected_init,penalized_bic,refit_loglik,refit_bic,screened_original_indices,screened_features,active_original_indices,active_counts,seconds,pi_0,pi_1,intercept_0,beta_0_1,beta_0_2,beta_0_3,beta_0_4,beta_0_5,beta_0_6,beta_0_7,beta_0_8,beta_0_9,beta_0_10,beta_0_11,beta_0_12,beta_0_13,beta_0_14,beta_0_15,beta_0_16,beta_0_17,beta_0_18,beta_0_19,beta_0_20,beta_0_21,beta_0_22,beta_0_23,beta_0_24,beta_0_25,beta_0_26,beta_0_27,beta_0_28,beta_0_29,beta_0_30,beta_0_31,beta_0_32,beta_0_33,beta_0_34,beta_0_35,beta_0_36,beta_0_37,beta_0_38,beta_0_39,beta_0_40,beta_0_41,beta_0_42,beta_0_43,beta_0_44,beta_0_45,beta_0_46,beta_0_47,beta_0_48,beta_0_49,beta_0_50,beta_0_51,beta_0_52,beta_0_53,beta_0_54,intercept_1,beta_1_1,beta_1_2,beta_1_3,beta_1_4,beta_1_5,beta_1_6,beta_1_7,beta_1_8,beta_1_9,beta_1_10,beta_1_11,beta_1_12,beta_1_13,beta_1_14,beta_1_15,beta_1_16,beta_1_17,beta_1_18,beta_1_19,beta_1_20,beta_1_21,beta_1_22,beta_1_23,beta_1_24,beta_1_25,beta_1_26,beta_1_27,beta_1_28,beta_1_29,beta_1_30,beta_1_31,beta_1_32,beta_1_33,beta_1_34,beta_1_35,beta_1_36,beta_1_37,beta_1_38,beta_1_39,beta_1_40,beta_1_41,beta_1_42,beta_1_43,beta_1_44,beta_1_45,beta_1_46,beta_1_47,beta_1_48,beta_1_49,beta_1_50,beta_1_51,beta_1_52,beta_1_53,beta_1_54,extra_1_log_alpha,alpha_1
0,915283547,True,,100.0,kmeans_glm,8078.93375315278,-3971.5001662977083,8021.162987759069,"[0, 5, 16, 26, 12, 11, 13, 28, 18, 9, 3, 10, 17, 1, 38, 22, 14, 21, 25, 15, 42, 23, 52, 6, 49, 51, 2, 19, 41, 24, 33, 48, 45, 4, 40, 36, 32, 7, 47, 44, 54, 30, 34, 27, 46, 53, 8, 43, 35, 39, 29]","[""Intercept"", ""xage"", ""child"", ""xghindx"", ""physlm"", ""disea"", ""ghindx"", ""lnum"", ""lfam"", ""num"", ""black"", ""mhi"", ""fchild"", ""coins"", ""plan_11"", ""fmde"", ""mdeoff"", ""logc"", ""hlthp"", ""pioff"", ""plan_16"", ""hlthg"", ""year_3"", ""female"", ""site_5"", ""year_2"", ""tookphys"", ""lpi"", ""plan_15"", ""hlthf"", ""plan_6"", ""site_4"", ""plan_19"", ""income"", ""plan_14"", ""plan_9"", ""plan_5"", ""educdec"", ""site_3"", ""plan_18"", ""year_5"", ""plan_3"", ""plan_7"", ""linc"", ""site_2"", ""year_4"", ""time"", ""plan_17"", ""plan_8"", ""plan_13"", ""plan_2""]","[[5, 16, 11, 21, 47], []]","[5, 0]",1469.7691912651062,0.8339847296205005,0.1660152703794996,-1.9477417365043252,0.0,0.0,0.0,0.0,0.18406587470484828,0.0,0.0,0.0,0.0,0.0,0.16414755461020486,0.0,0.0,0.0,0.0,-0.24277389894782142,0.0,0.0,0.0,0.0,-0.3174933120562135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17300755212882724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9642553340731637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.406822125175475,11.098634971054265
1,549885377,True,,25.0,quantile_glm,8033.394715938336,-3822.517469452182,8018.47873579737,"[0, 16, 5, 12, 11, 28, 18, 14, 9, 38, 22, 3, 1, 21, 26, 17, 10, 13, 15, 6, 19, 23, 42, 52, 47, 45, 33, 49, 25, 50, 40, 30, 51, 48, 37, 41, 53, 54, 32, 24, 36, 29, 44, 4, 39, 31, 34, 35, 2, 8, 27]","[""Intercept"", ""child"", ""xage"", ""physlm"", ""disea"", ""lnum"", ""lfam"", ""mdeoff"", ""num"", ""plan_11"", ""fmde"", ""black"", ""coins"", ""logc"", ""xghindx"", ""fchild"", ""mhi"", ""ghindx"", ""pioff"", ""female"", ""lpi"", ""hlthg"", ""plan_16"", ""year_3"", ""site_3"", ""plan_19"", ""plan_6"", ""site_5"", ""hlthp"", ""site_6"", ""plan_14"", ""plan_3"", ""year_2"", ""site_4"", ""plan_10"", ""plan_15"", ""year_4"", ""year_5"", ""plan_5"", ""hlthf"", ""plan_9"", ""plan_2"", ""plan_18"", ""income"", ""plan_13"", ""plan_4"", ""plan_7"", ""plan_8"", ""tookphys"", ""time"", ""linc""]","[[16, 5, 11, 28, 18, 9, 22, 3, 1, 21, 10, 6, 42, 52, 47, 45, 33, 25, 50, 30, 51, 48, 53, 54, 29, 34], [16, 5, 12, 11, 28, 18, 14, 9, 38, 3, 23, 49, 50]]","[26, 13]",1584.8796830177307,0.8131641014828574,0.18683589851714252,-3.1924185218964203,-0.13836383164451296,0.0,-0.09975633777382781,0.0,0.10468725837240435,0.1611344826002535,0.0,0.0,-0.01877266986565155,-0.045571454990582405,0.09226706004751431,0.0,0.0,0.0,0.0,-0.17482445288981155,0.0,-0.043151297778369284,0.0,0.0,-0.11581185360712387,-0.13388314355459183,0.0,0.0,0.09259955278823662,0.0,0.0,-0.04315135261531088,0.09121544622413293,-1.5375390884016082,0.0,0.0,-1.1630952512142145,0.04880444739224316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12083652937211063,0.0,0.0,-1.7045313949045993,0.0,0.15970008921314008,-0.19481362759290727,0.0,-0.29415053456893264,-0.09969860005257299,-1.8183347476846465,-1.0223280688855547,-1.0261057687023742,0.014915983736233627,0.0,0.0,-0.6133849344966688,0.0,0.06523892471935286,0.0,0.0,0.0,-0.2654874599152568,0.0,0.13139975606810667,0.24893513769745557,0.0,-0.06809726457513371,0.0,-0.5180812282118656,0.0,-0.06146806863471889,0.0,0.0,0.0,0.0,0.22054628602855877,0.0,0.0,0.0,0.0,-0.061466829183130706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3444850387745077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14430257127419646,0.7287665962623456,0.0,0.0,0.0,0.0,1.537011907813702,4.650672848872609
2,868764131,True,,50.0,quantile_glm,8253.154962261111,-3984.5406275697933,8186.199741705287,"[0, 5, 16, 11, 28, 18, 9, 12, 14, 17, 38, 22, 10, 3, 1, 26, 21, 15, 13, 6, 19, 49, 23, 42, 24, 32, 52, 47, 33, 37, 45, 43, 41, 2, 53, 31, 54, 36, 51, 25, 7, 29, 30, 48, 8, 35, 50, 4, 40, 46, 27]","[""Intercept"", ""xage"", ""child"", ""disea"", ""lnum"", ""lfam"", ""num"", ""physlm"", ""mdeoff"", ""fchild"", ""plan_11"", ""fmde"", ""mhi"", ""black"", ""coins"", ""xghindx"", ""logc"", ""pioff"", ""ghindx"", ""female"", ""lpi"", ""site_5"", ""hlthg"", ""plan_16"", ""hlthf"", ""plan_5"", ""year_3"", ""site_3"", ""plan_6"", ""plan_10"", ""plan_19"", ""plan_17"", ""plan_15"", ""tookphys"", ""year_4"", ""plan_4"", ""year_5"", ""plan_9"", ""year_2"", ""hlthp"", ""educdec"", ""plan_2"", ""plan_3"", ""site_4"", ""time"", ""plan_8"", ""site_6"", ""income"", ""plan_14"", ""site_2"", ""linc""]","[[5, 16, 11, 12, 22, 10, 1, 21, 6, 19, 42, 24, 47, 43, 29, 48, 35, 50], [16, 11, 50]]","[18, 3]",1523.0444343090057,0.8105190050499066,0.18948099495009335,-2.6391739607445084,-0.10597042826980183,0.0,0.0,0.0,0.21332224466610974,0.09717551956355104,0.0,0.0,0.0,-0.06891743046873534,0.0509460537463587,0.07743407417769195,0.0,0.0,0.0,-0.10195506580211791,0.0,0.0,-0.11228393577568471,0.0,-0.19248720556502458,-0.02729414889147093,0.0,0.0614370895273095,0.0,0.0,0.0,0.0,0.14796297408356937,0.0,0.0,0.0,0.0,0.0,0.11659211962740695,0.0,0.0,0.0,0.0,0.0,0.0,-2.283742958942142,0.13383846534915037,0.0,0.0,0.0,0.22701967527168618,-0.10623050568936071,0.0,-0.3051136562591184,0.0,0.0,0.0,0.0,0.45859750992234655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2671687213232166,0.0,0.0,0.0,0.0,-0.784311007530929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5008357685232737,0.0,0.0,0.0,0.0,1.8168955580856985,6.152727983897071
3,204194023,True,,50.0,quantile_glm,7779.615108174025,-3766.041254982711,7714.462038680611,"[0, 5, 16, 12, 11, 26, 9, 28, 18, 13, 3, 17, 1, 14, 38, 10, 22, 49, 48, 47, 6, 24, 21, 41, 46, 33, 52, 32, 42, 25, 39, 15, 27, 51, 45, 31, 4, 19, 2, 54, 29, 43, 23, 20, 37, 30, 36, 53, 34, 40, 8]","[""Intercept"", ""xage"", ""child"", ""physlm"", ""disea"", ""xghindx"", ""num"", ""lnum"", ""lfam"", ""ghindx"", ""black"", ""fchild"", ""coins"", ""mdeoff"", ""plan_11"", ""mhi"", ""fmde"", ""site_5"", ""site_4"", ""site_3"", ""female"", ""hlthf"", ""logc"", ""plan_15"", ""site_2"", ""plan_6"", ""year_3"", ""plan_5"", ""plan_16"", ""hlthp"", ""plan_13"", ""pioff"", ""linc"", ""year_2"", ""plan_19"", ""plan_4"", ""income"", ""lpi"", ""tookphys"", ""year_5"", ""plan_2"", ""plan_17"", ""hlthg"", ""idp"", ""plan_10"", ""plan_3"", ""plan_9"", ""year_4"", ""plan_7"", ""plan_14"", ""time""]","[[5, 16, 11, 9, 1, 38, 22, 48, 47, 6, 21, 42, 29, 34], [5, 12, 11]]","[14, 3]",1244.2349076271057,0.8684273636314965,0.13157263636850355,-2.140221783038816,-0.11179392536606957,0.0,0.0,0.0,0.2531719142894016,0.09135906124648081,0.0,0.0,-0.07264391470771986,0.0,0.05140202993494952,0.0,0.0,0.0,0.0,-0.1341818276963296,0.0,0.0,0.0,0.0,0.0808402560334921,-0.17065714130248075,0.0,0.0,0.0,0.0,0.0,0.0,0.17245162499705072,0.0,0.0,0.0,0.0,0.17887996902022085,0.0,0.0,0.0,0.13895288081362517,0.0,0.0,0.0,-0.1395609018614975,0.0,0.0,0.0,0.0,0.24483571246811747,-0.16988724930977744,0.0,0.0,0.0,0.0,0.0,0.0,0.7106767203378181,0.0,0.0,0.0,0.0,0.33103231873057665,0.0,0.0,0.0,0.0,0.0,0.23014061169231292,0.3033934925004287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8126513774136332,6.126670031152334
4,1826686608,True,,50.0,kmeans_glm,7719.501030637929,-3729.2516626354504,7640.88285398609,"[0, 5, 16, 12, 11, 9, 28, 18, 26, 1, 13, 3, 14, 17, 10, 22, 38, 24, 48, 4, 49, 21, 42, 46, 15, 52, 25, 32, 27, 41, 39, 20, 40, 33, 6, 54, 53, 19, 30, 37, 51, 50, 23, 45, 7, 29, 34, 31, 44, 8, 43]","[""Intercept"", ""xage"", ""child"", ""physlm"", ""disea"", ""num"", ""lnum"", ""lfam"", ""xghindx"", ""coins"", ""ghindx"", ""black"", ""mdeoff"", ""fchild"", ""mhi"", ""fmde"", ""plan_11"", ""hlthf"", ""site_4"", ""income"", ""site_5"", ""logc"", ""plan_16"", ""site_2"", ""pioff"", ""year_3"", ""hlthp"", ""plan_5"", ""linc"", ""plan_15"", ""plan_13"", ""idp"", ""plan_14"", ""plan_6"", ""female"", ""year_5"", ""year_4"", ""lpi"", ""plan_3"", ""plan_10"", ""year_2"", ""site_6"", ""hlthg"", ""plan_19"", ""educdec"", ""plan_2"", ""plan_7"", ""plan_4"", ""plan_18"", ""time"", ""plan_17""]","[[5, 16, 11, 1, 3, 10, 48, 4, 49, 21, 32, 6, 50, 29, 34, 43], [50]]","[16, 1]",1060.945776939392,0.8419952275741884,0.15800477242581157,-2.162107667099131,-0.28975877613753226,0.0,-0.024630098884008033,0.06617081967864731,0.22340821108520767,0.13307744989430767,0.0,0.0,0.0,-0.05677640029989115,0.04069075141439117,0.0,0.0,0.0,0.0,-0.12445036322879414,0.0,0.0,0.0,0.0,-0.2266681949320674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12842972523794358,0.0,0.0,-0.0928086632040237,0.0,0.09843896813079131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15525808193654436,0.0,0.0,0.0,0.0,-0.2875271656513685,-0.1705795805299985,-0.4451481855055367,0.0,0.0,0.0,0.0,0.7189272453632242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5067360667693085,0.0,0.0,0.0,0.0,2.126841330335022,8.388328961123825
5,190542346,True,,50.0,kmeans_glm,7650.749594890782,-3694.3944586789003,7571.168446072989,"[0, 5, 16, 28, 18, 9, 11, 38, 3, 12, 14, 22, 1, 10, 21, 17, 26, 13, 24, 42, 41, 46, 48, 49, 47, 52, 6, 15, 4, 33, 27, 51, 7, 30, 19, 23, 32, 54, 45, 36, 44, 34, 50, 2, 8, 35, 40, 29, 20, 53, 25]","[""Intercept"", ""xage"", ""child"", ""lnum"", ""lfam"", ""num"", ""disea"", ""plan_11"", ""black"", ""physlm"", ""mdeoff"", ""fmde"", ""coins"", ""mhi"", ""logc"", ""fchild"", ""xghindx"", ""ghindx"", ""hlthf"", ""plan_16"", ""plan_15"", ""site_2"", ""site_4"", ""site_5"", ""site_3"", ""year_3"", ""female"", ""pioff"", ""income"", ""plan_6"", ""linc"", ""year_2"", ""educdec"", ""plan_3"", ""lpi"", ""hlthg"", ""plan_5"", ""year_5"", ""plan_19"", ""plan_9"", ""plan_18"", ""plan_7"", ""site_6"", ""tookphys"", ""time"", ""plan_8"", ""plan_14"", ""plan_2"", ""idp"", ""year_4"", ""hlthp""]","[[5, 16, 11, 3, 10, 21, 42, 48, 47, 6, 33, 7, 30, 34, 50, 20], [5]]","[16, 1]",1048.463309764862,0.8301866192230808,0.1698133807769192,-2.2279571735725106,0.0,0.0,-0.13164365218896504,0.0,0.3754341798262878,0.14164776977431756,0.1290111952490922,0.0,0.0,-0.06606590189862185,0.0603781044406514,0.0,0.0,0.0,0.0,-0.035146165393659196,0.0,0.0,0.0,-0.12597660056547447,-0.30326787875229333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13449342840664885,0.0,0.0,-0.13076837274032457,0.07477084923913847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21365505051626363,0.0,0.0,0.0,0.0,0.1480061626154862,-0.25561717814907603,0.0,-0.31728144400660396,0.0,0.0,0.0,0.0,0.6367959069873854,0.0,0.0,0.0,0.0,0.6015702900742711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0931844497649332,8.11070220747973
6,1588121864,True,,100.0,kmeans_glm,8103.204773556239,-3975.0724434214007,8036.992281469082,"[0, 5, 16, 11, 12, 28, 18, 9, 26, 14, 17, 38, 10, 22, 13, 21, 3, 1, 15, 49, 25, 42, 23, 19, 24, 52, 47, 33, 45, 2, 51, 4, 48, 43, 40, 54, 36, 6, 32, 30, 7, 27, 29, 41, 46, 34, 20, 50, 44, 31, 35]","[""Intercept"", ""xage"", ""child"", ""disea"", ""physlm"", ""lnum"", ""lfam"", ""num"", ""xghindx"", ""mdeoff"", ""fchild"", ""plan_11"", ""mhi"", ""fmde"", ""ghindx"", ""logc"", ""black"", ""coins"", ""pioff"", ""site_5"", ""hlthp"", ""plan_16"", ""hlthg"", ""lpi"", ""hlthf"", ""year_3"", ""site_3"", ""plan_6"", ""plan_19"", ""tookphys"", ""year_2"", ""income"", ""site_4"", ""plan_17"", ""plan_14"", ""year_5"", ""plan_9"", ""female"", ""plan_5"", ""plan_3"", ""educdec"", ""linc"", ""plan_2"", ""plan_15"", ""site_2"", ""plan_7"", ""idp"", ""site_6"", ""plan_18"", ""plan_4"", ""plan_8""]","[[5, 16, 11, 21, 47, 50], []]","[6, 0]",1324.9307448863983,0.8302914826805291,0.16970851731947098,-1.9780243174862513,0.0,0.0,0.0,0.0,0.21257960046607075,0.0,0.0,0.0,0.0,0.0,0.12122010703857082,0.0,0.0,0.0,0.0,-0.1945242453834047,0.0,0.0,0.0,0.0,-0.32988408531781743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22125009000923665,0.0,0.0,-0.16863184078296892,0.0,0.0,0.0,0.0,0.9474425322532352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.362449774898093,10.616928705668673
7,704557856,True,,50.0,quantile_glm,7920.418276310411,-3871.694938695421,7891.030448255518,"[0, 5, 16, 26, 11, 13, 12, 10, 38, 28, 18, 9, 14, 22, 3, 1, 17, 21, 49, 15, 41, 47, 6, 23, 52, 19, 24, 42, 45, 46, 4, 48, 32, 25, 54, 51, 31, 33, 30, 2, 36, 40, 7, 27, 44, 20, 8, 37, 43, 39, 29]","[""Intercept"", ""xage"", ""child"", ""xghindx"", ""disea"", ""ghindx"", ""physlm"", ""mhi"", ""plan_11"", ""lnum"", ""lfam"", ""num"", ""mdeoff"", ""fmde"", ""black"", ""coins"", ""fchild"", ""logc"", ""site_5"", ""pioff"", ""plan_15"", ""site_3"", ""female"", ""hlthg"", ""year_3"", ""lpi"", ""hlthf"", ""plan_16"", ""plan_19"", ""site_2"", ""income"", ""site_4"", ""plan_5"", ""hlthp"", ""year_5"", ""year_2"", ""plan_4"", ""plan_6"", ""plan_3"", ""tookphys"", ""plan_9"", ""plan_14"", ""educdec"", ""linc"", ""plan_18"", ""idp"", ""time"", ""plan_10"", ""plan_17"", ""plan_13"", ""plan_2""]","[[5, 16, 11, 10, 38, 3, 1, 21, 47, 6, 52, 48, 43], []]","[13, 0]",914.1967465877533,0.832160842966395,0.167839157033605,-2.2570414808574877,-0.09385568343860494,0.0,-0.17452764828067927,0.0,0.26504988983286354,0.12262799781262601,0.0,0.0,0.0,-0.06406972037005128,0.07418298644173342,0.0,0.0,0.0,0.0,-0.09131050310678673,0.0,0.0,0.0,0.0,-0.19586957609113925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11084962989127037,0.0,0.0,0.0,0.0,0.10472490792165762,0.0,0.0,0.0,0.13487616812902836,-0.17736562742891293,0.0,0.0,0.0,-1.3481343218830701,0.0,0.0,0.9099287834166835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.150017680630872,8.585010184232146
8,1223260386,True,,50.0,kmeans_glm,8183.936117847197,-3950.54577145889,8109.525290020853,"[0, 5, 16, 12, 11, 28, 18, 9, 26, 3, 13, 17, 14, 38, 1, 10, 22, 48, 21, 6, 49, 24, 4, 47, 42, 15, 23, 52, 45, 33, 2, 34, 41, 46, 25, 27, 51, 53, 19, 30, 32, 54, 29, 40, 50, 31, 35, 39, 43, 8, 36]","[""Intercept"", ""xage"", ""child"", ""physlm"", ""disea"", ""lnum"", ""lfam"", ""num"", ""xghindx"", ""black"", ""ghindx"", ""fchild"", ""mdeoff"", ""plan_11"", ""coins"", ""mhi"", ""fmde"", ""site_4"", ""logc"", ""female"", ""site_5"", ""hlthf"", ""income"", ""site_3"", ""plan_16"", ""pioff"", ""hlthg"", ""year_3"", ""plan_19"", ""plan_6"", ""tookphys"", ""plan_7"", ""plan_15"", ""site_2"", ""hlthp"", ""linc"", ""year_2"", ""year_4"", ""lpi"", ""plan_3"", ""plan_5"", ""year_5"", ""plan_2"", ""plan_14"", ""site_6"", ""plan_4"", ""plan_8"", ""plan_13"", ""plan_17"", ""time"", ""plan_9""]","[[5, 16, 11, 3, 14, 1, 22, 48, 21, 6, 47, 42, 45, 34, 29, 50], [5, 12, 11, 50]]","[16, 4]",1687.6116597652435,0.811908812318321,0.188091187681679,-2.3775038197370564,-0.18841784467048214,0.0,-0.11745763064270914,0.0,0.19321727625066576,0.11271991616455117,0.0,0.0,0.0,0.0,0.09972624682992187,0.0,0.0,-0.07713181986204055,0.0,-0.20368638638807943,0.0,0.0,0.0,0.0,-0.10094553896956016,-0.035851529276328876,0.0,0.0,0.0,0.0,0.0,0.0,0.14766518386953012,0.0,0.0,0.0,0.0,0.09557787975411713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.446912862302885,0.0,0.0,-1.35487851898914,0.0,0.1577838343822361,-0.21536451288664324,0.0,-0.22290788104147496,0.0,0.0,0.0,0.0,0.31736391098460615,0.0,0.0,0.0,0.0,0.6464837280932796,0.0,0.0,0.0,0.0,0.0,0.18675874188223085,0.32022119112450964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56820046846828,0.0,0.0,0.0,0.0,1.7008954474474918,5.478851219179045
9,774469787,True,,50.0,quantile_glm,8012.103462954158,-3874.1620787817787,7930.703686278746,"[0, 5, 16, 12, 3, 17, 11, 26, 1, 28, 18, 13, 38, 9, 10, 22, 49, 14, 21, 42, 6, 47, 23, 52, 48, 46, 4, 41, 27, 15, 24, 33, 32, 51, 44, 30, 40, 53, 54, 19, 45, 25, 39, 7, 37, 34, 43, 8, 2, 36, 20]","[""Intercept"", ""xage"", ""child"", ""physlm"", ""black"", ""fchild"", ""disea"", ""xghindx"", ""coins"", ""lnum"", ""lfam"", ""ghindx"", ""plan_11"", ""num"", ""mhi"", ""fmde"", ""site_5"", ""mdeoff"", ""logc"", ""plan_16"", ""female"", ""site_3"", ""hlthg"", ""year_3"", ""site_4"", ""site_2"", ""income"", ""plan_15"", ""linc"", ""pioff"", ""hlthf"", ""plan_6"", ""plan_5"", ""year_2"", ""plan_18"", ""plan_3"", ""plan_14"", ""year_4"", ""year_5"", ""lpi"", ""plan_19"", ""hlthp"", ""plan_13"", ""educdec"", ""plan_10"", ""plan_7"", ""plan_17"", ""time"", ""tookphys"", ""plan_9"", ""idp""]","[[5, 16, 3, 11, 1, 10, 22, 21, 6, 47, 48, 46, 24, 34, 43], [16, 12]]","[15, 2]",1457.9610087871552,0.8472821901124179,0.15271780988758218,-1.9970798277915405,-0.1356440240270321,0.0,-0.25648166351120455,0.0,0.2357973883478121,0.19323761311242732,0.0,0.0,0.0,-0.06293136087626904,0.025397562482357923,0.0,0.0,0.0,0.0,-0.18968432320068776,0.0,0.0,0.0,0.0,-0.06287014919448869,-0.23389153751112046,0.0,0.04243909263468777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11080537818140547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11104088206929276,0.0,0.0,0.0652899118195559,0.14128267026531222,-0.20867106072097183,0.0,0.0,0.0,0.0,0.0,0.0,0.45535083968355694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3197119935287685,0.0,0.0,0.0,-0.7653130448433432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0321193527286487,7.63024040549558
