parameter,full_data_estimate,bootstrap_mean,bootstrap_se,ci_lower,ci_upper,n_valid
pi_0,0.8408512880984126,0.8326943717002087,0.037079202657764945,0.8088046291017981,0.8684561610274637,500
pi_1,0.1591487119015874,0.16730562829979131,0.03707920265776494,0.13154383897253633,0.19119537089820188,500
intercept_0,-1.9675499461039274,-2.2116834297709635,0.2975664041555453,-2.8079008927675213,-1.9441373720949389,500
beta_0_1,0.0,-0.08004528050268103,0.08217918411930748,-0.252684230045228,0.0,500
beta_0_2,0.0,0.008977871042736488,0.028499791126026505,0.0,0.10336002605994235,500
beta_0_3,-0.13606947114891907,-0.09622771038469821,0.08358459687710126,-0.2537752035327537,0.0,500
beta_0_4,0.0,0.010209888065578933,0.03471878616345197,0.0,0.1234126095218921,500
beta_0_5,0.22112764657372436,0.2401999516869279,0.0793717652705951,0.094170785325565,0.39961447168839953,500
beta_0_6,0.0,0.11741178660859859,0.06718934358659202,0.0,0.21931572496775859,500
beta_0_7,0.0,0.019080727056533426,0.04506004186489486,0.0,0.1445428482412138,500
beta_0_8,0.0,0.021204049420571216,0.14709013080052463,0.0,0.2561520189551536,500
beta_0_9,0.0,-0.0009516272538902068,0.01934385204968363,0.0,0.0,500
beta_0_10,0.0,-0.024982835953332113,0.03591232186292049,-0.10502176097340726,0.0,500
beta_0_11,0.12665355997880776,0.05956365387056126,0.04508920575093697,0.0,0.15242796080791204,500
beta_0_12,0.0,0.01610023473046396,0.03057629219974554,0.0,0.0977803027877127,500
beta_0_13,0.0,-0.008501092239002176,0.03011610657561542,-0.1108308050917907,0.0,500
beta_0_14,0.0,-0.004259694091060599,0.025887061339551445,-0.09589742136607543,0.0,500
beta_0_15,0.0,0.004516239219144126,0.03049137712481593,0.0,0.041091251017656344,500
beta_0_16,-0.19102683751373692,-0.13681555095496314,0.17346489516994515,-0.2876566491750323,0.0,500
beta_0_17,0.0,0.0010948174048167473,0.014519727943689277,0.0,0.0,500
beta_0_18,0.0,-0.0028924941277494306,0.010499213478427893,-0.03563965142920601,0.0,500
beta_0_19,0.0,0.0019776155340642514,0.022623807200064412,0.0,0.0,500
