families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,extras,test_rmse,test_mae,prediction_finite,prediction_max,prediction_q99,prediction_stable,baseline_mean_rmse,baseline_median_mae,rmse_skill,mae_skill,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,init,seed,task_id,n,p
poisson+nb2,2,100.0,True,True,,-3931.8846965948915,7950.616787816063,7883.769393189783,-3931.8846965948915,"[0.8407777763215547, 0.15922222367844527]","[{}, {""log_alpha"": 2.34484995117476}]",3.1352413649016295,0.8831414935863043,True,0.8214368823064105,0.6876249796878453,True,3.1403712262975643,0.5373815967523681,0.001633520697482238,-0.643415961624876,"[6, 0]",0.0,6.0,"[[1, 2, 4, 9, 16, 21], []]","[[""xage"", ""child"", ""disea"", ""black"", ""logc"", ""site_3""], []]","[{""xage"": 0.22650308387272444, ""child"": -0.03923972178578561, ""disea"": 0.046819011399972466, ""black"": -0.010194424861678986, ""logc"": -0.17351533825260604, ""site_3"": 0.1023362525799194}, {}]","[-1.8498772647514368, 0.9155229637339636]",4,0.15922222367844527,37.722090005874634,randhealth_notmdvis_baseline,kmeans_glm,20260810,randhealth_notmdvis_baseline_K2_poisson-nb2_L100.0_kmeans_glm,5912,51
poisson+nb2,2,100.0,True,True,,-3937.3858853649435,7952.93442589354,7892.771770729887,-3937.3858853649435,"[0.8321415425086359, 0.16785845749136413]","[{}, {""log_alpha"": 2.190332739126891}]",3.135893442863726,0.8841297068349067,True,0.7714812024776532,0.6689628985958134,True,3.1403712262975643,0.5373815967523681,0.0014258771053374808,-0.6452549029927503,"[5, 0]",0.0,5.0,"[[1, 2, 4, 16, 21], []]","[[""xage"", ""child"", ""disea"", ""logc"", ""site_3""], []]","[{""xage"": 0.24242343785762166, ""child"": -0.02169368904032959, ""disea"": 0.03352185674493835, ""logc"": -0.15525866556432902, ""site_3"": 0.0975474883419653}, {}]","[-1.9072150003836874, 0.886838725738268]",5,0.16785845749136413,30.032814025878906,randhealth_notmdvis_baseline,quantile_glm,20260820,randhealth_notmdvis_baseline_K2_poisson-nb2_L100.0_quantile_glm,5912,51
poisson+zinb,2,50.0,True,True,,-3886.007271692719,7954.3940721006265,7814.014543385438,-3886.007271692719,"[0.8447734657724745, 0.1552265342275255]","[{}, {""log_alpha"": 0.6412873321957805, ""logit_theta"": 0.7553193434996356}]",3.132166796920493,0.8754270091536966,True,1.1088111593591103,0.7854162170291169,True,3.1403712262975643,0.5373815967523681,0.0026125667272605124,-0.6290602701028185,"[16, 0]",0.0,16.0,"[[1, 2, 4, 9, 12, 15, 16, 17, 20, 21, 22, 23, 27, 42, 43, 46], []]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""coins"", ""logc"", ""mhi"", ""plan_16"", ""site_3"", ""female"", ""site_4"", ""hlthp"", ""plan_2"", ""plan_17"", ""plan_7""], []]","[{""xage"": 0.22169817699190342, ""child"": -0.10241036719050348, ""disea"": 0.06582136132469202, ""black"": -0.086369369860711, ""fmde"": -0.07616249306780931, ""coins"": -0.038249960339683545, ""logc"": -0.15437712062303302, ""mhi"": -0.010320257498863937, ""plan_16"": -0.012854337389445105, ""site_3"": 0.1450643858514547, ""female"": 0.05739002790370033, ""site_4"": -0.05697647854948834, ""hlthp"": 0.017966281329878427, ""plan_2"": 0.04890098064474225, ""plan_17"": 0.0334835892655182, ""plan_7"": 0.05617647731736641}, {}]","[-1.8647289440852544, 2.0555398019562334]",4,0.1552265342275255,43.680333614349365,randhealth_notmdvis_baseline,kmeans_glm,20260849,randhealth_notmdvis_baseline_K2_poisson-zinb_L50.0_kmeans_glm,5912,51
nb2+nb2,2,100.0,False,True,,-3929.834956479189,7955.202047047286,7881.669912958378,-3929.834956479189,"[0.8813339866470111, 0.1186660133529888]","[{""log_alpha"": -8.517821144697944}, {""log_alpha"": 1.9823505366674223}]",3.1351981490199314,0.8831303574421763,True,0.8249781917823517,0.6880439090435748,True,3.1403712262975643,0.5373815967523681,0.001647282090191493,-0.6433952386522335,"[6, 0]",0.0,6.0,"[[1, 2, 4, 9, 16, 21], []]","[[""xage"", ""child"", ""disea"", ""black"", ""logc"", ""site_3""], []]","[{""xage"": 0.22222881676927309, ""child"": -0.04464224473481304, ""disea"": 0.04769078563224391, ""black"": -0.011544197268201939, ""logc"": -0.17225032317417835, ""site_3"": 0.1041836176155842}, {}]","[-1.8916277062131739, 1.2078213880772755]",12,0.1186660133529888,32.20286440849304,randhealth_notmdvis_baseline,kmeans_glm,20260870,randhealth_notmdvis_baseline_K2_nb2-nb2_L100.0_kmeans_glm,5912,51
nb2+nb2,2,50.0,False,True,,-3887.3967494934154,7957.17302770202,7816.793498986831,-3887.3967494934154,"[0.8834211967360927, 0.11657880326390738]","[{""log_alpha"": -27.631021115928547}, {""log_alpha"": 1.969232979743369}]",3.132270248718421,0.8782174031713934,True,1.136783291262848,0.7924168163097374,True,3.1403712262975643,0.5373815967523681,0.0025796241894286975,-0.6342528446802889,"[16, 0]",0.0,16.0,"[[1, 2, 4, 9, 12, 15, 16, 17, 20, 21, 22, 23, 27, 42, 43, 46], []]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""coins"", ""logc"", ""mhi"", ""plan_16"", ""site_3"", ""female"", ""site_4"", ""hlthp"", ""plan_2"", ""plan_17"", ""plan_7""], []]","[{""xage"": 0.23083570629817662, ""child"": -0.10185148985165299, ""disea"": 0.06550328247369441, ""black"": -0.08414903445670008, ""fmde"": -0.04243391137976345, ""coins"": -0.037796551799882824, ""logc"": -0.1938495940973132, ""mhi"": -0.011993232944005451, ""plan_16"": -0.009840145607360433, ""site_3"": 0.15284084937009346, ""female"": 0.05851789448667766, ""site_4"": -0.05502199832436269, ""hlthp"": 0.019496152557732276, ""plan_2"": 0.049112815185770105, ""plan_17"": 0.029418361524172876, ""plan_7"": 0.05367966861890959}, {}]","[-1.942135715997427, 1.2218871109483889]",13,0.11657880326390738,63.876338720321655,randhealth_notmdvis_baseline,kmeans_glm,20260869,randhealth_notmdvis_baseline_K2_nb2-nb2_L50.0_kmeans_glm,5912,51
poisson+zinb,2,100.0,True,True,,-3937.367052572692,7961.581499771664,7894.734105145384,-3937.367052572692,"[0.8347751824088617, 0.16522481759113833]","[{}, {""log_alpha"": 2.168283891692482, ""logit_theta"": -16.50844334209859}]",3.135899960164046,0.8841390233249689,True,0.7710175133405412,0.6687399208737355,True,3.1403712262975643,0.5373815967523681,0.0014238017773426925,-0.6452722398165616,"[5, 0]",0.0,5.0,"[[1, 2, 4, 16, 21], []]","[[""xage"", ""child"", ""disea"", ""logc"", ""site_3""], []]","[{""xage"": 0.24269843473318742, ""child"": -0.021492786925021712, ""disea"": 0.03331348686678137, ""logc"": -0.15497570799798124, ""site_3"": 0.0976152998565803}, {}]","[-1.9112194224918537, 0.902932168719313]",5,0.16522481759113833,93.13023376464844,randhealth_notmdvis_baseline,kmeans_glm,20260850,randhealth_notmdvis_baseline_K2_poisson-zinb_L100.0_kmeans_glm,5912,51
poisson+zinb,2,100.0,True,True,,-3937.367052572692,7961.581499771664,7894.734105145384,-3937.367052572692,"[0.8347751824088617, 0.16522481759113833]","[{}, {""log_alpha"": 2.168283891692482, ""logit_theta"": -16.50844334209859}]",3.135899960164046,0.8841390233249689,True,0.7710175133405412,0.6687399208737355,True,3.1403712262975643,0.5373815967523681,0.0014238017773426925,-0.6452722398165616,"[5, 0]",0.0,5.0,"[[1, 2, 4, 16, 21], []]","[[""xage"", ""child"", ""disea"", ""logc"", ""site_3""], []]","[{""xage"": 0.24269843473318742, ""child"": -0.021492786925021712, ""disea"": 0.03331348686678137, ""logc"": -0.15497570799798124, ""site_3"": 0.0976152998565803}, {}]","[-1.9112194224918537, 0.902932168719313]",5,0.16522481759113833,38.10741949081421,randhealth_notmdvis_baseline,quantile_glm,20260860,randhealth_notmdvis_baseline_K2_poisson-zinb_L100.0_quantile_glm,5912,51
nb2+zinb,2,100.0,True,True,,-3929.788629943755,7963.794133439046,7883.57725988751,-3929.788629943755,"[0.8823156494175375, 0.1176843505824625]","[{""log_alpha"": -9.289505149336856}, {""log_alpha"": 1.9523381108125657, ""logit_theta"": -13.392522141147381}]",3.1352261585513848,0.8832267339570399,True,0.8225380822838435,0.6871503218779171,True,3.1403712262975643,0.5373815967523681,0.001638362911713931,-0.6435745833031223,"[6, 0]",0.0,6.0,"[[1, 2, 4, 9, 16, 21], []]","[[""xage"", ""child"", ""disea"", ""black"", ""logc"", ""site_3""], []]","[{""xage"": 0.2212400583599463, ""child"": -0.04576916431929359, ""disea"": 0.047389027211476795, ""black"": -0.010939174886004183, ""logc"": -0.17173890374368206, ""site_3"": 0.10392826626340076}, {}]","[-1.89590305495663, 1.217505198008442]",11,0.1176843505824625,45.469374895095825,randhealth_notmdvis_baseline,kmeans_glm,20260910,randhealth_notmdvis_baseline_K2_nb2-zinb_L100.0_kmeans_glm,5912,51
poisson+poisson+nb2,3,100.0,True,True,,-3932.964573434884,7970.1460204213045,7889.929146869768,-3932.964573434884,"[0.8508035970140326, 0.049060408448348636, 0.10013599453761879]","[{}, {}, {""log_alpha"": 1.7554659008511935}]",3.1354551571678853,0.8836331073444599,True,0.8085870651210232,0.6821442058925037,True,3.1403712262975643,0.5373815967523681,0.001565442037078868,-0.6443307933964264,"[6, 0, 0]",0.0,6.0,"[[1, 2, 4, 9, 16, 21], [], []]","[[""xage"", ""child"", ""disea"", ""black"", ""logc"", ""site_3""], [], []]","[{""xage"": 0.23426502250124714, ""child"": -0.0371670210908282, ""disea"": 0.04521423948358144, ""black"": -0.005133501463956136, ""logc"": -0.17134737367144018, ""site_3"": 0.1027348843001008}, {}, {}]","[-1.9111744054996587, -1.845989593083667, 1.3769742013802078]",4,0.049060408448348636,38.86508917808533,randhealth_notmdvis_baseline,kmeans_glm,20261010,randhealth_notmdvis_baseline_K3_poisson-poisson-nb2_L100.0_kmeans_glm,5912,51
zinb+zinb,2,100.0,False,True,,-3924.3960848532365,7970.378522183266,7876.792169706473,-3924.3960848532365,"[0.8847695541361864, 0.11523044586381352]","[{""log_alpha"": -3.1515759338535387, ""logit_theta"": -15.615095738803388}, {""log_alpha"": 0.36119253002600604, ""logit_theta"": 0.5483925756380339}]",3.134714619361597,0.8819756486536581,True,0.8532454890999094,0.7007850402658796,True,3.1403712262975643,0.5373815967523681,0.00180125422389521,-0.6412464698899674,"[7, 0]",0.0,7.0,"[[1, 2, 4, 9, 12, 16, 21], []]","[[""xage"", ""child"", ""disea"", ""black"", ""fmde"", ""logc"", ""site_3""], []]","[{""xage"": 0.2115350440638214, ""child"": -0.056623601959150394, ""disea"": 0.05209283272080206, ""black"": -0.022026663873332825, ""fmde"": -0.00023345958470599726, ""logc"": -0.1770098838061744, ""site_3"": 0.10437171352786503}, {}]","[-1.8306485173558547, 2.2154516506499062]",11,0.11523044586381352,50.35975098609924,randhealth_notmdvis_baseline,kmeans_glm,20260970,randhealth_notmdvis_baseline_K2_zinb-zinb_L100.0_kmeans_glm,5912,51
