parameter,label,estimate,se,ci_lower,ci_upper
eta_pi[0],mixing log-odds,1.6645757567849857,0.5341893894910414,0.6175837924591052,2.711567721110866
beta[0][0],poisson: Intercept,-1.9675499461039274,0.09122901500695402,-2.1463555298626216,-1.7887443623452335
beta[0][1],poisson: xage,0.22112764657372436,0.060919935743911316,0.10172676657516387,0.34052852657228483
beta[0][2],poisson: child,-0.19102683751373692,0.06858188142835168,-0.32544485510530263,-0.056608819922171205
beta[0][4],poisson: disea,0.12665355997880776,0.032970460692989936,0.06203264446685397,0.19127447549076154
beta[0][9],poisson: black,-0.13606947114891907,0.047623498575720694,-0.22940981317512618,-0.042729129122711956
beta[0][16],poisson: logc,-0.31925521265383683,0.0390159274311301,-0.39572502524228015,-0.24278540006539348
beta[0][21],poisson: site_3,0.2101429722117137,0.03178439898969992,0.1478466949216506,0.27243924950177684
beta[1][0],nb2: Intercept,0.9135232450523226,0.4581928333477307,0.015481793716407455,1.811564696388238
extra[1].log_alpha_t,extra[1].log_alpha_t,2.33747435818562,0.5432531407619995,1.2727177678038328,3.402230948567407
