component,feature_index,feature,screening_frequency,selection_frequency,selected_in_full_fit
0,1,coins,1.0,0.608,False
0,2,tookphys,0.936,0.108,False
0,3,black,1.0,0.682,True
0,4,income,0.95,0.114,False
0,5,xage,1.0,1.0,True
0,6,female,1.0,0.806,False
0,7,educdec,0.798,0.168,False
0,8,time,0.944,0.026,False
0,9,num,1.0,0.03,False
0,10,mhi,1.0,0.382,False
0,11,disea,1.0,0.868,True
0,12,physlm,1.0,0.272,False
0,13,ghindx,1.0,0.086,False
0,14,mdeoff,1.0,0.062,False
0,15,pioff,1.0,0.028,False
0,16,child,1.0,0.796,True
0,17,fchild,1.0,0.006,False
0,18,lfam,1.0,0.104,False
0,19,lpi,0.994,0.038,False
0,20,idp,0.652,0.04,False
0,21,logc,1.0,0.886,True
0,22,fmde,1.0,0.63,False
0,23,hlthg,0.95,0.064,False
0,24,hlthf,0.994,0.31,False
0,25,hlthp,0.97,0.488,False
0,26,xghindx,1.0,0.106,False
0,27,linc,0.916,0.028,False
0,28,lnum,1.0,0.104,False
0,29,plan_2,0.81,0.608,False
0,30,plan_3,0.978,0.158,False
0,31,plan_4,0.814,0.138,False
0,32,plan_5,0.986,0.032,False
0,33,plan_6,0.99,0.048,False
0,34,plan_7,0.744,0.584,False
0,35,plan_8,0.566,0.124,False
0,36,plan_9,0.89,0.028,False
0,37,plan_10,0.752,0.018,False
0,38,plan_11,1.0,0.266,False
0,39,plan_13,0.702,0.012,False
0,40,plan_14,0.814,0.022,False
0,41,plan_15,0.996,0.194,False
0,42,plan_16,1.0,0.434,False
0,43,plan_17,0.778,0.498,False
0,44,plan_18,0.648,0.014,False
0,45,plan_19,1.0,0.046,False
0,46,site_2,0.966,0.096,False
0,47,site_3,0.998,0.988,True
0,48,site_4,1.0,0.8,False
0,49,site_5,1.0,0.226,False
0,50,site_6,0.69,0.686,False
0,51,year_2,0.978,0.026,False
0,52,year_3,1.0,0.236,False
0,53,year_4,0.796,0.074,False
0,54,year_5,1.0,0.136,False
1,1,coins,1.0,0.068,False
1,2,tookphys,0.936,0.014,False
1,3,black,1.0,0.122,False
1,4,income,0.95,0.01,False
1,5,xage,1.0,0.316,False
1,6,female,1.0,0.004,False
1,7,educdec,0.798,0.03,False
1,8,time,0.944,0.0,False
1,9,num,1.0,0.082,False
1,10,mhi,1.0,0.014,False
1,11,disea,1.0,0.346,False
1,12,physlm,1.0,0.45,False
1,13,ghindx,1.0,0.024,False
1,14,mdeoff,1.0,0.056,False
1,15,pioff,1.0,0.002,False
1,16,child,1.0,0.384,False
1,17,fchild,1.0,0.014,False
1,18,lfam,1.0,0.088,False
1,19,lpi,0.994,0.016,False
1,20,idp,0.652,0.0,False
1,21,logc,1.0,0.0,False
1,22,fmde,1.0,0.0,False
1,23,hlthg,0.95,0.016,False
1,24,hlthf,0.994,0.002,False
1,25,hlthp,0.97,0.116,False
1,26,xghindx,1.0,0.038,False
1,27,linc,0.916,0.002,False
1,28,lnum,1.0,0.088,False
1,29,plan_2,0.81,0.0,False
1,30,plan_3,0.978,0.0,False
1,31,plan_4,0.814,0.0,False
1,32,plan_5,0.986,0.004,False
1,33,plan_6,0.99,0.002,False
1,34,plan_7,0.744,0.0,False
1,35,plan_8,0.566,0.008,False
1,36,plan_9,0.89,0.0,False
1,37,plan_10,0.752,0.0,False
1,38,plan_11,1.0,0.144,False
1,39,plan_13,0.702,0.002,False
1,40,plan_14,0.814,0.032,False
1,41,plan_15,0.996,0.008,False
1,42,plan_16,1.0,0.01,False
1,43,plan_17,0.778,0.0,False
1,44,plan_18,0.648,0.0,False
1,45,plan_19,1.0,0.002,False
1,46,site_2,0.966,0.022,False
1,47,site_3,0.998,0.004,False
1,48,site_4,1.0,0.028,False
1,49,site_5,1.0,0.102,False
1,50,site_6,0.69,0.36,False
1,51,year_2,0.978,0.0,False
1,52,year_3,1.0,0.0,False
1,53,year_4,0.796,0.024,False
1,54,year_5,1.0,0.0,False
