families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,test_rmse,test_mae,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,init,task_id
nb2+zinb,2,10.0,True,True,,-1712.085652608428,3527.787634401588,3454.171305216856,-1578.9986869441045,"[0.3740699003911875, 0.6259300996088126]",930.8506782035445,55.391977998496,"[2, 7]",1.0,7.0,"[[1, 22], [2, 5, 11, 22, 24, 25, 29]]","[[""x52"", ""x51""], [""x2"", ""x17"", ""x4"", ""x51"", ""x61"", ""x35"", ""x30""]]","[{""x52"": 1.0253521820608167, ""x51"": 0.2714813759735844}, {""x2"": 0.06077382820748184, ""x17"": 0.644746636766673, ""x4"": 0.2580404910225355, ""x51"": 0.46122022779377764, ""x61"": -1.6126254978073757, ""x35"": -0.003940734086970582, ""x30"": -0.2735610287097882}]","[0.5765933607785011, 0.11257092987502915]",61,0.3740699003911875,816.8248591423035,blog,quantile_glm,blog_K2_nb2-zinb_L10.0_quantile_glm
nb2+nb2,2,10.0,False,True,,-1717.2651340732025,3531.2388420521547,3462.530268146405,-1575.373167970126,"[0.4327068668743598, 0.5672931331256403]",2113.8111027248237,125.159889073353,"[5, 4]",1.0,7.0,"[[5, 22, 24, 25, 29], [1, 11, 17, 22]]","[[""x17"", ""x51"", ""x61"", ""x35"", ""x30""], [""x52"", ""x4"", ""x21"", ""x51""]]","[{""x17"": 0.6977618683955598, ""x51"": 0.48735037459883884, ""x61"": -1.7183447071820015, ""x35"": -0.06087941569530812, ""x30"": -0.07606574755574316}, {""x52"": 0.6372395011376287, ""x4"": 0.24121016590967292, ""x21"": 0.49460706954371003, ""x51"": 0.1879596127082453}]","[0.4143507412770759, 0.27795347844923657]",51,0.4327068668743598,528.968367099762,blog,quantile_glm,blog_K2_nb2-nb2_L10.0_quantile_glm
nb2+zinb,2,5.0,True,True,,-1682.0352390258827,3536.7643600263186,3414.0704780517653,-1666.8010371670975,"[0.3916840293111477, 0.6083159706888523]",5200472.996940171,253242.86586641386,"[7, 12]",4.0,11.0,"[[1, 17, 22, 24, 25, 36, 38], [1, 2, 5, 11, 17, 22, 23, 24, 28, 29, 30, 31]]","[[""x52"", ""x21"", ""x51"", ""x61"", ""x35"", ""x45"", ""x46""], [""x52"", ""x2"", ""x17"", ""x4"", ""x21"", ""x51"", ""x54"", ""x61"", ""x26"", ""x30"", ""x41"", ""x57""]]","[{""x52"": 1.9795604840496337, ""x21"": 0.5383875182873917, ""x51"": 0.6465675089601329, ""x61"": 0.10306992239119567, ""x35"": -0.583731320935823, ""x45"": -0.5301990539819559, ""x46"": 0.42060769895207467}, {""x52"": 0.1109622490025569, ""x2"": 0.7934536945523527, ""x17"": 0.10841266176464263, ""x4"": 0.31391267600710737, ""x21"": 0.03460547421055263, ""x51"": 0.48484103342452045, ""x54"": -0.11694943676815651, ""x61"": -1.8851171933121582, ""x26"": -0.14530093771938885, ""x30"": -0.49565773042298056, ""x41"": -0.0841949486672482, ""x57"": -0.07368138002185658}]","[0.5385242967676458, -0.3038407737049311]",153,0.3916840293111477,1818.3554089069366,blog,quantile_glm,blog_K2_nb2-zinb_L5.0_quantile_glm
zinb+zinb,2,5.0,False,True,,-1681.781836746172,3543.1653107458797,3415.563673492344,-1674.2939972669815,"[0.40617988896605356, 0.5938201110339465]",5403451.945003725,267472.3554308382,"[7, 12]",4.0,11.0,"[[1, 17, 22, 24, 25, 36, 38], [1, 2, 5, 11, 17, 22, 23, 24, 28, 29, 30, 31]]","[[""x52"", ""x21"", ""x51"", ""x61"", ""x35"", ""x45"", ""x46""], [""x52"", ""x2"", ""x17"", ""x4"", ""x21"", ""x51"", ""x54"", ""x61"", ""x26"", ""x30"", ""x41"", ""x57""]]","[{""x52"": 1.9878480210401466, ""x21"": 0.5733465833307264, ""x51"": 0.6394476172204494, ""x61"": 0.09517300630079172, ""x35"": -0.6249539272822815, ""x45"": -0.5200159218147441, ""x46"": 0.40866369592653984}, {""x52"": 0.09833905854173614, ""x2"": 0.8193244855456571, ""x17"": 0.09963266375447904, ""x4"": 0.29722964242455335, ""x21"": 0.020798280290382228, ""x51"": 0.5055505876475579, ""x54"": -0.1319544451936203, ""x61"": -1.8945962875588078, ""x26"": -0.15573762565312865, ""x30"": -0.4671920463084641, ""x41"": -0.09099422536067955, ""x57"": -0.06743447779776371}]","[0.5132001964023116, -0.2917912399670035]",157,0.40617988896605356,1932.4697058200836,blog,quantile_glm,blog_K2_zinb-zinb_L5.0_quantile_glm
nb2+zip+zinb,3,10.0,True,True,,-1711.556015328793,3547.4516256792645,3459.112030657586,-1579.1491250306037,"[0.3667382994307731, 0.006967669037267267, 0.6262940315319595]",1530.5296115679043,84.85597943327103,"[2, 0, 7]",0.0,8.0,"[[1, 22], [], [2, 5, 11, 22, 24, 25, 29]]","[[""x52"", ""x51""], [], [""x2"", ""x17"", ""x4"", ""x51"", ""x61"", ""x35"", ""x30""]]","[{""x52"": 1.097884778262363, ""x51"": 0.2319600317280087}, {}, {""x2"": 0.21779716538919014, ""x17"": 0.5069882754334758, ""x4"": 0.259691229291102, ""x51"": 0.46839061028612444, ""x61"": -1.614038388962374, ""x35"": -0.05747141798234826, ""x30"": -0.2350640337721053}]","[0.6091022802113373, 0.6366493998628371, 0.09681308370664915]",52,0.006967669037267267,803.3378882408142,blog,quantile_glm,blog_K3_nb2-zip-zinb_L10.0_quantile_glm
poisson+nb2+zinb,3,10.0,True,True,,-1715.6064695738987,3548.644778890494,3465.2129391477974,-1589.8220108597682,"[0.05422623394873659, 0.2299639480259122, 0.7158098180253512]",190.91421948511334,17.514137467039127,"[0, 2, 7]",0.0,8.0,"[[], [1, 22], [2, 5, 11, 22, 24, 25, 29]]","[[], [""x52"", ""x51""], [""x2"", ""x17"", ""x4"", ""x51"", ""x61"", ""x35"", ""x30""]]","[{}, {""x52"": 0.9462407343915704, ""x51"": 0.05928689719495226}, {""x2"": 0.25034539006338125, ""x17"": 0.5003020099194935, ""x4"": 0.2470118401223353, ""x51"": 0.49899688839577405, ""x61"": -1.5644330416390868, ""x35"": -0.06785399108711031, ""x30"": -0.2381085547538586}]","[-1.1587005668507586, 0.9857821839635825, 0.056667149848443545]",50,0.05422623394873659,694.8724753856659,blog,quantile_glm,blog_K3_poisson-nb2-zinb_L10.0_quantile_glm
zinb+zinb,2,20.0,False,True,,-1733.1139536224516,3549.120970592689,3490.2279072449032,-1602.7131556713875,"[0.9240834457291244, 0.07591655427087568]",99.12611626214388,12.37027170316403,"[5, 0]",0.0,5.0,"[[1, 5, 21, 22, 24], []]","[[""x52"", ""x17"", ""x23"", ""x51"", ""x61""], []]","[{""x52"": 0.23925260360686268, ""x17"": 0.7156779387246089, ""x23"": -0.08454193595643372, ""x51"": 0.1797966951037213, ""x61"": -1.051219814806046}, {}]","[0.35290446728689906, 2.0492606325491605]",24,0.07591655427087568,311.8333303928375,blog,kmeans_glm,blog_K2_zinb-zinb_L20.0_kmeans_glm
poisson+nb2+nb2,3,10.0,True,True,,-1716.277417573814,3549.9866748903246,3466.554835147628,-1590.8101751143838,"[0.053316033263915194, 0.21849439547934063, 0.7281895712567441]",98.65800325977229,12.506303014452458,"[0, 2, 8]",0.0,8.0,"[[], [1, 22], [1, 2, 5, 11, 22, 24, 25, 29]]","[[], [""x52"", ""x51""], [""x52"", ""x2"", ""x17"", ""x4"", ""x51"", ""x61"", ""x35"", ""x30""]]","[{}, {""x52"": 0.8574614054717092, ""x51"": 0.05190768703718582}, {""x52"": 0.0038300064761418126, ""x2"": 0.29557977465013147, ""x17"": 0.47091342759249966, ""x4"": 0.23529566827253065, ""x51"": 0.5029000956494577, ""x61"": -1.557837862322221, ""x35"": -0.07615522774754048, ""x30"": -0.22858834560863514}]","[-1.08642404871496, 1.0162123901794793, 0.06282881237781235]",50,0.053316033263915194,514.1531419754028,blog,quantile_glm,blog_K3_poisson-nb2-nb2_L10.0_quantile_glm
zinb+zinb,2,10.0,False,True,,-1714.259306823636,3552.8582086689507,3464.518613647272,-1577.5295543428138,"[0.555201203743854, 0.4447987962561461]",1367.7537317009696,89.36615887670837,"[7, 4]",3.0,5.0,"[[1, 5, 11, 22, 24, 25, 29], [1, 11, 17, 22]]","[[""x52"", ""x17"", ""x4"", ""x51"", ""x61"", ""x35"", ""x30""], [""x52"", ""x4"", ""x21"", ""x51""]]","[{""x52"": 0.006265135541607626, ""x17"": 0.7407039202548303, ""x4"": 0.040489842361891744, ""x51"": 0.4977074942555526, ""x61"": -1.673394480447907, ""x35"": -0.08719255953778696, ""x30"": -0.10704259940819211}, {""x52"": 0.5427944307306733, ""x4"": 0.16999335165157414, ""x21"": 0.5762001427202892, ""x51"": 0.23217553319221226}]","[0.2471546725471394, 0.411147902298658]",58,0.4447987962561461,720.9545543193817,blog,quantile_glm,blog_K2_zinb-zinb_L10.0_quantile_glm
nb2,1,20.0,False,True,,-1753.6347621817247,3555.6238113163245,3521.2695243634494,-1603.3345882216868,[1.0],87.69861896353827,11.75745528359866,[5],,,"[[1, 2, 21, 22, 24]]","[[""x52"", ""x2"", ""x23"", ""x51"", ""x61""]]","[{""x52"": 0.22957233000656535, ""x2"": 0.5093194724336351, ""x23"": -0.07802392092678011, ""x51"": 0.24773009844119068, ""x61"": -0.8233398929363799}]",[0.7471119322523023],25,1.0,245.0050654411316,blog,kmeans_glm,blog_K1_nb2_L20.0_kmeans_glm
