families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,test_rmse,test_mae,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,init,task_id
nb2+zinb,2,10.0,True,True,,-1712.085652608428,3527.787634401588,3454.171305216856,-1578.9986869441045,"[0.3740699003911875, 0.6259300996088126]",930.8506782035445,55.391977998496,"[2, 7]",1.0,7.0,"[[1, 22], [2, 5, 11, 22, 24, 25, 29]]","[[""x52"", ""x51""], [""x2"", ""x17"", ""x4"", ""x51"", ""x61"", ""x35"", ""x30""]]","[{""x52"": 1.0253521820608167, ""x51"": 0.2714813759735844}, {""x2"": 0.06077382820748184, ""x17"": 0.644746636766673, ""x4"": 0.2580404910225355, ""x51"": 0.46122022779377764, ""x61"": -1.6126254978073757, ""x35"": -0.003940734086970582, ""x30"": -0.2735610287097882}]","[0.5765933607785011, 0.11257092987502915]",61,0.3740699003911875,816.8248591423035,blog,quantile_glm,blog_K2_nb2-zinb_L10.0_quantile_glm
nb2+zinb,2,5.0,True,True,,-1682.0352390258827,3536.7643600263186,3414.0704780517653,-1666.8010371670975,"[0.3916840293111477, 0.6083159706888523]",5200472.996940171,253242.86586641386,"[7, 12]",4.0,11.0,"[[1, 17, 22, 24, 25, 36, 38], [1, 2, 5, 11, 17, 22, 23, 24, 28, 29, 30, 31]]","[[""x52"", ""x21"", ""x51"", ""x61"", ""x35"", ""x45"", ""x46""], [""x52"", ""x2"", ""x17"", ""x4"", ""x21"", ""x51"", ""x54"", ""x61"", ""x26"", ""x30"", ""x41"", ""x57""]]","[{""x52"": 1.9795604840496337, ""x21"": 0.5383875182873917, ""x51"": 0.6465675089601329, ""x61"": 0.10306992239119567, ""x35"": -0.583731320935823, ""x45"": -0.5301990539819559, ""x46"": 0.42060769895207467}, {""x52"": 0.1109622490025569, ""x2"": 0.7934536945523527, ""x17"": 0.10841266176464263, ""x4"": 0.31391267600710737, ""x21"": 0.03460547421055263, ""x51"": 0.48484103342452045, ""x54"": -0.11694943676815651, ""x61"": -1.8851171933121582, ""x26"": -0.14530093771938885, ""x30"": -0.49565773042298056, ""x41"": -0.0841949486672482, ""x57"": -0.07368138002185658}]","[0.5385242967676458, -0.3038407737049311]",153,0.3916840293111477,1818.3554089069366,blog,quantile_glm,blog_K2_nb2-zinb_L5.0_quantile_glm
nb2+zip+zinb,3,10.0,True,True,,-1711.556015328793,3547.4516256792645,3459.112030657586,-1579.1491250306037,"[0.3667382994307731, 0.006967669037267267, 0.6262940315319595]",1530.5296115679043,84.85597943327103,"[2, 0, 7]",0.0,8.0,"[[1, 22], [], [2, 5, 11, 22, 24, 25, 29]]","[[""x52"", ""x51""], [], [""x2"", ""x17"", ""x4"", ""x51"", ""x61"", ""x35"", ""x30""]]","[{""x52"": 1.097884778262363, ""x51"": 0.2319600317280087}, {}, {""x2"": 0.21779716538919014, ""x17"": 0.5069882754334758, ""x4"": 0.259691229291102, ""x51"": 0.46839061028612444, ""x61"": -1.614038388962374, ""x35"": -0.05747141798234826, ""x30"": -0.2350640337721053}]","[0.6091022802113373, 0.6366493998628371, 0.09681308370664915]",52,0.006967669037267267,803.3378882408142,blog,quantile_glm,blog_K3_nb2-zip-zinb_L10.0_quantile_glm
poisson+nb2+zinb,3,10.0,True,True,,-1715.6064695738987,3548.644778890494,3465.2129391477974,-1589.8220108597682,"[0.05422623394873659, 0.2299639480259122, 0.7158098180253512]",190.91421948511334,17.514137467039127,"[0, 2, 7]",0.0,8.0,"[[], [1, 22], [2, 5, 11, 22, 24, 25, 29]]","[[], [""x52"", ""x51""], [""x2"", ""x17"", ""x4"", ""x51"", ""x61"", ""x35"", ""x30""]]","[{}, {""x52"": 0.9462407343915704, ""x51"": 0.05928689719495226}, {""x2"": 0.25034539006338125, ""x17"": 0.5003020099194935, ""x4"": 0.2470118401223353, ""x51"": 0.49899688839577405, ""x61"": -1.5644330416390868, ""x35"": -0.06785399108711031, ""x30"": -0.2381085547538586}]","[-1.1587005668507586, 0.9857821839635825, 0.056667149848443545]",50,0.05422623394873659,694.8724753856659,blog,quantile_glm,blog_K3_poisson-nb2-zinb_L10.0_quantile_glm
poisson+nb2+nb2,3,10.0,True,True,,-1716.277417573814,3549.9866748903246,3466.554835147628,-1590.8101751143838,"[0.053316033263915194, 0.21849439547934063, 0.7281895712567441]",98.65800325977229,12.506303014452458,"[0, 2, 8]",0.0,8.0,"[[], [1, 22], [1, 2, 5, 11, 22, 24, 25, 29]]","[[], [""x52"", ""x51""], [""x52"", ""x2"", ""x17"", ""x4"", ""x51"", ""x61"", ""x35"", ""x30""]]","[{}, {""x52"": 0.8574614054717092, ""x51"": 0.05190768703718582}, {""x52"": 0.0038300064761418126, ""x2"": 0.29557977465013147, ""x17"": 0.47091342759249966, ""x4"": 0.23529566827253065, ""x51"": 0.5029000956494577, ""x61"": -1.557837862322221, ""x35"": -0.07615522774754048, ""x30"": -0.22858834560863514}]","[-1.08642404871496, 1.0162123901794793, 0.06282881237781235]",50,0.053316033263915194,514.1531419754028,blog,quantile_glm,blog_K3_poisson-nb2-nb2_L10.0_quantile_glm
nb2+zinb,2,5.0,True,True,,-1662.7451180705852,3560.3539156265633,3393.4902361411705,-1561.5461857402859,"[0.45513930618640785, 0.5448606938135923]",1.3317424530746424e+16,565636488148785.9,"[11, 17]",7.0,14.0,"[[1, 16, 17, 22, 24, 27, 29, 31, 36, 38, 40], [1, 2, 3, 5, 11, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 38]]","[[""x52"", ""x9"", ""x21"", ""x51"", ""x61"", ""x36"", ""x30"", ""x57"", ""x45"", ""x46"", ""x39""], [""x52"", ""x2"", ""x7"", ""x17"", ""x4"", ""x51"", ""x54"", ""x61"", ""x35"", ""x31"", ""x36"", ""x26"", ""x30"", ""x41"", ""x57"", ""x55"", ""x46""]]","[{""x52"": 1.6375699172144724, ""x9"": -0.23806287651405095, ""x21"": 3.3724555324890106, ""x51"": 0.6464078130319388, ""x61"": 0.013531507877699191, ""x36"": -0.28555268952473184, ""x30"": -0.2655875641549442, ""x57"": 0.04194649408736084, ""x45"": -0.21469792759029904, ""x46"": 0.4919510931303797, ""x39"": 0.24858340009359794}, {""x52"": 0.18198829835949684, ""x2"": 0.9540912568650773, ""x7"": 0.12858227490744664, ""x17"": 0.04411837315642197, ""x4"": 0.06187651069309994, ""x51"": 0.4820512952791966, ""x54"": -0.1919583738878846, ""x61"": -1.9530861245293454, ""x35"": -0.03444675897770136, ""x31"": -0.07651659867449605, ""x36"": -0.0002996283801065278, ""x26"": -0.20951472577455962, ""x30"": -0.32438057590148484, ""x41"": -0.01099680469391342, ""x57"": -0.06324134646657308, ""x55"": -0.06207213319948109, ""x46"": -0.0190241335151106}]","[0.720731646127326, -0.28264635250107256]",81,0.45513930618640785,1291.4789617061615,blog,kmeans_glm,blog_K2_nb2-zinb_L5.0_kmeans_glm
nb2+zinb,2,20.0,True,True,,-1734.036147845881,3564.780869597512,3496.072295691762,-1603.1341430440455,"[0.4812579992552708, 0.5187420007447292]",40.09490236656222,8.103614262130485,"[5, 3]",2.0,4.0,"[[1, 2, 5, 22, 24], [1, 11, 22]]","[[""x52"", ""x2"", ""x17"", ""x51"", ""x61""], [""x52"", ""x4"", ""x51""]]","[{""x52"": 0.08284281357820669, ""x2"": 0.014195040649804478, ""x17"": 0.6636090704735055, ""x51"": 0.25789903153184696, ""x61"": -1.3627820092739997}, {""x52"": 0.35580203557035406, ""x4"": 0.16377107131385682, ""x51"": 0.25663195982661324}]","[0.69147388170989, 0.2406351522003164]",17,0.4812579992552708,198.58404350280762,blog,quantile_glm,blog_K2_nb2-zinb_L20.0_quantile_glm
poisson+nb2,2,5.0,True,True,,-1723.3486747131572,3571.036944447993,3482.6973494263143,-2201.5564681352203,"[0.007278051547195018, 0.992721948452805]",102284.46393944642,4661.368513874252,"[0, 14]",0.0,14.0,"[[], [1, 2, 3, 5, 14, 17, 21, 22, 24, 25, 29, 31, 38, 40]]","[[], [""x52"", ""x2"", ""x7"", ""x17"", ""x20"", ""x21"", ""x23"", ""x51"", ""x61"", ""x35"", ""x30"", ""x57"", ""x46"", ""x39""]]","[{}, {""x52"": 0.30831931528237155, ""x2"": 0.5250397407037432, ""x7"": 0.028377587333843393, ""x17"": 0.07542291565142357, ""x20"": -0.17241479557852407, ""x21"": 1.595466230926474, ""x23"": -0.034302090665063, ""x51"": 0.3604963992415152, ""x61"": -0.9435754075540642, ""x35"": -1.3349683995252777, ""x30"": -0.3928788584265727, ""x57"": 0.019911049438260726, ""x46"": 0.006429786457948451, ""x39"": 0.07799731743762608}]","[1.1752708706200994, 0.5339556922051372]",114,0.007278051547195018,1189.8796663284302,blog,quantile_glm,blog_K2_poisson-nb2_L5.0_quantile_glm
nb2+zinb+zinb,3,5.0,True,True,,-1678.5225407753346,3571.1854951991154,3419.0450815506692,-1591.8337106742572,"[0.5539756489550722, 0.004496101882724068, 0.44152824916220373]",40556.12781504355,1715.8087085022512,"[11, 0, 10]",0.0,17.0,"[[1, 8, 17, 19, 22, 24, 25, 29, 32, 36, 38], [], [2, 14, 17, 22, 24, 27, 28, 29, 30, 31]]","[[""x52"", ""x1"", ""x21"", ""x15"", ""x51"", ""x61"", ""x35"", ""x30"", ""x55"", ""x45"", ""x46""], [], [""x2"", ""x20"", ""x21"", ""x51"", ""x61"", ""x36"", ""x26"", ""x30"", ""x41"", ""x57""]]","[{""x52"": 0.7658748014360295, ""x1"": 0.3249884564807081, ""x21"": 1.7365244312863544, ""x15"": 0.051819625946458725, ""x51"": 0.11033153182254127, ""x61"": 0.013384504145385244, ""x35"": -1.9904226372132792, ""x30"": -0.31316848984794576, ""x55"": -0.29302508661779497, ""x45"": -0.04189813940377299, ""x46"": 0.06329256301752588}, {}, {""x2"": 1.005263662811516, ""x20"": -0.07864052011828403, ""x21"": 0.03970851424523221, ""x51"": 0.6723527148166925, ""x61"": -2.3400272956669994, ""x36"": -0.00013993793568674407, ""x26"": -0.10589704974956876, ""x30"": -0.2412980779831267, ""x41"": -0.09369662216138605, ""x57"": 0.21673456243949507}]","[0.12012790360804254, 6.1768572548945, -0.35490573598814246]",67,0.004496101882724068,1557.0878858566284,blog,kmeans_glm,blog_K3_nb2-zinb-zinb_L5.0_kmeans_glm
nb2+zinb,2,10.0,True,True,,-1714.3601429386906,3573.783146736006,3470.7202858773812,-1582.2837369639105,"[0.5771131085969057, 0.4228868914030942]",192.42449166777683,17.250966135792716,"[10, 5]",4.0,7.0,"[[1, 2, 5, 7, 8, 11, 22, 24, 27, 29], [1, 5, 21, 22, 24]]","[[""x52"", ""x2"", ""x17"", ""x16"", ""x1"", ""x4"", ""x51"", ""x61"", ""x36"", ""x30""], [""x52"", ""x17"", ""x23"", ""x51"", ""x61""]]","[{""x52"": 0.4224820934445606, ""x2"": 0.057209954002695136, ""x17"": 0.5635162313510221, ""x16"": 0.24689773831511308, ""x1"": 0.17489161901240124, ""x4"": 0.20182259169335445, ""x51"": 0.03128064547707869, ""x61"": -0.7260370002837048, ""x36"": -0.2581331751338099, ""x30"": -0.06921923120651349}, {""x52"": 0.1114050881028137, ""x17"": 0.15538312183011965, ""x23"": -0.11701559936367951, ""x51"": 0.3283498573215522, ""x61"": -0.8727034789154352}]","[-0.48585586362982436, 1.4145899213013544]",70,0.4228868914030942,710.3555338382721,blog,kmeans_glm,blog_K2_nb2-zinb_L10.0_kmeans_glm
