families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,test_rmse,test_mae,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,init,task_id
poisson+nb2+zinb,3,5.0,True,True,,-1666.9344099284506,3686.1643390849904,3435.868819856901,-1551.9166733837778,"[0.29755848306475263, 0.3570884961872513, 0.34535302074799606]",15451.242303869392,834.5317202933146,"[28, 8, 7]",1.0,31.0,"[[1, 2, 3, 5, 6, 7, 8, 9, 10, 13, 17, 18, 19, 20, 24, 25, 26, 27, 28, 30, 31, 32, 33, 34, 35, 36, 38, 39], [2, 5, 11, 22, 24, 25, 29, 31], [1, 11, 17, 22, 24, 29, 37]]","[[""x52"", ""x2"", ""x7"", ""x17"", ""x22"", ""x16"", ""x1"", ""x11"", ""x6"", ""x14"", ""x21"", ""x19"", ""x15"", ""x10"", ""x61"", ""x35"", ""x31"", ""x36"", ""x26"", ""x41"", ""x57"", ""x55"", ""x47"", ""x37"", ""x32"", ""x45"", ""x46"", ""x27""], [""x2"", ""x17"", ""x4"", ""x51"", ""x61"", ""x35"", ""x30"", ""x57""], [""x52"", ""x4"", ""x21"", ""x51"", ""x61"", ""x30"", ""x42""]]","[{""x52"": 0.07736921833928066, ""x2"": -47.43186276248494, ""x7"": 36.10396345616436, ""x17"": 29.504463810248364, ""x22"": -27.39761146859914, ""x16"": -95.74742910421064, ""x1"": 122.73358775308391, ""x11"": -69.14933934948131, ""x6"": 61.44453668929296, ""x14"": 4.741232728095703, ""x21"": -14.516255330416433, ""x19"": -2.4413992053887412, ""x15"": -18.379597908118907, ""x10"": 32.91895831904822, ""x61"": -1.4626202971330826, ""x35"": -13.47507549179607, ""x31"": 30.17765923206308, ""x36"": -8.459455189236039, ""x26"": -49.760034938978635, ""x41"": 22.86643214391305, ""x57"": 0.3133728014930306, ""x55"": 0.00756421177553471, ""x47"": 40.86498453034924, ""x37"": 2.8079920084771564, ""x32"": -63.45115258775163, ""x45"": -0.003914988340615744, ""x46"": 0.23680865431235026, ""x27"": 22.904821222860104}, {""x2"": 0.027561490227526086, ""x17"": 0.750114049762278, ""x4"": 0.08296589772783809, ""x51"": 0.5853030625293617, ""x61"": -1.8503871564348364, ""x35"": -0.04804306216073381, ""x30"": -0.2950053035098268, ""x57"": 0.021556625114384737}, {""x52"": 0.786252249354194, ""x4"": 0.18032207240750475, ""x21"": 0.7807084298113505, ""x51"": 0.15015134012875905, ""x61"": 0.12853276818330156, ""x30"": -0.1424301582301658, ""x42"": -0.007175396886990997}]","[-3.111996794213111, 0.3709478026194887, 0.5705730025088086]",60,0.29755848306475263,629.6281652450562,blog,kmeans_glm,blog_K3_poisson-nb2-zinb_L5.0_kmeans_glm
nb2+nb2+zip,3,2.0,True,True,,-1627.9389535282814,3856.852616328009,3429.877907056563,-1560.3817691345653,"[0.677968818054829, 0.24233963610807643, 0.07969154583709465]",5711120094622569.0,255528794165597.34,"[33, 10, 36]",6.0,34.0,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 33, 35, 36, 38, 39, 40], [1, 2, 14, 17, 21, 24, 29, 32, 38, 39], [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 24, 25, 26, 27, 28, 29, 30, 31, 33, 34, 35, 36, 37, 38, 39, 40]]","[[""x52"", ""x2"", ""x7"", ""x12"", ""x17"", ""x22"", ""x16"", ""x1"", ""x11"", ""x6"", ""x4"", ""x5"", ""x24"", ""x9"", ""x19"", ""x15"", ""x10"", ""x23"", ""x51"", ""x54"", ""x61"", ""x35"", ""x31"", ""x36"", ""x26"", ""x30"", ""x41"", ""x47"", ""x32"", ""x45"", ""x46"", ""x27"", ""x39""], [""x52"", ""x2"", ""x20"", ""x21"", ""x23"", ""x61"", ""x30"", ""x55"", ""x46"", ""x27""], [""x2"", ""x7"", ""x12"", ""x17"", ""x22"", ""x16"", ""x1"", ""x11"", ""x6"", ""x4"", ""x5"", ""x14"", ""x20"", ""x24"", ""x9"", ""x21"", ""x19"", ""x15"", ""x10"", ""x23"", ""x61"", ""x35"", ""x31"", ""x36"", ""x26"", ""x30"", ""x41"", ""x57"", ""x47"", ""x37"", ""x32"", ""x45"", ""x42"", ""x46"", ""x27"", ""x39""]]","[{""x52"": 0.2896400941319253, ""x2"": -30.02418127055243, ""x7"": 14.427368707645483, ""x12"": 14.381768328991459, ""x17"": 16.45696149972377, ""x22"": -15.38489401435395, ""x16"": -40.4321102409841, ""x1"": 59.316922670210154, ""x11"": -31.839823267343817, ""x6"": 22.35171287528891, ""x4"": -0.41990906612831874, ""x5"": -4.567317083921233, ""x24"": 0.9495641057927678, ""x9"": -1.379409536542066, ""x19"": -0.9617481930461459, ""x15"": -3.7677856425898355, ""x10"": 10.50316420459331, ""x23"": -0.11082985829006071, ""x51"": 0.6572047586423386, ""x54"": -0.16804985446153906, ""x61"": -0.5333767913774856, ""x35"": -10.959405242664532, ""x31"": 36.13695146176818, ""x36"": -22.061776146560288, ""x26"": -16.109521011561043, ""x30"": -0.5775694993910795, ""x41"": 2.8819935857628116, ""x47"": 14.0810879741352, ""x32"": -22.550498880886217, ""x45"": 0.7075747271161583, ""x46"": -1.4816797650977538, ""x27"": 7.442261347128769, ""x39"": 1.071802988028897}, {""x52"": 1.0462881977080403, ""x2"": 0.37708534686409734, ""x20"": -0.4641405225558917, ""x21"": 0.3019151334986432, ""x23"": -0.28700320594657613, ""x61"": -1.0135287071599475, ""x30"": -0.09210243029728585, ""x55"": -0.22701922848776362, ""x46"": 0.11371086926741467, ""x27"": -0.30371853588338105}, {""x2"": -65.61790772154282, ""x7"": 58.41522966604624, ""x12"": 3.902942298595816e-05, ""x17"": 36.2752411687302, ""x22"": -37.85094789150908, ""x16"": -122.52924866020165, ""x1"": 153.66221708832518, ""x11"": -89.93361069082655, ""x6"": 86.12025838635535, ""x4"": 0.04284977308925927, ""x5"": -0.4942322894631628, ""x14"": 13.322315876389874, ""x20"": -0.22160412713828978, ""x24"": 2.0582819916738945e-05, ""x9"": -7.340559827310929, ""x21"": -18.855517374233678, ""x19"": -6.761235627034899, ""x15"": -24.081742906842027, ""x10"": 42.269147863453625, ""x23"": 0.3986270009292249, ""x61"": -4.256463678998031, ""x35"": -18.330890115098477, ""x31"": 44.164316271767184, ""x36"": -18.8681310583043, ""x26"": -55.76316480987876, ""x30"": -0.11730872671391161, ""x41"": 24.066674367257995, ""x57"": -0.18785675842682287, ""x47"": 54.368085558653405, ""x37"": 7.4854763456327715, ""x32"": -86.63007694904947, ""x45"": 5.085686299560191e-05, ""x42"": -7.383946193989784, ""x46"": 1.8623883030073447e-05, ""x27"": 34.65140626333402, ""x39"": 0.3886212184268793}]","[-0.6161810594948932, 1.15682588489197, -4.654690007801054]",61,0.07969154583709465,428.2062315940857,blog,kmeans_glm,blog_K3_nb2-nb2-zip_L2.0_kmeans_glm
nb2+zinb,2,5.0,True,True,,-1662.7451180705852,3560.3539156265633,3393.4902361411705,-1561.5461857402859,"[0.45513930618640785, 0.5448606938135923]",1.3317424530746424e+16,565636488148785.9,"[11, 17]",7.0,14.0,"[[1, 16, 17, 22, 24, 27, 29, 31, 36, 38, 40], [1, 2, 3, 5, 11, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 38]]","[[""x52"", ""x9"", ""x21"", ""x51"", ""x61"", ""x36"", ""x30"", ""x57"", ""x45"", ""x46"", ""x39""], [""x52"", ""x2"", ""x7"", ""x17"", ""x4"", ""x51"", ""x54"", ""x61"", ""x35"", ""x31"", ""x36"", ""x26"", ""x30"", ""x41"", ""x57"", ""x55"", ""x46""]]","[{""x52"": 1.6375699172144724, ""x9"": -0.23806287651405095, ""x21"": 3.3724555324890106, ""x51"": 0.6464078130319388, ""x61"": 0.013531507877699191, ""x36"": -0.28555268952473184, ""x30"": -0.2655875641549442, ""x57"": 0.04194649408736084, ""x45"": -0.21469792759029904, ""x46"": 0.4919510931303797, ""x39"": 0.24858340009359794}, {""x52"": 0.18198829835949684, ""x2"": 0.9540912568650773, ""x7"": 0.12858227490744664, ""x17"": 0.04411837315642197, ""x4"": 0.06187651069309994, ""x51"": 0.4820512952791966, ""x54"": -0.1919583738878846, ""x61"": -1.9530861245293454, ""x35"": -0.03444675897770136, ""x31"": -0.07651659867449605, ""x36"": -0.0002996283801065278, ""x26"": -0.20951472577455962, ""x30"": -0.32438057590148484, ""x41"": -0.01099680469391342, ""x57"": -0.06324134646657308, ""x55"": -0.06207213319948109, ""x46"": -0.0190241335151106}]","[0.720731646127326, -0.28264635250107256]",81,0.45513930618640785,1291.4789617061615,blog,kmeans_glm,blog_K2_nb2-zinb_L5.0_kmeans_glm
nb2+zinb+zinb,3,5.0,True,True,,-1648.021267547165,3717.4156071122407,3418.04253509433,-1569.28670290807,"[0.30405248153658637, 0.25647427216646823, 0.4394732462969453]",38137818567816.664,1994589901750.1426,"[6, 33, 12]",4.0,31.0,"[[1, 17, 22, 24, 29, 31], [1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 14, 15, 16, 17, 19, 20, 21, 22, 23, 24, 25, 26, 27, 29, 31, 32, 34, 35, 36, 38, 39, 40], [2, 11, 14, 17, 22, 24, 25, 27, 28, 29, 30, 32]]","[[""x52"", ""x21"", ""x51"", ""x61"", ""x30"", ""x57""], [""x52"", ""x2"", ""x7"", ""x12"", ""x17"", ""x22"", ""x16"", ""x1"", ""x11"", ""x4"", ""x5"", ""x20"", ""x24"", ""x9"", ""x21"", ""x15"", ""x10"", ""x23"", ""x51"", ""x54"", ""x61"", ""x35"", ""x31"", ""x36"", ""x30"", ""x57"", ""x55"", ""x37"", ""x32"", ""x45"", ""x46"", ""x27"", ""x39""], [""x2"", ""x4"", ""x20"", ""x21"", ""x51"", ""x61"", ""x35"", ""x36"", ""x26"", ""x30"", ""x41"", ""x55""]]","[{""x52"": 1.7455742073100176, ""x21"": 0.12284900634577725, ""x51"": 0.042479884948470444, ""x61"": 0.1752891888325065, ""x30"": -0.0566148255544891, ""x57"": 0.021970005672787625}, {""x52"": -2.8085981799608077e-05, ""x2"": -45.61962155220305, ""x7"": 47.073121749878624, ""x12"": 1.2030908889361818, ""x17"": 19.946548462530323, ""x22"": -21.372415061275355, ""x16"": -55.98502208297156, ""x1"": 85.51789143842954, ""x11"": -15.596060647453912, ""x4"": 3.1007012738843023, ""x5"": -3.507823476416116e-05, ""x20"": -0.0001287991469345772, ""x24"": 0.6415222451986582, ""x9"": -8.184515653411356, ""x21"": -1.1952318065657813e-05, ""x15"": -7.28014156099532, ""x10"": -1.2526215620970396e-05, ""x23"": -0.3849140015341412, ""x51"": 0.5312490484968484, ""x54"": -0.13601018371837054, ""x61"": -0.3389359839913372, ""x35"": -2.8653843779124344, ""x31"": 12.810724241003902, ""x36"": -12.412843496034538, ""x30"": -7.786879983527491e-05, ""x57"": 0.06082520179198621, ""x55"": 0.04200999385389771, ""x37"": 12.386826416161005, ""x32"": -17.958873732931984, ""x45"": -1.3410051805929613, ""x46"": 0.08874855324849042, ""x27"": 2.0647725012602582, ""x39"": 2.5798022015343394}, {""x2"": 0.7652097041437768, ""x4"": 0.23813454493051475, ""x20"": -0.10324354448373883, ""x21"": 0.10061160348930376, ""x51"": 0.6801400068141782, ""x61"": -2.4991690124985637, ""x35"": -0.00661860101308622, ""x36"": -5.764727553488629e-05, ""x26"": -0.04127975567982631, ""x30"": -0.38075950627010624, ""x41"": -0.10790063912956337, ""x55"": -0.1617645224809982}]","[0.5859015458046803, -0.1997197139030944, -0.6326441102043254]",74,0.25647427216646823,1881.2725536823273,blog,quantile_glm,blog_K3_nb2-zinb-zinb_L5.0_quantile_glm
nb2+nb2+zip,3,2.0,True,True,,-1633.2839280869662,3929.7123629562175,3458.5678561739323,-1571.6812357711651,"[0.4173110096608684, 0.3816132057622691, 0.20107578457686254]",2.9432444650517946e+19,1.2279384939352676e+18,"[12, 36, 40]",10.0,30.0,"[[1, 2, 4, 5, 14, 17, 21, 22, 24, 29, 37, 38], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 30, 31, 33, 34, 35, 36, 37, 39, 40], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]]","[[""x52"", ""x2"", ""x12"", ""x17"", ""x20"", ""x21"", ""x23"", ""x51"", ""x61"", ""x30"", ""x42"", ""x46""], [""x52"", ""x2"", ""x7"", ""x12"", ""x17"", ""x22"", ""x16"", ""x1"", ""x11"", ""x6"", ""x4"", ""x5"", ""x20"", ""x24"", ""x9"", ""x21"", ""x19"", ""x15"", ""x10"", ""x23"", ""x51"", ""x54"", ""x61"", ""x35"", ""x31"", ""x36"", ""x26"", ""x41"", ""x57"", ""x47"", ""x37"", ""x32"", ""x45"", ""x42"", ""x27"", ""x39""], [""x52"", ""x2"", ""x7"", ""x12"", ""x17"", ""x22"", ""x16"", ""x1"", ""x11"", ""x6"", ""x4"", ""x5"", ""x14"", ""x20"", ""x24"", ""x9"", ""x21"", ""x19"", ""x15"", ""x10"", ""x23"", ""x51"", ""x54"", ""x61"", ""x35"", ""x31"", ""x36"", ""x26"", ""x30"", ""x41"", ""x57"", ""x55"", ""x47"", ""x37"", ""x32"", ""x45"", ""x42"", ""x46"", ""x27"", ""x39""]]","[{""x52"": 0.9203290493362302, ""x2"": 0.001025631865455607, ""x12"": 0.11639404503299589, ""x17"": 0.03180399013981026, ""x20"": -0.32430444940358005, ""x21"": 0.8898204005103778, ""x23"": -0.3989451997366619, ""x51"": 0.5575252380889423, ""x61"": -0.7321615652559345, ""x30"": -0.4590335785974234, ""x42"": -0.2693545500202118, ""x46"": 0.039042353523678845}, {""x52"": 0.08215950390792891, ""x2"": -71.18939676726805, ""x7"": 60.85995786665544, ""x12"": 14.920439053450005, ""x17"": 26.998948034796186, ""x22"": -38.24045391321645, ""x16"": -68.83573328129043, ""x1"": 105.4964278560488, ""x11"": -28.227458777390588, ""x6"": 15.909215177075582, ""x4"": 13.98778904480037, ""x5"": -7.447551030576243, ""x20"": -3.1286872064985207, ""x24"": 12.07294698744718, ""x9"": -25.741758937853575, ""x21"": -0.7399051161455292, ""x19"": -1.8529210074001792, ""x15"": -14.892116656495189, ""x10"": 11.825776509898516, ""x23"": -3.2827213090961034, ""x51"": 0.6497526135093331, ""x54"": 0.11279638358576928, ""x61"": -0.9170289748134469, ""x35"": -3.831876348593097, ""x31"": 30.38926042972573, ""x36"": -30.918277906091397, ""x26"": -9.636552558249027, ""x41"": 5.917921821156477, ""x57"": -0.09351689860639996, ""x47"": 10.249989502799075, ""x37"": 20.567044050291216, ""x32"": -42.688622133561715, ""x45"": 1.3051871769250745, ""x42"": 3.3259221690287135, ""x27"": 8.749041131149697, ""x39"": 1.285157049221159}, {""x52"": 0.038708835114769226, ""x2"": -44.99193302841515, ""x7"": 26.283066762553176, ""x12"": 16.262763345064585, ""x17"": 26.488868446721266, ""x22"": -25.3331619829189, ""x16"": -76.56756229236085, ""x1"": 102.7727355904027, ""x11"": -102.32961611655737, ""x6"": 102.50131194873411, ""x4"": -0.4759266111547151, ""x5"": -7.1539234404132905, ""x14"": 11.195357641807593, ""x20"": -0.8745877779757936, ""x24"": 2.6654242318164787, ""x9"": -4.944460131637665, ""x21"": -21.063222117393373, ""x19"": -7.4511433964055795, ""x15"": -16.8028337687074, ""x10"": 37.14097837158262, ""x23"": 2.281933113096387, ""x51"": 1.2438347872328233, ""x54"": -1.0392097577064967, ""x61"": -2.1433381789273414, ""x35"": -18.544336171386544, ""x31"": 68.48507135786284, ""x36"": -26.621873283315466, ""x26"": -65.21451855674124, ""x30"": -2.249866662363099, ""x41"": 22.41932569253201, ""x57"": 0.25158036769433717, ""x55"": -0.13391685464928105, ""x47"": 54.20930173617497, ""x37"": -13.71382299124056, ""x32"": -62.316868439621565, ""x45"": 2.265607380008766, ""x42"": -9.047341146980788, ""x46"": -2.5804391841395486, ""x27"": 33.0237885488547, ""x39"": 1.0644700905162787}]","[0.9453394038942435, -0.6650197832647256, -2.739280422541613]",16,0.20107578457686254,292.782434463501,blog,quantile_glm,blog_K3_nb2-nb2-zip_L2.0_quantile_glm
nb2+nb2+zinb,3,5.0,True,True,,-1661.6355205151203,3703.1975813742583,3433.2710410302407,-1574.2040476268035,"[0.6062966282340159, 0.037835720148019454, 0.35586765161796474]",389268444052.56,18483214617.142834,"[11, 1, 34]",1.0,34.0,"[[1, 2, 5, 21, 22, 24, 29, 31, 32, 36, 38], [24], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25, 26, 28, 29, 31, 32, 33, 35, 38, 39, 40]]","[[""x52"", ""x2"", ""x17"", ""x23"", ""x51"", ""x61"", ""x30"", ""x57"", ""x55"", ""x45"", ""x46""], [""x61""], [""x52"", ""x2"", ""x7"", ""x12"", ""x17"", ""x22"", ""x16"", ""x1"", ""x11"", ""x6"", ""x4"", ""x5"", ""x14"", ""x20"", ""x24"", ""x9"", ""x19"", ""x15"", ""x10"", ""x23"", ""x51"", ""x54"", ""x61"", ""x35"", ""x31"", ""x26"", ""x30"", ""x57"", ""x55"", ""x47"", ""x32"", ""x46"", ""x27"", ""x39""]]","[{""x52"": 0.4780901089560608, ""x2"": 0.014497325448798585, ""x17"": 0.8851990816147833, ""x23"": -0.14621186535048358, ""x51"": 0.10270568543599778, ""x61"": -1.2749251675545814, ""x30"": -0.35320066968067915, ""x57"": 0.09254459032662599, ""x55"": -0.09831924879201842, ""x45"": 0.030190750756158277, ""x46"": 0.09478497073241278}, {""x61"": -0.2279229270397466}, {""x52"": 0.1928510524074871, ""x2"": -35.16360640049068, ""x7"": 28.531138487850207, ""x12"": 0.0006389230053328189, ""x17"": 17.441733868887862, ""x22"": -11.707531310596236, ""x16"": -66.80907335091834, ""x1"": 107.28913308686742, ""x11"": -44.161831268719844, ""x6"": 6.697623942922408, ""x4"": 0.0009110855453255892, ""x5"": 0.0003076381783193071, ""x14"": 0.0007352696739715745, ""x20"": 0.0004348746232362217, ""x24"": 0.0006585452544327535, ""x9"": 0.0004960744765619146, ""x19"": 0.2996955467456146, ""x15"": -6.117814605811952, ""x10"": 15.44629080162821, ""x23"": -0.00014310491743690798, ""x51"": 0.4319014667200317, ""x54"": 0.0008434658444367414, ""x61"": -0.5026490424263027, ""x35"": -11.396484448934546, ""x31"": 19.905811287685495, ""x26"": -26.346002742698946, ""x30"": 0.000956293187682001, ""x57"": 0.15503629802473798, ""x55"": -0.1610075637518796, ""x47"": 23.09027090752218, ""x32"": -28.497287778467097, ""x46"": -0.232160971146854, ""x27"": 9.672717138524513, ""x39"": 0.42934771439395875}]","[0.21982317925621694, 2.6852852729691152, -1.6110555312835892]",97,0.037835720148019454,1461.004322052002,blog,kmeans_glm,blog_K3_nb2-nb2-zinb_L5.0_kmeans_glm
nb2+nb2+zinb,3,5.0,True,True,,-1698.5756043151732,3638.922643394721,3467.1512086303464,-1574.6455694813344,"[0.5426040491345151, 0.07360517604852267, 0.38379077481696217]",130.9246761687671,13.916679563268692,"[18, 0, 8]",0.0,20.0,"[[1, 5, 7, 8, 9, 10, 11, 12, 17, 22, 24, 25, 27, 28, 29, 30, 38, 40], [], [1, 2, 5, 17, 21, 22, 24, 29]]","[[""x52"", ""x17"", ""x16"", ""x1"", ""x11"", ""x6"", ""x4"", ""x5"", ""x21"", ""x51"", ""x61"", ""x35"", ""x36"", ""x26"", ""x30"", ""x41"", ""x46"", ""x39""], [], [""x52"", ""x2"", ""x17"", ""x21"", ""x23"", ""x51"", ""x61"", ""x30""]]","[{""x52"": 0.16752987170569675, ""x17"": 0.9218866499121634, ""x16"": 0.16082244984206784, ""x1"": 0.09032309064391723, ""x11"": 0.00047809045151765483, ""x6"": 0.001164314979650477, ""x4"": 0.005702677951173507, ""x5"": 0.02774525622032579, ""x21"": 0.0006413657198872594, ""x51"": 0.6366472448373963, ""x61"": -0.8919022426957249, ""x35"": -0.5881677226041169, ""x36"": -0.001591025833205112, ""x26"": -0.005506743676385425, ""x30"": -0.4246532488725306, ""x41"": -0.0004471842137004605, ""x46"": 0.057966408042415145, ""x39"": 0.04788792435531719}, {}, {""x52"": 0.35263928068249173, ""x2"": 0.5233713714180472, ""x17"": 0.0003926883832329493, ""x21"": 0.02491011579681316, ""x23"": -0.11585730124090399, ""x51"": 0.12065333404674494, ""x61"": -1.1301866885176217, ""x30"": -0.07914147057229462}]","[-0.7075288341193006, 1.3403442952821507, 1.095174234184206]",45,0.07360517604852267,798.292364358902,blog,quantile_glm,blog_K3_nb2-nb2-zinb_L5.0_quantile_glm
nb2+zip+zinb,3,5.0,True,True,,-1689.1953072561314,3675.4240915084947,3464.390614512263,-1577.3938469197128,"[0.6680403839282758, 0.11410341140291963, 0.21785620466880465]",20606.63251400222,984.8777360955521,"[8, 21, 5]",2.0,24.0,"[[2, 11, 22, 24, 25, 27, 29, 30], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 15, 16, 17, 18, 21, 22, 24, 32, 38], [1, 22, 24, 31, 38]]","[[""x2"", ""x4"", ""x51"", ""x61"", ""x35"", ""x36"", ""x30"", ""x41""], [""x52"", ""x2"", ""x7"", ""x12"", ""x17"", ""x22"", ""x16"", ""x1"", ""x11"", ""x6"", ""x4"", ""x14"", ""x24"", ""x9"", ""x21"", ""x19"", ""x23"", ""x51"", ""x61"", ""x55"", ""x46""], [""x52"", ""x51"", ""x61"", ""x57"", ""x46""]]","[{""x2"": 0.9468557047952711, ""x4"": 0.1787727040545757, ""x51"": 0.6954255255699804, ""x61"": -1.8764992251327286, ""x35"": -0.31321943147384007, ""x36"": -0.2701998944251899, ""x30"": -0.17460154186209062, ""x41"": -4.127327622612636e-05}, {""x52"": 0.16862623403337956, ""x2"": 0.00704885197181925, ""x7"": 5.775451745286034e-05, ""x12"": 1.4699591683278988e-05, ""x17"": 0.01944232680887745, ""x22"": 1.3187926851752087e-05, ""x16"": 1.133465813973252e-05, ""x1"": 0.18993665689399497, ""x11"": 1.2383085549816263e-05, ""x6"": 1.4493437186684346e-05, ""x4"": 0.0005187623722411156, ""x14"": 0.02896934992080977, ""x24"": 0.021252990775067176, ""x9"": 0.04186392510753325, ""x21"": 0.4649999877905968, ""x19"": 0.00028864033830195964, ""x23"": -0.21678182972786902, ""x51"": 0.01138814505176581, ""x61"": -0.13756792833860243, ""x55"": 0.026710998563657884, ""x46"": 0.07735921536919842}, {""x52"": 1.250173074602166, ""x51"": 0.47915832774940986, ""x61"": 0.025897325173134138, ""x57"": 0.018154047878551884, ""x46"": 0.10102843996801283}]","[-0.29711984545178594, -0.04380277676838701, 0.9881939610840186]",137,0.11410341140291963,962.1674113273621,blog,kmeans_glm,blog_K3_nb2-zip-zinb_L5.0_kmeans_glm
poisson+nb2+nb2,3,2.0,True,True,,-1652.4882707400507,3774.7039004508865,3440.9765414801013,-1577.9697562988476,"[0.18326540039351588, 0.3883276728763492, 0.4284069267301349]",1.2883355172901824e+18,5.892572760304248e+16,"[17, 35, 9]",6.0,31.0,"[[1, 5, 7, 8, 11, 15, 18, 21, 22, 23, 24, 25, 29, 31, 32, 37, 38], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 27, 28, 29, 31, 32, 33, 34, 35, 36, 37, 39, 40], [1, 11, 14, 17, 21, 22, 24, 29, 38]]","[[""x52"", ""x17"", ""x16"", ""x1"", ""x4"", ""x24"", ""x19"", ""x23"", ""x51"", ""x54"", ""x61"", ""x35"", ""x30"", ""x57"", ""x55"", ""x42"", ""x46""], [""x52"", ""x2"", ""x7"", ""x12"", ""x17"", ""x22"", ""x16"", ""x1"", ""x11"", ""x6"", ""x4"", ""x5"", ""x20"", ""x24"", ""x9"", ""x21"", ""x15"", ""x23"", ""x51"", ""x54"", ""x61"", ""x35"", ""x31"", ""x36"", ""x26"", ""x30"", ""x57"", ""x55"", ""x47"", ""x37"", ""x32"", ""x45"", ""x42"", ""x27"", ""x39""], [""x52"", ""x4"", ""x20"", ""x21"", ""x23"", ""x51"", ""x61"", ""x30"", ""x46""]]","[{""x52"": 0.11649353881169827, ""x17"": 6.197059913342506e-05, ""x16"": 0.03811339316160545, ""x1"": 0.0006033979817796405, ""x4"": 0.3059208282473999, ""x24"": 3.3743349148599076e-05, ""x19"": 0.4941343478827212, ""x23"": -0.10574689509477665, ""x51"": 0.09012355589667538, ""x54"": 0.00010184762390720616, ""x61"": -1.041931971186829, ""x35"": -0.3680110981649933, ""x30"": -0.033447595508702625, ""x57"": -0.11878270492224707, ""x55"": 0.05592502987775367, ""x42"": 0.017363249390667565, ""x46"": -0.218084038909759}, {""x52"": 0.06332843575415417, ""x2"": -51.84318267203208, ""x7"": 52.89224879927721, ""x12"": 6.335963994528946, ""x17"": 20.89766615963336, ""x22"": -29.428789286816972, ""x16"": -60.8512466251893, ""x1"": 92.68092635820838, ""x11"": -18.739800710270224, ""x6"": 4.753637091557156, ""x4"": 5.837842508389659, ""x5"": -2.886610114582802, ""x20"": -0.3589525698535239, ""x24"": 5.306917265417491, ""x9"": -14.900893358673184, ""x21"": 0.44435082380868923, ""x15"": -7.6735597464888645, ""x23"": -1.1868620186099441, ""x51"": 0.63992036949503, ""x54"": -0.00920776484685265, ""x61"": -0.7299474437302398, ""x35"": -2.7933950524149376, ""x31"": 18.27637264670008, ""x36"": -18.69542750033121, ""x26"": -0.5404384026259692, ""x30"": -0.1298511799995893, ""x57"": 0.0344907433937765, ""x55"": 0.00012773520240550248, ""x47"": 2.2857782480476447, ""x37"": 16.05537018030001, ""x32"": -25.86368007372718, ""x45"": -0.279646670970453, ""x42"": 0.7712520470891044, ""x27"": 4.143908130656848, ""x39"": 2.286175191306041}, {""x52"": 1.1676258777634547, ""x4"": 0.05272135058945091, ""x20"": -0.5303672199336471, ""x21"": 1.04685841078806, ""x23"": -0.5153125485755277, ""x51"": 0.3731948168021889, ""x61"": -0.8591414830295969, ""x30"": -0.6191946581587124, ""x46"": 0.10314498357981097}]","[-1.675023441376657, -0.2129335449791791, 0.993758521152023]",111,0.18326540039351588,2066.8751981258392,blog,quantile_glm,blog_K3_poisson-nb2-nb2_L2.0_quantile_glm
nb2+zinb,2,10.0,True,True,,-1712.085652608428,3527.787634401588,3454.171305216856,-1578.9986869441045,"[0.3740699003911875, 0.6259300996088126]",930.8506782035445,55.391977998496,"[2, 7]",1.0,7.0,"[[1, 22], [2, 5, 11, 22, 24, 25, 29]]","[[""x52"", ""x51""], [""x2"", ""x17"", ""x4"", ""x51"", ""x61"", ""x35"", ""x30""]]","[{""x52"": 1.0253521820608167, ""x51"": 0.2714813759735844}, {""x2"": 0.06077382820748184, ""x17"": 0.644746636766673, ""x4"": 0.2580404910225355, ""x51"": 0.46122022779377764, ""x61"": -1.6126254978073757, ""x35"": -0.003940734086970582, ""x30"": -0.2735610287097882}]","[0.5765933607785011, 0.11257092987502915]",61,0.3740699003911875,816.8248591423035,blog,quantile_glm,blog_K2_nb2-zinb_L10.0_quantile_glm
