families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,test_rmse,test_mae,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,init,task_id
nb2+zinb,2,20.0,True,True,,-1734.036147845881,3564.780869597512,3496.072295691762,-1603.1341430440455,"[0.4812579992552708, 0.5187420007447292]",40.09490236656222,8.103614262130485,"[5, 3]",2.0,4.0,"[[1, 2, 5, 22, 24], [1, 11, 22]]","[[""x52"", ""x2"", ""x17"", ""x51"", ""x61""], [""x52"", ""x4"", ""x51""]]","[{""x52"": 0.08284281357820669, ""x2"": 0.014195040649804478, ""x17"": 0.6636090704735055, ""x51"": 0.25789903153184696, ""x61"": -1.3627820092739997}, {""x52"": 0.35580203557035406, ""x4"": 0.16377107131385682, ""x51"": 0.25663195982661324}]","[0.69147388170989, 0.2406351522003164]",17,0.4812579992552708,198.58404350280762,blog,quantile_glm,blog_K2_nb2-zinb_L20.0_quantile_glm
nb2+nb2,2,20.0,False,True,,-1733.182476166112,3556.165770958992,3492.364952332224,-1604.689825930416,"[0.478982994774765, 0.521017005225235]",41.24084777875655,8.311918426615485,"[3, 5]",2.0,4.0,"[[1, 11, 22], [1, 2, 5, 22, 24]]","[[""x52"", ""x4"", ""x51""], [""x52"", ""x2"", ""x17"", ""x51"", ""x61""]]","[{""x52"": 0.3272359978829997, ""x4"": 0.11628852310881717, ""x51"": 0.24400103030767525}, {""x52"": 0.08766237558958813, ""x2"": 0.036297045741192024, ""x17"": 0.6618516110140935, ""x51"": 0.27679211669372816, ""x61"": -1.3723833682349558}]","[0.29406292380698185, 0.6142414131604494]",9,0.478982994774765,83.57496953010559,blog,quantile_glm,blog_K2_nb2-nb2_L20.0_quantile_glm
zip+zinb+zinb,3,20.0,True,True,,-1737.9243235217546,3593.2804867862055,3509.848647043509,-1614.8982928329972,"[0.2040790374098435, 0.22957241245094753, 0.5663485501392089]",42.64775814651959,8.566564879401875,"[0, 2, 5]",0.0,5.0,"[[], [1, 22], [1, 5, 11, 22, 24]]","[[], [""x52"", ""x51""], [""x52"", ""x17"", ""x4"", ""x51"", ""x61""]]","[{}, {""x52"": 0.2854104339257514, ""x51"": 0.16610055455037318}, {""x52"": 0.08581036942269694, ""x17"": 0.7537865007537097, ""x4"": 0.005086365347831848, ""x51"": 0.2702093325991861, ""x61"": -1.3832243798243193}]","[-0.5728848390811091, 0.9922044499456131, 0.5070065884634039]",14,0.2040790374098435,193.04846572875977,blog,quantile_glm,blog_K3_zip-zinb-zinb_L20.0_quantile_glm
nb2+zinb+zinb,3,20.0,True,True,,-1740.645545922169,3598.7229315870345,3515.291091844338,-1617.9778756572668,"[0.24973190472137502, 0.18756870572863635, 0.5626993895499887]",42.916297984346045,8.581680195393398,"[0, 2, 5]",0.0,5.0,"[[], [1, 22], [1, 5, 11, 22, 24]]","[[], [""x52"", ""x51""], [""x52"", ""x17"", ""x4"", ""x51"", ""x61""]]","[{}, {""x52"": 0.24473030831807147, ""x51"": 0.11249689350744241}, {""x52"": 0.08035578159101062, ""x17"": 0.7403504309017175, ""x4"": 0.006944768167886733, ""x51"": 0.2968360618032203, ""x61"": -1.3854338413044887}]","[-0.8581202145835208, 1.111595720284598, 0.5134062738292372]",12,0.18756870572863635,175.92796349525452,blog,quantile_glm,blog_K3_nb2-zinb-zinb_L20.0_quantile_glm
nb2+nb2+zip,3,10.0,True,True,,-1705.2544837724172,3603.9261153563343,3466.5089675448344,-1584.2557398611866,"[0.6400873166894623, 0.3460949340926797, 0.013817749217857868]",43.293657165515036,8.420888413814053,"[12, 5, 3]",1.0,14.0,"[[1, 5, 7, 8, 11, 22, 24, 25, 27, 28, 29, 31], [1, 5, 21, 22, 24], [24, 32, 37]]","[[""x52"", ""x17"", ""x16"", ""x1"", ""x4"", ""x51"", ""x61"", ""x35"", ""x36"", ""x26"", ""x30"", ""x57""], [""x52"", ""x17"", ""x23"", ""x51"", ""x61""], [""x61"", ""x55"", ""x42""]]","[{""x52"": 0.42483939507886376, ""x17"": 0.46252835225189715, ""x16"": 0.0395801203766748, ""x1"": 0.29838705971954177, ""x4"": 0.3067207348768455, ""x51"": 0.18038277958172796, ""x61"": -0.6637302691337389, ""x35"": -0.2922746002871054, ""x36"": -0.08868581097786346, ""x26"": -0.0002182723429656721, ""x30"": -0.24644362655533, ""x57"": -0.014766896776173672}, {""x52"": 0.099754518350218, ""x17"": 0.5221767313135852, ""x23"": -0.015174975247620955, ""x51"": 0.2189795068996488, ""x61"": -0.9272592419911015}, {""x61"": -0.43549750459356773, ""x55"": 0.055227203289032356, ""x42"": -0.25485045982591736}]","[-0.7619240599069301, 1.4855729288711264, 4.24746381370661]",67,0.013817749217857868,1101.8389976024628,blog,kmeans_glm,blog_K3_nb2-nb2-zip_L10.0_kmeans_glm
zinb+zinb+zinb,3,20.0,False,True,,-1733.0805399115566,3611.223940681738,3508.161079823113,-1595.6783737723372,"[0.35811856846203843, 0.09295473595230755, 0.548926695585654]",43.90049387988315,8.775382372316672,"[5, 0, 5]",0.0,7.0,"[[1, 5, 11, 18, 22], [], [1, 5, 21, 22, 24]]","[[""x52"", ""x17"", ""x4"", ""x19"", ""x51""], [], [""x52"", ""x17"", ""x23"", ""x51"", ""x61""]]","[{""x52"": 0.40112198327800985, ""x17"": 0.11730616709868645, ""x4"": 0.26822999306060397, ""x19"": 0.1274172213930568, ""x51"": 0.0015852618616998997}, {}, {""x52"": 0.13672775040473556, ""x17"": 0.6417882681607692, ""x23"": -0.003331345902908107, ""x51"": 0.26738049828201643, ""x61"": -1.1873280488692324}]","[-0.10453253975032076, 2.045144826057502, 0.6607427550720311]",15,0.09295473595230755,234.8086395263672,blog,quantile_glm,blog_K3_zinb-zinb-zinb_L20.0_quantile_glm
zinb+zinb+zinb,3,10.0,False,True,,-1710.1851368377713,3613.7874214870426,3476.3702736755426,-1581.6697186211752,"[0.46552413446273755, 0.09468162465798309, 0.43979424087927926]",46.73011813047034,8.891384499844255,"[11, 0, 6]",0.0,13.0,"[[1, 5, 7, 11, 22, 24, 25, 27, 28, 29, 30], [], [1, 2, 5, 21, 22, 24]]","[[""x52"", ""x17"", ""x16"", ""x4"", ""x51"", ""x61"", ""x35"", ""x36"", ""x26"", ""x30"", ""x41""], [], [""x52"", ""x2"", ""x17"", ""x23"", ""x51"", ""x61""]]","[{""x52"": 0.2124376652014018, ""x17"": 0.7653643905042887, ""x16"": 0.011634662421032019, ""x4"": 0.18633515340890738, ""x51"": 0.449961040599584, ""x61"": -0.6729244018292385, ""x35"": -0.37683782024247864, ""x36"": -0.03201519285966133, ""x26"": -0.016548176603757882, ""x30"": -0.08006352226941708, ""x41"": -0.00982673276456897}, {}, {""x52"": 0.2508934308463572, ""x2"": 0.2033117056484244, ""x17"": 0.2831110995806421, ""x23"": -0.08602807634558411, ""x51"": 0.12005653475963281, ""x61"": -1.059915139825674}]","[-0.4844900790830424, 1.4014145169183327, 1.047532742172284]",25,0.09468162465798309,417.47523021698,blog,quantile_glm,blog_K3_zinb-zinb-zinb_L10.0_quantile_glm
nb2+nb2+zinb,3,20.0,True,True,,-1731.236103611426,3600.6273128024945,3502.472207222852,-1593.2457412934514,"[0.3158004496074976, 0.058368098246948476, 0.6258314521455539]",50.363391715421436,9.368033862763133,"[5, 0, 6]",0.0,7.0,"[[1, 5, 11, 18, 22], [], [1, 5, 11, 21, 22, 24]]","[[""x52"", ""x17"", ""x4"", ""x19"", ""x51""], [], [""x52"", ""x17"", ""x4"", ""x23"", ""x51"", ""x61""]]","[{""x52"": 0.2897471707195134, ""x17"": 0.18987316816203725, ""x4"": 0.22692384363274928, ""x19"": 0.037827846512988775, ""x51"": 0.0653907551292782}, {}, {""x52"": 0.1645588492453034, ""x17"": 0.6210514996994939, ""x4"": 0.033418574181544675, ""x23"": -0.009009522245636933, ""x51"": 0.2806518586148863, ""x61"": -1.2299428302900584}]","[0.09588517621897917, 2.5697415277600593, 0.4717643266608552]",19,0.058368098246948476,235.1316864490509,blog,quantile_glm,blog_K3_nb2-nb2-zinb_L20.0_quantile_glm
nb2+nb2+nb2,3,20.0,False,True,,-1737.3898223722622,3592.211484487221,3508.7796447445244,-1592.4396949393954,"[0.6310375359849741, 0.31670332930540585, 0.052259134709619966]",50.944628562990765,9.922903120826735,"[7, 2, 0]",0.0,7.0,"[[1, 5, 7, 8, 11, 22, 24], [1, 24], []]","[[""x52"", ""x17"", ""x16"", ""x1"", ""x4"", ""x51"", ""x61""], [""x52"", ""x61""], []]","[{""x52"": 0.2284064368459877, ""x17"": 0.5742094423551948, ""x16"": 0.019569729919031404, ""x1"": 0.04956166385566839, ""x4"": 0.3167835835801145, ""x51"": 0.12160004008502594, ""x61"": -0.7263657136818521}, {""x52"": 0.23969932043816256, ""x61"": -0.598795127034836}, {}]","[-0.13068115225648347, 1.67525327466669, 2.497926947838029]",18,0.052259134709619966,229.3415069580078,blog,kmeans_glm,blog_K3_nb2-nb2-nb2_L20.0_kmeans_glm
poisson+poisson+nb2,3,20.0,True,True,,-1758.1418637541653,3612.9923014140804,3544.2837275083307,-1612.1565244442934,"[0.1484559270744299, 0.0023806756891920073, 0.8491633972363781]",51.09277813951036,9.328224452463912,"[2, 0, 6]",0.0,7.0,"[[15, 21], [], [1, 2, 5, 21, 22, 24]]","[[""x24"", ""x23""], [], [""x52"", ""x2"", ""x17"", ""x23"", ""x51"", ""x61""]]","[{""x24"": 0.04105622691690442, ""x23"": -0.14738350722732455}, {}, {""x52"": 0.1969370409867304, ""x2"": 0.20524046613874494, ""x17"": 0.31847994610173125, ""x23"": -0.03940521662561307, ""x51"": 0.23492034020519237, ""x61"": -0.825417470588308}]","[-0.9551741557906573, -2.8066793976257616, 0.8892782919238055]",19,0.0023806756891920073,257.7462193965912,blog,quantile_glm,blog_K3_poisson-poisson-nb2_L20.0_quantile_glm
