families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,test_rmse,test_mae,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,init,task_id
student_t,1,5.0,False,True,,-858.1814390526279,1883.5827322151815,1760.3628781052557,-440.21965650571383,[1.0],0.38347859391952094,0.29533864541704213,[19],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.012359762424128456, ""sex"": -0.10653807907725689, ""test_time"": 0.0005743825632048814, ""Jitter(%)"": -1.129720952356591, ""Jitter(Abs)"": -2674.870706651269, ""Jitter:RAP"": -1477.2670655671836, ""Jitter:PPQ5"": -8.579554668684072, ""Jitter:DDP"": 504.8117749847157, ""Shimmer"": 6.101952337057706, ""Shimmer(dB)"": -0.4052307787993178, ""Shimmer:APQ3"": -1453.5418240646272, ""Shimmer:APQ5"": -1.6003118889789865, ""Shimmer:APQ11"": 0.570435569680564, ""Shimmer:DDA"": 481.80385458623465, ""NHR"": -0.5947963112946028, ""HNR"": -0.028028495818664147, ""RPDE"": 0.49947808238052405, ""DFA"": -1.3310932085766076, ""PPE"": 0.480411123762218}]",[3.711595179605384],1,1.0,2.6366307735443115,parkinsons_log,kmeans_glm,parkinsons_log_K1_student_t_L5.0_kmeans_glm
student_t,1,5.0,False,True,,-858.1814390526279,1883.5827322151815,1760.3628781052557,-440.21965650571383,[1.0],0.38347859391952094,0.29533864541704213,[19],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.012359762424128456, ""sex"": -0.10653807907725689, ""test_time"": 0.0005743825632048814, ""Jitter(%)"": -1.129720952356591, ""Jitter(Abs)"": -2674.870706651269, ""Jitter:RAP"": -1477.2670655671836, ""Jitter:PPQ5"": -8.579554668684072, ""Jitter:DDP"": 504.8117749847157, ""Shimmer"": 6.101952337057706, ""Shimmer(dB)"": -0.4052307787993178, ""Shimmer:APQ3"": -1453.5418240646272, ""Shimmer:APQ5"": -1.6003118889789865, ""Shimmer:APQ11"": 0.570435569680564, ""Shimmer:DDA"": 481.80385458623465, ""NHR"": -0.5947963112946028, ""HNR"": -0.028028495818664147, ""RPDE"": 0.49947808238052405, ""DFA"": -1.3310932085766076, ""PPE"": 0.480411123762218}]",[3.711595179605384],1,1.0,2.482719898223877,parkinsons_log,quantile_glm,parkinsons_log_K1_student_t_L5.0_quantile_glm
student_t,1,2.0,False,True,,-858.094965772819,1883.4097856555638,1760.189931545638,-440.34187625148746,[1.0],0.38354513201046886,0.2953951589961429,[19],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.012350601161288968, ""sex"": -0.10723579493661674, ""test_time"": 0.0005789973142486788, ""Jitter(%)"": -0.06492958618327338, ""Jitter(Abs)"": -2731.8093042876317, ""Jitter:RAP"": -1484.7162811595106, ""Jitter:PPQ5"": -9.076496810624926, ""Jitter:DDP"": 506.92985970936405, ""Shimmer"": 6.686918871166654, ""Shimmer(dB)"": -0.44852870341467616, ""Shimmer:APQ3"": -1455.063012632144, ""Shimmer:APQ5"": -2.2256219820624663, ""Shimmer:APQ11"": 0.7113991886029032, ""Shimmer:DDA"": 482.3419342121796, ""NHR"": -0.5950587152824769, ""HNR"": -0.02832257504209373, ""RPDE"": 0.49610574458108303, ""DFA"": -1.339092545437749, ""PPE"": 0.48509041453546864}]",[3.7258464823111628],1,1.0,1.0331149101257324,parkinsons_log,quantile_glm,parkinsons_log_K1_student_t_L2.0_quantile_glm
student_t,1,2.0,False,True,,-858.094965772819,1883.4097856555638,1760.189931545638,-440.34187625148746,[1.0],0.38354513201046886,0.2953951589961429,[19],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.012350601161288968, ""sex"": -0.10723579493661674, ""test_time"": 0.0005789973142486788, ""Jitter(%)"": -0.06492958618327338, ""Jitter(Abs)"": -2731.8093042876317, ""Jitter:RAP"": -1484.7162811595106, ""Jitter:PPQ5"": -9.076496810624926, ""Jitter:DDP"": 506.92985970936405, ""Shimmer"": 6.686918871166654, ""Shimmer(dB)"": -0.44852870341467616, ""Shimmer:APQ3"": -1455.063012632144, ""Shimmer:APQ5"": -2.2256219820624663, ""Shimmer:APQ11"": 0.7113991886029032, ""Shimmer:DDA"": 482.3419342121796, ""NHR"": -0.5950587152824769, ""HNR"": -0.02832257504209373, ""RPDE"": 0.49610574458108303, ""DFA"": -1.339092545437749, ""PPE"": 0.48509041453546864}]",[3.7258464823111628],1,1.0,1.083763837814331,parkinsons_log,kmeans_glm,parkinsons_log_K1_student_t_L2.0_kmeans_glm
student_t,1,0.0,False,True,,-858.1118397198632,1883.443533549652,1760.2236794397263,-440.36742218488325,[1.0],0.38358225525407846,0.2953955063229983,[19],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.01234742236998808, ""sex"": -0.10806780360884016, ""test_time"": 0.0005807935066460249, ""Jitter(%)"": 0.8677520691520626, ""Jitter(Abs)"": -2776.602326143841, ""Jitter:RAP"": -1486.403900954628, ""Jitter:PPQ5"": -9.615641236560482, ""Jitter:DDP"": 507.2653422790149, ""Shimmer"": 6.825593941896024, ""Shimmer(dB)"": -0.4606453080406783, ""Shimmer:APQ3"": -1455.3484404227042, ""Shimmer:APQ5"": -2.3964827628824974, ""Shimmer:APQ11"": 0.764857783615144, ""Shimmer:DDA"": 482.45065549853774, ""NHR"": -0.601010250198616, ""HNR"": -0.028475007959699858, ""RPDE"": 0.49521997221844266, ""DFA"": -1.3465918717904501, ""PPE"": 0.485773859590062}]",[3.735398922518631],1,1.0,0.8675305843353271,parkinsons_log,kmeans_glm,parkinsons_log_K1_student_t_L0.0_kmeans_glm
student_t,1,0.0,False,True,,-858.1118397198632,1883.443533549652,1760.2236794397263,-440.36742218488325,[1.0],0.38358225525407846,0.2953955063229983,[19],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.01234742236998808, ""sex"": -0.10806780360884016, ""test_time"": 0.0005807935066460249, ""Jitter(%)"": 0.8677520691520626, ""Jitter(Abs)"": -2776.602326143841, ""Jitter:RAP"": -1486.403900954628, ""Jitter:PPQ5"": -9.615641236560482, ""Jitter:DDP"": 507.2653422790149, ""Shimmer"": 6.825593941896024, ""Shimmer(dB)"": -0.4606453080406783, ""Shimmer:APQ3"": -1455.3484404227042, ""Shimmer:APQ5"": -2.3964827628824974, ""Shimmer:APQ11"": 0.764857783615144, ""Shimmer:DDA"": 482.45065549853774, ""NHR"": -0.601010250198616, ""HNR"": -0.028475007959699858, ""RPDE"": 0.49521997221844266, ""DFA"": -1.3465918717904501, ""PPE"": 0.485773859590062}]",[3.735398922518631],1,1.0,0.8252813816070557,parkinsons_log,quantile_glm,parkinsons_log_K1_student_t_L0.0_quantile_glm
student_t,1,0.1,False,True,,-858.1129285506058,1883.4457112111374,1760.2258571012117,-440.3676562432719,[1.0],0.38358224907200866,0.29539661690759433,[19],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.01234738961329397, ""sex"": -0.10803394751922261, ""test_time"": 0.0005806346624244275, ""Jitter(%)"": 0.8484994414430337, ""Jitter(Abs)"": -2774.307217435299, ""Jitter:RAP"": -1486.3559641796735, ""Jitter:PPQ5"": -9.581201122807045, ""Jitter:DDP"": 507.24345956067503, ""Shimmer"": 6.817817240559754, ""Shimmer(dB)"": -0.45980851577134957, ""Shimmer:APQ3"": -1455.3364900352408, ""Shimmer:APQ5"": -2.3893735039039785, ""Shimmer:APQ11"": 0.7609635074156347, ""Shimmer:DDA"": 482.4460628895501, ""NHR"": -0.6012113383589766, ""HNR"": -0.028470388485937848, ""RPDE"": 0.49520149385362083, ""DFA"": -1.3463679455959752, ""PPE"": 0.4854356377709927}]",[3.7352086552136448],1,1.0,0.8228716850280762,parkinsons_log,quantile_glm,parkinsons_log_K1_student_t_L0.1_quantile_glm
student_t,1,0.1,False,True,,-858.1129285506058,1883.4457112111374,1760.2258571012117,-440.3676562432719,[1.0],0.38358224907200866,0.29539661690759433,[19],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.01234738961329397, ""sex"": -0.10803394751922261, ""test_time"": 0.0005806346624244275, ""Jitter(%)"": 0.8484994414430337, ""Jitter(Abs)"": -2774.307217435299, ""Jitter:RAP"": -1486.3559641796735, ""Jitter:PPQ5"": -9.581201122807045, ""Jitter:DDP"": 507.24345956067503, ""Shimmer"": 6.817817240559754, ""Shimmer(dB)"": -0.45980851577134957, ""Shimmer:APQ3"": -1455.3364900352408, ""Shimmer:APQ5"": -2.3893735039039785, ""Shimmer:APQ11"": 0.7609635074156347, ""Shimmer:DDA"": 482.4460628895501, ""NHR"": -0.6012113383589766, ""HNR"": -0.028470388485937848, ""RPDE"": 0.49520149385362083, ""DFA"": -1.3463679455959752, ""PPE"": 0.4854356377709927}]",[3.7352086552136448],1,1.0,0.8684074878692627,parkinsons_log,kmeans_glm,parkinsons_log_K1_student_t_L0.1_kmeans_glm
student_t,1,0.25,False,True,,-858.1142251991078,1883.4483045081413,1760.2284503982155,-440.36832170319576,[1.0],0.3835824107131566,0.2953983403312076,[19],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.012347385947496615, ""sex"": -0.10798541036766399, ""test_time"": 0.0005803966939734245, ""Jitter(%)"": 0.8146335710868903, ""Jitter(Abs)"": -2770.922625339354, ""Jitter:RAP"": -1486.2796848570322, ""Jitter:PPQ5"": -9.532353968160182, ""Jitter:DDP"": 507.21266665437406, ""Shimmer"": 6.806667190529819, ""Shimmer(dB)"": -0.45863729545467985, ""Shimmer:APQ3"": -1455.3187526430117, ""Shimmer:APQ5"": -2.378727363973701, ""Shimmer:APQ11"": 0.7554464039890308, ""Shimmer:DDA"": 482.4392368491272, ""NHR"": -0.6013761214468514, ""HNR"": -0.02846250321407426, ""RPDE"": 0.4951800297341042, ""DFA"": -1.3460229371412473, ""PPE"": 0.4849866328826214}]",[3.734885010032242],1,1.0,0.8615274429321289,parkinsons_log,kmeans_glm,parkinsons_log_K1_student_t_L0.25_kmeans_glm
student_t,1,0.25,False,True,,-858.1142251991078,1883.4483045081413,1760.2284503982155,-440.36832170319576,[1.0],0.3835824107131566,0.2953983403312076,[19],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.012347385947496615, ""sex"": -0.10798541036766399, ""test_time"": 0.0005803966939734245, ""Jitter(%)"": 0.8146335710868903, ""Jitter(Abs)"": -2770.922625339354, ""Jitter:RAP"": -1486.2796848570322, ""Jitter:PPQ5"": -9.532353968160182, ""Jitter:DDP"": 507.21266665437406, ""Shimmer"": 6.806667190529819, ""Shimmer(dB)"": -0.45863729545467985, ""Shimmer:APQ3"": -1455.3187526430117, ""Shimmer:APQ5"": -2.378727363973701, ""Shimmer:APQ11"": 0.7554464039890308, ""Shimmer:DDA"": 482.4392368491272, ""NHR"": -0.6013761214468514, ""HNR"": -0.02846250321407426, ""RPDE"": 0.4951800297341042, ""DFA"": -1.3460229371412473, ""PPE"": 0.4849866328826214}]",[3.734885010032242],1,1.0,0.8183498382568359,parkinsons_log,quantile_glm,parkinsons_log_K1_student_t_L0.25_quantile_glm
