families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,test_rmse,test_mae,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,init,task_id
gaussian+student_t,2,5.0,True,True,,-753.3134626984714,1818.263926238168,1588.6269253969429,-402.116603387632,"[0.6673628215061268, 0.33263717849387314]",0.381814005571084,0.2962101519082002,"[17, 18]",16.0,3.0,"[[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""], [""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.01688885656966782, ""sex"": 0.03714534187120662, ""test_time"": 0.0009093354083552247, ""Jitter(Abs)"": -5080.52833113517, ""Jitter:RAP"": 3.0473707833148596, ""Jitter:DDP"": 24.392007701996164, ""Shimmer"": 3.705327053507665, ""Shimmer(dB)"": -0.5086865341383274, ""Shimmer:APQ3"": -1093.6561630527544, ""Shimmer:APQ5"": -5.930140289564356, ""Shimmer:APQ11"": 4.7870358045719446, ""Shimmer:DDA"": 362.65390966778244, ""NHR"": -1.3264171697046878, ""HNR"": -0.030463340489619243, ""RPDE"": 0.9082264687445087, ""DFA"": -1.6313223772045864, ""PPE"": 1.084931298365852}, {""age"": 0.004350462803179174, ""sex"": -0.3956101095029067, ""test_time"": 0.0004868265156740441, ""Jitter(%)"": -0.12944401911959819, ""Jitter(Abs)"": -3227.4797329731805, ""Jitter:RAP"": 0.031142390275979422, ""Jitter:PPQ5"": 3.408118607483298, ""Jitter:DDP"": 4.02398469659088, ""Shimmer(dB)"": 0.20991352530758714, ""Shimmer:APQ3"": -1961.4179817518539, ""Shimmer:APQ5"": 0.7178222532460773, ""Shimmer:APQ11"": -2.5869669504343125, ""Shimmer:DDA"": 653.5934611654246, ""NHR"": 0.417988088937594, ""HNR"": -0.038925579718027375, ""RPDE"": -0.5388749672300452, ""DFA"": 0.1529914236237032, ""PPE"": -1.3149442425240918}]","[3.134888092795443, 4.7318598579801225]",48,0.33263717849387314,179.36881852149963,parkinsons_log,quantile_glm,parkinsons_log_K2_gaussian-student_t_L5.0_quantile_glm
gaussian+skew_normal,2,5.0,True,True,,-755.2293665167545,1814.4948314151923,1590.458733033509,-398.56336352100504,"[0.6574685310273324, 0.3425314689726676]",0.3818797240894453,0.29630186788755575,"[17, 17]",16.0,2.0,"[[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""], [""age"", ""sex"", ""test_time"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.01736733361616068, ""sex"": 0.032368195804957714, ""test_time"": 0.0009255844733525742, ""Jitter(Abs)"": -4971.79870271927, ""Jitter:RAP"": 1.2271721289804391, ""Jitter:DDP"": 24.19908396880067, ""Shimmer"": 3.557851226715796, ""Shimmer(dB)"": -0.5270334260169167, ""Shimmer:APQ3"": -973.6401884968791, ""Shimmer:APQ5"": -5.48116766005711, ""Shimmer:APQ11"": 4.636980114646397, ""Shimmer:DDA"": 322.726099093996, ""NHR"": -1.2827959900623003, ""HNR"": -0.029387772515893938, ""RPDE"": 0.9405591581569054, ""DFA"": -1.644908397867719, ""PPE"": 1.1603546789873436}, {""age"": 0.003763217948887545, ""sex"": -0.3568282067692304, ""test_time"": 0.00039151211604580166, ""Jitter(Abs)"": -3290.591264502879, ""Jitter:RAP"": 0.013332825274804387, ""Jitter:PPQ5"": 0.30540841385038847, ""Jitter:DDP"": 4.971234661245096, ""Shimmer(dB)"": 0.22843824459138803, ""Shimmer:APQ3"": -1913.0625803776938, ""Shimmer:APQ5"": 0.7429517526172537, ""Shimmer:APQ11"": -2.554720559055169, ""Shimmer:DDA"": 637.4822073490305, ""NHR"": 0.4441772246395532, ""HNR"": -0.03642337684040041, ""RPDE"": -0.5452040990734501, ""DFA"": 0.29976314875525784, ""PPE"": -1.2701669014092012}]","[3.054724400729149, 4.602270024187211]",58,0.3425314689726676,774.912924528122,parkinsons_log,quantile_glm,parkinsons_log_K2_gaussian-skew_normal_L5.0_quantile_glm
gaussian+gaussian,2,5.0,False,True,,-755.278859865131,1806.9929156524033,1588.557719730262,-398.45571976141093,"[0.6571242479730384, 0.3428757520269617]",0.38188269541382186,0.29630422273223456,"[17, 17]",16.0,2.0,"[[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""], [""age"", ""sex"", ""test_time"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.017379793802215566, ""sex"": 0.032291205678367206, ""test_time"": 0.0009262807989222435, ""Jitter(Abs)"": -4968.800103928733, ""Jitter:RAP"": 1.1402791364907872, ""Jitter:DDP"": 24.212653070892763, ""Shimmer"": 3.550407331400815, ""Shimmer(dB)"": -0.5272823262896862, ""Shimmer:APQ3"": -965.2816057533629, ""Shimmer:APQ5"": -5.468721827070557, ""Shimmer:APQ11"": 4.633830626231836, ""Shimmer:DDA"": 319.94233167393895, ""NHR"": -1.2819621103629202, ""HNR"": -0.029363365200122463, ""RPDE"": 0.9412884248846898, ""DFA"": -1.6453708271806826, ""PPE"": 1.1619916076594285}, {""age"": 0.0037522807040433885, ""sex"": -0.3558357116483617, ""test_time"": 0.00038860742047536835, ""Jitter(Abs)"": -3293.9023809360274, ""Jitter:RAP"": 0.04307572186367674, ""Jitter:PPQ5"": 0.1859469337795303, ""Jitter:DDP"": 5.000291083716621, ""Shimmer(dB)"": 0.22864568114873518, ""Shimmer:APQ3"": -1908.4911785306622, ""Shimmer:APQ5"": 0.7490920617225156, ""Shimmer:APQ11"": -2.55331860569343, ""Shimmer:DDA"": 635.9574955451484, ""NHR"": 0.4456584477607231, ""HNR"": -0.03634819080290205, ""RPDE"": -0.5448858539961687, ""DFA"": 0.30364436479515844, ""PPE"": -1.2680034823508597}]","[3.0528175450322688, 4.598465608937044]",58,0.3428757520269617,184.55587077140808,parkinsons_log,quantile_glm,parkinsons_log_K2_gaussian-gaussian_L5.0_quantile_glm
skew_normal+skew_normal,2,5.0,False,True,,-755.9145824810876,1823.4661658034006,1593.8291649621751,-397.2363965758468,"[0.6524777557506688, 0.34752224424933126]",0.3819443892149926,0.29637284256579194,"[17, 17]",16.0,2.0,"[[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [1, 2, 3, 4, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""], [""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:DDP"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.017536991477251393, ""sex"": 0.03167222116012818, ""test_time"": 0.0009367551713956899, ""Jitter(Abs)"": -4922.294879563129, ""Jitter:RAP"": 0.9889631708510968, ""Jitter:DDP"": 24.054043703818365, ""Shimmer"": 3.4633457604918365, ""Shimmer(dB)"": -0.5287642653486203, ""Shimmer:APQ3"": -983.0678111696216, ""Shimmer:APQ5"": -5.340357770250826, ""Shimmer:APQ11"": 4.59367629767908, ""Shimmer:DDA"": 325.90059441260854, ""NHR"": -1.27309456028274, ""HNR"": -0.02908673631261312, ""RPDE"": 0.9504620312371324, ""DFA"": -1.6521961458632226, ""PPE"": 1.1794288701497035}, {""age"": 0.0036269215936585836, ""sex"": -0.3427244661187581, ""test_time"": 0.00034895675292998836, ""Jitter(%)"": -0.19226573599989272, ""Jitter(Abs)"": -3318.2472944353963, ""Jitter:RAP"": 0.06509665048706675, ""Jitter:DDP"": 5.1334764882805635, ""Shimmer(dB)"": 0.23644933262111534, ""Shimmer:APQ3"": -1930.9132355875945, ""Shimmer:APQ5"": 0.7440151176957015, ""Shimmer:APQ11"": -2.569906775354502, ""Shimmer:DDA"": 643.4417566421552, ""NHR"": 0.4419127196127066, ""HNR"": -0.035289926914586295, ""RPDE"": -0.5376236954658179, ""DFA"": 0.3510228009057066, ""PPE"": -1.236132614523183}]","[3.030244950607614, 4.538678788518302]",55,0.34752224424933126,1304.2593929767609,parkinsons_log,quantile_glm,parkinsons_log_K2_skew_normal-skew_normal_L5.0_quantile_glm
gaussian+gaussian,2,10.0,False,True,,-697.6189386936549,1714.475780688077,1479.2378773873097,-395.43679837706964,"[0.7932805015363643, 0.20671949846363577]",0.3821788991548123,0.2972967982340892,"[18, 19]",18.0,1.0,"[[1, 2, 3, 4, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""], [""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.013733154948951245, ""sex"": 0.03798547136324843, ""test_time"": 0.000497887089293401, ""Jitter(%)"": 0.006920432831374784, ""Jitter(Abs)"": -2623.731051013273, ""Jitter:RAP"": 0.031245102753296013, ""Jitter:DDP"": 19.54879246577798, ""Shimmer"": 0.0014602024161143063, ""Shimmer(dB)"": -0.15317153819406332, ""Shimmer:APQ3"": -4.178652738967554, ""Shimmer:APQ5"": -4.998383169465888, ""Shimmer:APQ11"": 3.4058770478301765, ""Shimmer:DDA"": -0.0017505305114951133, ""NHR"": -1.123868048785327, ""HNR"": -0.03211557768202353, ""RPDE"": 1.0084513411261833, ""DFA"": -1.4289740153056225, ""PPE"": 0.15600890664108943}, {""age"": 0.008666746874401679, ""sex"": -0.549049519083397, ""test_time"": 0.0008804285599370738, ""Jitter(%)"": 13.037933722552868, ""Jitter(Abs)"": -8494.503036485938, ""Jitter:RAP"": 5.067863877051984, ""Jitter:PPQ5"": -30.188657599395242, ""Jitter:DDP"": 1.5945579354004016, ""Shimmer"": 0.7621495844930348, ""Shimmer(dB)"": 0.3244243015413652, ""Shimmer:APQ3"": -1403.8723137036716, ""Shimmer:APQ5"": -0.7800916051478807, ""Shimmer:APQ11"": 0.269477254166146, ""Shimmer:DDA"": 466.8411140782742, ""NHR"": 2.146074188715117, ""HNR"": -0.024858177145819962, ""RPDE"": -0.5257536401908746, ""DFA"": 0.9592911329374085, ""PPE"": 0.2962159248289809}]","[3.426360571317802, 3.4155280258264433]",120,0.20671949846363577,297.05047154426575,parkinsons_log,quantile_glm,parkinsons_log_K2_gaussian-gaussian_L10.0_quantile_glm
skew_normal+skew_normal,2,10.0,False,True,,-696.8392655998045,1697.7146295812925,1473.678531199609,-396.5136248905276,"[0.7951442985092068, 0.20485570149079324]",0.3822052260254151,0.2973012810948817,"[14, 19]",14.0,5.0,"[[1, 2, 3, 5, 8, 10, 11, 12, 13, 15, 16, 17, 18, 19], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(Abs)"", ""Jitter:DDP"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""], [""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.013676348291163404, ""sex"": 0.03651714137777735, ""test_time"": 0.0004935696984833893, ""Jitter(Abs)"": -2627.7078998279167, ""Jitter:DDP"": 19.5316140129854, ""Shimmer(dB)"": -0.15343150011766474, ""Shimmer:APQ3"": -4.188128276827849, ""Shimmer:APQ5"": -4.9996009848498435, ""Shimmer:APQ11"": 3.412483469750777, ""NHR"": -1.125254181899055, ""HNR"": -0.03207710682649166, ""RPDE"": 1.0089194024328343, ""DFA"": -1.4269109380313845, ""PPE"": 0.1533613775152587}, {""age"": 0.008772740891239087, ""sex"": -0.5480411564529469, ""test_time"": 0.0008805300820387137, ""Jitter(%)"": 13.143767242129709, ""Jitter(Abs)"": -8496.740853081867, ""Jitter:RAP"": 4.880394639014273, ""Jitter:PPQ5"": -30.13459469084269, ""Jitter:DDP"": 1.5379198975836188, ""Shimmer"": 0.805943736780911, ""Shimmer(dB)"": 0.32308033389019136, ""Shimmer:APQ3"": -1407.3779040459533, ""Shimmer:APQ5"": -0.9340651682511962, ""Shimmer:APQ11"": 0.3124528586798741, ""Shimmer:DDA"": 468.1085324444889, ""NHR"": 2.1259827104570386, ""HNR"": -0.024056444686521815, ""RPDE"": -0.5243110809732761, ""DFA"": 0.9677298044692508, ""PPE"": 0.3220287410940814}]","[3.43072863425001, 3.374148808091107]",121,0.20485570149079324,2297.952648162842,parkinsons_log,quantile_glm,parkinsons_log_K2_skew_normal-skew_normal_L10.0_quantile_glm
gaussian+skew_normal,2,10.0,True,True,,-697.0317840708644,1705.7005689829543,1476.0635681417289,-396.2412788654897,"[0.7946955389843811, 0.2053044610156188]",0.38220709840558886,0.2972967059475852,"[16, 19]",16.0,3.0,"[[1, 2, 3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:DDP"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""], [""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.013683016182865671, ""sex"": 0.03691777616812672, ""test_time"": 0.0004939610616600017, ""Jitter(Abs)"": -2613.8579980155273, ""Jitter:RAP"": 0.011642363724745804, ""Jitter:DDP"": 19.45404664257369, ""Shimmer(dB)"": -0.15257127818502436, ""Shimmer:APQ3"": -4.120742177433561, ""Shimmer:APQ5"": -5.073975501663684, ""Shimmer:APQ11"": 3.4206329952801906, ""Shimmer:DDA"": -0.0005085312048357169, ""NHR"": -1.119444285819552, ""HNR"": -0.03205068924690601, ""RPDE"": 1.0084587385778119, ""DFA"": -1.426953705032657, ""PPE"": 0.15330901468562322}, {""age"": 0.008746576591038368, ""sex"": -0.5483040721779122, ""test_time"": 0.0008804125427772648, ""Jitter(%)"": 13.08040201390163, ""Jitter(Abs)"": -8496.065225409022, ""Jitter:RAP"": 4.962077854542401, ""Jitter:PPQ5"": -30.152793223850296, ""Jitter:DDP"": 1.565103439513003, ""Shimmer"": 0.8024026952868397, ""Shimmer(dB)"": 0.32321248275188735, ""Shimmer:APQ3"": -1403.9029567949665, ""Shimmer:APQ5"": -0.8766582740398164, ""Shimmer:APQ11"": 0.2957722342441475, ""Shimmer:DDA"": 466.91796632676653, ""NHR"": 2.128082388680269, ""HNR"": -0.024259798285613168, ""RPDE"": -0.5245561974264725, ""DFA"": 0.9655640934793266, ""PPE"": 0.31594599503717546}]","[3.4288954311862203, 3.3841863560373757]",121,0.2053044610156188,1444.2299542427063,parkinsons_log,quantile_glm,parkinsons_log_K2_gaussian-skew_normal_L10.0_quantile_glm
gaussian+student_t,2,10.0,True,True,,-695.1306407502797,1701.8982823417846,1472.2612815005593,-402.10186736256486,"[0.8031965881036736, 0.1968034118963264]",0.3822393999161558,0.29725966297850615,"[16, 19]",16.0,3.0,"[[1, 2, 3, 5, 6, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19], [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:DDP"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""], [""age"", ""sex"", ""test_time"", ""Jitter(%)"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:PPQ5"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""Shimmer:DDA"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.013485215715076429, ""sex"": 0.031172437902470984, ""test_time"": 0.00048414262541562864, ""Jitter(Abs)"": -2580.9204470832615, ""Jitter:RAP"": 0.37576654229186796, ""Jitter:DDP"": 19.12901818026103, ""Shimmer(dB)"": -0.01147709346005865, ""Shimmer:APQ3"": -5.879134680815751, ""Shimmer:APQ5"": -4.458204706858265, ""Shimmer:APQ11"": 2.758104994008524, ""Shimmer:DDA"": -0.034631831580131486, ""NHR"": -1.196620000037793, ""HNR"": -0.03191607150060302, ""RPDE"": 1.0083037876079601, ""DFA"": -1.4164220902776727, ""PPE"": 0.12446916532383348}, {""age"": 0.00915530371863451, ""sex"": -0.5460973648902744, ""test_time"": 0.0008666410274399376, ""Jitter(%)"": 13.060888154086136, ""Jitter(Abs)"": -8522.25803026509, ""Jitter:RAP"": 4.9308813217198635, ""Jitter:PPQ5"": -30.79308592762118, ""Jitter:DDP"": 1.5656415588424064, ""Shimmer"": 0.9003405656566497, ""Shimmer(dB)"": 0.32944397967797556, ""Shimmer:APQ3"": -1558.5369521569573, ""Shimmer:APQ5"": -1.397489104213875, ""Shimmer:APQ11"": 0.5200153078000429, ""Shimmer:DDA"": 518.7206252339158, ""NHR"": 2.093627347952515, ""HNR"": -0.021637979043543993, ""RPDE"": -0.5303439489475564, ""DFA"": 0.9959275095670539, ""PPE"": 0.4092257504108779}]","[3.440215434333967, 3.25423478152033]",106,0.1968034118963264,355.47865748405457,parkinsons_log,quantile_glm,parkinsons_log_K2_gaussian-student_t_L10.0_quantile_glm
skew_normal,1,10.0,False,True,,-885.2656893690944,1914.9485254694882,1808.5313787381888,-457.87558711559325,[1.0],0.3823990161431637,0.29717078758151316,[16],,,"[[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.012248390849673937, ""sex"": -0.0764257418176179, ""test_time"": 0.0005922108636951601, ""Jitter(Abs)"": -2421.987415805219, ""Jitter:RAP"": 0.6101638817121535, ""Jitter:DDP"": 7.829214811528948, ""Shimmer"": 0.3321888462786416, ""Shimmer(dB)"": -0.00040501874554263597, ""Shimmer:APQ3"": -5.776985491448024, ""Shimmer:APQ5"": -0.02438388191368252, ""Shimmer:APQ11"": 0.23078591501491832, ""NHR"": -0.7188588288565166, ""HNR"": -0.03074508761381579, ""RPDE"": 0.5686321357842944, ""DFA"": -1.219377263276971, ""PPE"": 0.41425639356969635}]",[3.66168204596275],73,1.0,865.9029068946838,parkinsons_log,kmeans_glm,parkinsons_log_K1_skew_normal_L10.0_kmeans_glm
skew_normal,1,10.0,False,True,,-885.2656893690944,1914.9485254694882,1808.5313787381888,-457.87558711559325,[1.0],0.3823990161431637,0.29717078758151316,[16],,,"[[1, 2, 3, 5, 6, 8, 9, 10, 11, 12, 13, 15, 16, 17, 18, 19]]","[[""age"", ""sex"", ""test_time"", ""Jitter(Abs)"", ""Jitter:RAP"", ""Jitter:DDP"", ""Shimmer"", ""Shimmer(dB)"", ""Shimmer:APQ3"", ""Shimmer:APQ5"", ""Shimmer:APQ11"", ""NHR"", ""HNR"", ""RPDE"", ""DFA"", ""PPE""]]","[{""age"": 0.012248390849673937, ""sex"": -0.0764257418176179, ""test_time"": 0.0005922108636951601, ""Jitter(Abs)"": -2421.987415805219, ""Jitter:RAP"": 0.6101638817121535, ""Jitter:DDP"": 7.829214811528948, ""Shimmer"": 0.3321888462786416, ""Shimmer(dB)"": -0.00040501874554263597, ""Shimmer:APQ3"": -5.776985491448024, ""Shimmer:APQ5"": -0.02438388191368252, ""Shimmer:APQ11"": 0.23078591501491832, ""NHR"": -0.7188588288565166, ""HNR"": -0.03074508761381579, ""RPDE"": 0.5686321357842944, ""DFA"": -1.219377263276971, ""PPE"": 0.41425639356969635}]",[3.66168204596275],73,1.0,867.1566984653473,parkinsons_log,quantile_glm,parkinsons_log_K1_skew_normal_L10.0_quantile_glm
