families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,test_rmse,test_mae,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,init,task_id
nb2,1,20.0,False,True,,-4255.142943337492,8768.716570299415,8578.285886674985,-2163.505991395514,[1.0],3.941125570154111,2.4675071147407186,[32],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 32, 34, 35, 36, 37]]","[[""x6"", ""x4"", ""x5"", ""x1"", ""x2"", ""x9"", ""x8"", ""x73"", ""x3"", ""x90"", ""x87"", ""x10"", ""x29"", ""x16"", ""x38"", ""x69"", ""x86"", ""x40"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x28"", ""x17"", ""x84"", ""x66"", ""x61"", ""x72"", ""x24""]]","[{""x6"": 0.25221166785996435, ""x4"": -0.10428829941448263, ""x5"": 0.07203708273243381, ""x1"": -0.054339096685437634, ""x2"": -0.08310890977602783, ""x9"": 0.04019524686329743, ""x8"": 0.0034861388628444298, ""x73"": 0.0031788162853172526, ""x3"": 0.0487199205248415, ""x90"": 0.031208903638183974, ""x87"": -0.03507484258493562, ""x10"": 0.0054234676013123016, ""x29"": -0.009455733384128636, ""x16"": 0.022490821867060903, ""x38"": 0.026043098728714797, ""x69"": -0.017833535892943647, ""x86"": 0.004908200817241311, ""x40"": -0.005374442958529403, ""x91"": 0.028147316681036514, ""x57"": 0.024696039249532786, ""x78"": 0.02122995972510307, ""x60"": 0.06801138796057103, ""x70"": 0.018576543941482573, ""x35"": -0.01696120867215581, ""x51"": 0.007163420527815316, ""x28"": 0.02629021896242851, ""x17"": -0.06396110569270658, ""x84"": -0.05990864892268044, ""x66"": -0.022832997328685656, ""x61"": 0.005830745893958511, ""x72"": -0.015120822266087812, ""x24"": -0.004911772458093389}]",[0.9477684807245658],1,1.0,1.6672735214233398,rand,quantile_glm,rand_K1_nb2_L20.0_quantile_glm
nb2,1,20.0,False,True,,-4255.142943337492,8768.716570299415,8578.285886674985,-2163.505991395514,[1.0],3.941125570154111,2.4675071147407186,[32],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 32, 34, 35, 36, 37]]","[[""x6"", ""x4"", ""x5"", ""x1"", ""x2"", ""x9"", ""x8"", ""x73"", ""x3"", ""x90"", ""x87"", ""x10"", ""x29"", ""x16"", ""x38"", ""x69"", ""x86"", ""x40"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x28"", ""x17"", ""x84"", ""x66"", ""x61"", ""x72"", ""x24""]]","[{""x6"": 0.25221166785996435, ""x4"": -0.10428829941448263, ""x5"": 0.07203708273243381, ""x1"": -0.054339096685437634, ""x2"": -0.08310890977602783, ""x9"": 0.04019524686329743, ""x8"": 0.0034861388628444298, ""x73"": 0.0031788162853172526, ""x3"": 0.0487199205248415, ""x90"": 0.031208903638183974, ""x87"": -0.03507484258493562, ""x10"": 0.0054234676013123016, ""x29"": -0.009455733384128636, ""x16"": 0.022490821867060903, ""x38"": 0.026043098728714797, ""x69"": -0.017833535892943647, ""x86"": 0.004908200817241311, ""x40"": -0.005374442958529403, ""x91"": 0.028147316681036514, ""x57"": 0.024696039249532786, ""x78"": 0.02122995972510307, ""x60"": 0.06801138796057103, ""x70"": 0.018576543941482573, ""x35"": -0.01696120867215581, ""x51"": 0.007163420527815316, ""x28"": 0.02629021896242851, ""x17"": -0.06396110569270658, ""x84"": -0.05990864892268044, ""x66"": -0.022832997328685656, ""x61"": 0.005830745893958511, ""x72"": -0.015120822266087812, ""x24"": -0.004911772458093389}]",[0.9477684807245658],1,1.0,1.6618130207061768,rand,kmeans_glm,rand_K1_nb2_L20.0_kmeans_glm
zinb,1,20.0,False,True,,-4255.1239336740955,8776.279453432164,8580.247867348191,-2163.4651243907374,[1.0],3.941102178807397,2.467459878923226,[32],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 32, 34, 35, 36, 37]]","[[""x6"", ""x4"", ""x5"", ""x1"", ""x2"", ""x9"", ""x8"", ""x73"", ""x3"", ""x90"", ""x87"", ""x10"", ""x29"", ""x16"", ""x38"", ""x69"", ""x86"", ""x40"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x28"", ""x17"", ""x84"", ""x66"", ""x61"", ""x72"", ""x24""]]","[{""x6"": 0.25218660322640973, ""x4"": -0.1049472246825265, ""x5"": 0.07210988176496326, ""x1"": -0.055291262653001404, ""x2"": -0.08345477325710245, ""x9"": 0.04012233416003654, ""x8"": 0.003483945166750011, ""x73"": 0.003172080724380289, ""x3"": 0.04867479181112065, ""x90"": 0.03110468718427489, ""x87"": -0.035039265567857525, ""x10"": 0.005348155110871016, ""x29"": -0.009449762831036554, ""x16"": 0.022475507845253994, ""x38"": 0.02603504860824819, ""x69"": -0.01773656896218661, ""x86"": 0.004840047934533204, ""x40"": -0.005380759186491894, ""x91"": 0.028049630668593648, ""x57"": 0.024782864942834944, ""x78"": 0.021102534315637408, ""x60"": 0.06797047456984624, ""x70"": 0.018558902330828936, ""x35"": -0.016896117444244033, ""x51"": 0.0071870718870422476, ""x28"": 0.026248552434384016, ""x17"": -0.06384741379960962, ""x84"": -0.059861125380260664, ""x66"": -0.02279630266340235, ""x61"": 0.005794632265880603, ""x72"": -0.015174396095357152, ""x24"": -0.004840699603244616}]",[0.9477241336699463],2,1.0,2.248253107070923,rand,quantile_glm,rand_K1_zinb_L20.0_quantile_glm
zinb,1,20.0,False,True,,-4255.1239336740955,8776.279453432164,8580.247867348191,-2163.4651243907374,[1.0],3.941102178807397,2.467459878923226,[32],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 32, 34, 35, 36, 37]]","[[""x6"", ""x4"", ""x5"", ""x1"", ""x2"", ""x9"", ""x8"", ""x73"", ""x3"", ""x90"", ""x87"", ""x10"", ""x29"", ""x16"", ""x38"", ""x69"", ""x86"", ""x40"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x28"", ""x17"", ""x84"", ""x66"", ""x61"", ""x72"", ""x24""]]","[{""x6"": 0.25218660322640973, ""x4"": -0.1049472246825265, ""x5"": 0.07210988176496326, ""x1"": -0.055291262653001404, ""x2"": -0.08345477325710245, ""x9"": 0.04012233416003654, ""x8"": 0.003483945166750011, ""x73"": 0.003172080724380289, ""x3"": 0.04867479181112065, ""x90"": 0.03110468718427489, ""x87"": -0.035039265567857525, ""x10"": 0.005348155110871016, ""x29"": -0.009449762831036554, ""x16"": 0.022475507845253994, ""x38"": 0.02603504860824819, ""x69"": -0.01773656896218661, ""x86"": 0.004840047934533204, ""x40"": -0.005380759186491894, ""x91"": 0.028049630668593648, ""x57"": 0.024782864942834944, ""x78"": 0.021102534315637408, ""x60"": 0.06797047456984624, ""x70"": 0.018558902330828936, ""x35"": -0.016896117444244033, ""x51"": 0.0071870718870422476, ""x28"": 0.026248552434384016, ""x17"": -0.06384741379960962, ""x84"": -0.059861125380260664, ""x66"": -0.02279630266340235, ""x61"": 0.005794632265880603, ""x72"": -0.015174396095357152, ""x24"": -0.004840699603244616}]",[0.9477241336699463],2,1.0,2.0531489849090576,rand,kmeans_glm,rand_K1_zinb_L20.0_kmeans_glm
nb2+nb2,2,20.0,False,True,,-4231.637860575502,8782.51362445177,8547.275721151003,-2164.034663083424,"[0.36665538262343167, 0.6333446173765683]",3.926839910947151,2.459302529393907,"[25, 12]",9.0,19.0,"[[1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 29, 31, 32, 34, 35], [1, 2, 4, 5, 7, 8, 9, 10, 16, 19, 21, 26]]","[[""x6"", ""x4"", ""x5"", ""x2"", ""x9"", ""x8"", ""x73"", ""x90"", ""x87"", ""x29"", ""x16"", ""x38"", ""x69"", ""x85"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x17"", ""x84"", ""x66"", ""x61""], [""x6"", ""x4"", ""x1"", ""x2"", ""x8"", ""x73"", ""x3"", ""x90"", ""x69"", ""x40"", ""x91"", ""x35""]]","[{""x6"": 0.16209336984110356, ""x4"": -0.030627828264614586, ""x5"": 0.08825399898050537, ""x2"": -0.02891214322716694, ""x9"": 0.04350472372095283, ""x8"": 0.04143145672943434, ""x73"": 0.001396976474760927, ""x90"": 0.010633885121698548, ""x87"": -0.04030591732280462, ""x29"": -0.02156793934083208, ""x16"": 0.007947553384869065, ""x38"": 0.0279861070658638, ""x69"": -0.04644868138290962, ""x85"": 0.003048608578035064, ""x91"": 0.0058387480237065085, ""x57"": 0.05209671793360481, ""x78"": 0.02269104947740957, ""x60"": 0.10087167357298248, ""x70"": 0.04930347599100494, ""x35"": -0.038493289167918866, ""x51"": 0.022792449823280672, ""x17"": -0.07320036231593653, ""x84"": -0.05250966404536317, ""x66"": -0.030645369872164558, ""x61"": 0.040860403518411116}, {""x6"": 0.3234363707497786, ""x4"": -0.13519081520812354, ""x1"": -0.21980771616996994, ""x2"": -0.14083360156204042, ""x8"": -0.026501083792067927, ""x73"": 0.0015531554968402275, ""x3"": 0.10498264210408764, ""x90"": 0.006436471283616965, ""x69"": 0.021462463669047183, ""x40"": -0.00902236186697199, ""x91"": 0.0066371504726828205, ""x35"": 0.0178468863162727}]","[1.6300696232804717, 0.11270447985855639]",3,0.36665538262343167,4.8907787799835205,rand,kmeans_glm,rand_K2_nb2-nb2_L20.0_kmeans_glm
nb2+nb2,2,20.0,False,True,,-4239.544702974145,8790.726406789516,8561.08940594829,-2166.8000427491193,"[0.5152473432655567, 0.4847526567344433]",3.9354887372681406,2.4665344744648747,"[8, 28]",6.0,24.0,"[[1, 2, 4, 5, 7, 9, 16, 26], [1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 29, 30, 31, 32, 34, 35, 36]]","[[""x6"", ""x4"", ""x1"", ""x2"", ""x8"", ""x3"", ""x69"", ""x35""], [""x6"", ""x4"", ""x5"", ""x2"", ""x9"", ""x8"", ""x73"", ""x90"", ""x87"", ""x10"", ""x29"", ""x16"", ""x38"", ""x69"", ""x85"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x28"", ""x17"", ""x84"", ""x66"", ""x61"", ""x72""]]","[{""x6"": 0.3315050505017977, ""x4"": -0.1343867777399651, ""x1"": -0.19560991217504778, ""x2"": -0.10487623702381363, ""x8"": -0.014832945330152385, ""x3"": 0.08525486668073619, ""x69"": 0.011311033928340045, ""x35"": 0.005651306511723313}, {""x6"": 0.185226219561305, ""x4"": -0.05421477134437007, ""x5"": 0.08437439512531865, ""x2"": -0.04062397360088357, ""x9"": 0.0493521683397652, ""x8"": 0.037590735447863614, ""x73"": 0.0016561618763673567, ""x90"": 0.01742536010914476, ""x87"": -0.037808787650542505, ""x10"": 0.0016210786817446381, ""x29"": -0.016298041991801133, ""x16"": 0.012138996481245355, ""x38"": 0.025167814308674052, ""x69"": -0.04381172564655007, ""x85"": 0.0021427633123086397, ""x91"": 0.015572256880724757, ""x57"": 0.0477469307376292, ""x78"": 0.023123890173168415, ""x60"": 0.09298609779124722, ""x70"": 0.040638988030388914, ""x35"": -0.035543489659831354, ""x51"": 0.02115927885224853, ""x28"": 0.013024515631325806, ""x17"": -0.07441535420253775, ""x84"": -0.056420508249589746, ""x66"": -0.033293100507655805, ""x61"": 0.0315514940992455, ""x72"": -0.0010380494737937643}]","[-0.06246651749975862, 1.468213915347092]",3,0.4847526567344433,4.286510467529297,rand,quantile_glm,rand_K2_nb2-nb2_L20.0_quantile_glm
nb2+zinb,2,20.0,True,True,,-4231.956082998271,8790.750971756852,8549.912165996542,-2163.142192542725,"[0.6333537660676382, 0.36664623393236184]",3.9257019208020814,2.457198313316277,"[12, 25]",9.0,19.0,"[[1, 2, 4, 5, 7, 8, 9, 10, 16, 19, 21, 26], [1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 29, 31, 32, 34, 35]]","[[""x6"", ""x4"", ""x1"", ""x2"", ""x8"", ""x73"", ""x3"", ""x90"", ""x69"", ""x40"", ""x91"", ""x35""], [""x6"", ""x4"", ""x5"", ""x2"", ""x9"", ""x8"", ""x73"", ""x90"", ""x87"", ""x29"", ""x16"", ""x38"", ""x69"", ""x85"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x17"", ""x84"", ""x66"", ""x61""]]","[{""x6"": 0.3215404111822975, ""x4"": -0.13323114800525446, ""x1"": -0.2177779207719739, ""x2"": -0.1394199468045317, ""x8"": -0.027063525422123064, ""x73"": 0.0008935964967277015, ""x3"": 0.10230479988840611, ""x90"": 0.005626347458888227, ""x69"": 0.02159051791474309, ""x40"": -0.008622483139832592, ""x91"": 0.0063777424427633915, ""x35"": 0.01754608981039169}, {""x6"": 0.16202504473175516, ""x4"": -0.03036041235223948, ""x5"": 0.08771302129546235, ""x2"": -0.02870478541113364, ""x9"": 0.04257882591137174, ""x8"": 0.04019710231135438, ""x73"": 0.000980529530909182, ""x90"": 0.010329885736826533, ""x87"": -0.039772656236739264, ""x29"": -0.021261127063395557, ""x16"": 0.00754557921730274, ""x38"": 0.027384487253831125, ""x69"": -0.04545460345487999, ""x85"": 0.0020863237191565635, ""x91"": 0.005123522499401598, ""x57"": 0.05104529020218339, ""x78"": 0.022492235629483406, ""x60"": 0.10011561629855682, ""x70"": 0.048256432992661503, ""x35"": -0.03728146585615889, ""x51"": 0.022132081652064, ""x17"": -0.07235061215593687, ""x84"": -0.05207023635026813, ""x66"": -0.029830203864440335, ""x61"": 0.03966232612882013}]","[0.12238777577210802, 1.6277018778373962]",3,0.36664623393236184,5.254268407821655,rand,kmeans_glm,rand_K2_nb2-zinb_L20.0_kmeans_glm
zinb+zinb,2,20.0,False,True,,-4236.656640823718,8792.551184948203,8557.313281647435,-2162.6553030000887,"[0.46379221962939104, 0.5362077803706089]",3.934099900048609,2.4633170228110397,"[26, 9]",6.0,23.0,"[[1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26, 29, 30, 31, 32, 34, 35], [1, 2, 4, 5, 7, 9, 16, 19, 26]]","[[""x6"", ""x4"", ""x5"", ""x2"", ""x9"", ""x8"", ""x73"", ""x90"", ""x87"", ""x10"", ""x29"", ""x16"", ""x38"", ""x69"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x28"", ""x17"", ""x84"", ""x66"", ""x61""], [""x6"", ""x4"", ""x1"", ""x2"", ""x8"", ""x3"", ""x69"", ""x40"", ""x35""]]","[{""x6"": 0.1749430978535615, ""x4"": -0.04391120509306676, ""x5"": 0.08916224568086298, ""x2"": -0.03932752133925463, ""x9"": 0.050280547548617584, ""x8"": 0.037763464416790335, ""x73"": 0.000507728245796761, ""x90"": 0.017291725452426285, ""x87"": -0.03851859601491846, ""x10"": 0.0007493191217460178, ""x29"": -0.016166960044173423, ""x16"": 0.01329683335050833, ""x38"": 0.025230464719009325, ""x69"": -0.042810403473913246, ""x91"": 0.013935651698553105, ""x57"": 0.04773034690519599, ""x78"": 0.02326572157007581, ""x60"": 0.09544536233855126, ""x70"": 0.041254112403544166, ""x35"": -0.03458283483044744, ""x51"": 0.019261567099388262, ""x28"": 0.010398340016451174, ""x17"": -0.07770835638244401, ""x84"": -0.057915781616021345, ""x66"": -0.03159939369127227, ""x61"": 0.03213605855652345}, {""x6"": 0.344765747510239, ""x4"": -0.16235196113666078, ""x1"": -0.18569706116725512, ""x2"": -0.10361757061576629, ""x8"": -0.01007375199677642, ""x3"": 0.07142917100167996, ""x69"": 0.006304741639862293, ""x40"": -0.0004934466284125446, ""x35"": 0.004311619428062656}]","[1.4651525270882872, 0.10767938607210781]",3,0.46379221962939104,4.864845037460327,rand,kmeans_glm,rand_K2_zinb-zinb_L20.0_kmeans_glm
zinb+zinb,2,20.0,False,True,,-4236.656640823718,8792.551184948203,8557.313281647435,-2162.6553030000887,"[0.5362077803706089, 0.46379221962939104]",3.934099900048609,2.4633170228110397,"[9, 26]",6.0,23.0,"[[1, 2, 4, 5, 7, 9, 16, 19, 26], [1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26, 29, 30, 31, 32, 34, 35]]","[[""x6"", ""x4"", ""x1"", ""x2"", ""x8"", ""x3"", ""x69"", ""x40"", ""x35""], [""x6"", ""x4"", ""x5"", ""x2"", ""x9"", ""x8"", ""x73"", ""x90"", ""x87"", ""x10"", ""x29"", ""x16"", ""x38"", ""x69"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x28"", ""x17"", ""x84"", ""x66"", ""x61""]]","[{""x6"": 0.344765747510239, ""x4"": -0.16235196113666078, ""x1"": -0.18569706116725512, ""x2"": -0.10361757061576629, ""x8"": -0.01007375199677642, ""x3"": 0.07142917100167996, ""x69"": 0.006304741639862293, ""x40"": -0.0004934466284125446, ""x35"": 0.004311619428062656}, {""x6"": 0.1749430978535615, ""x4"": -0.04391120509306676, ""x5"": 0.08916224568086298, ""x2"": -0.03932752133925463, ""x9"": 0.050280547548617584, ""x8"": 0.037763464416790335, ""x73"": 0.000507728245796761, ""x90"": 0.017291725452426285, ""x87"": -0.03851859601491846, ""x10"": 0.0007493191217460178, ""x29"": -0.016166960044173423, ""x16"": 0.01329683335050833, ""x38"": 0.025230464719009325, ""x69"": -0.042810403473913246, ""x91"": 0.013935651698553105, ""x57"": 0.04773034690519599, ""x78"": 0.02326572157007581, ""x60"": 0.09544536233855126, ""x70"": 0.041254112403544166, ""x35"": -0.03458283483044744, ""x51"": 0.019261567099388262, ""x28"": 0.010398340016451174, ""x17"": -0.07770835638244401, ""x84"": -0.057915781616021345, ""x66"": -0.03159939369127227, ""x61"": 0.03213605855652345}]","[0.10767938607210781, 1.4651525270882872]",3,0.46379221962939104,5.816880464553833,rand,quantile_glm,rand_K2_zinb-zinb_L20.0_quantile_glm
nb2,1,10.0,False,True,,-4250.193495087711,8796.822186097563,8578.386990175422,-2168.2483391398723,[1.0],3.964565022917382,2.490081651957392,[37],,,"[[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 34, 35, 36, 37, 38]]","[[""x6"", ""x4"", ""x5"", ""x1"", ""x2"", ""x9"", ""x8"", ""x73"", ""x3"", ""x90"", ""x87"", ""x10"", ""x29"", ""x16"", ""x38"", ""x69"", ""x85"", ""x86"", ""x40"", ""x23"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x59"", ""x21"", ""x51"", ""x28"", ""x17"", ""x84"", ""x66"", ""x61"", ""x72"", ""x24"", ""x45""]]","[{""x6"": 0.2594962524324931, ""x4"": -0.11669182635139504, ""x5"": 0.07987386343510587, ""x1"": -0.07499193078055535, ""x2"": -0.1022817344262741, ""x9"": 0.04665185262751929, ""x8"": 0.007767756228583799, ""x73"": 0.012427409211611786, ""x3"": 0.07656598287765877, ""x90"": 0.04014332653565653, ""x87"": -0.04205096002692027, ""x10"": 0.012331549228029096, ""x29"": -0.018407628552181667, ""x16"": 0.03171912221332516, ""x38"": 0.033302985827113746, ""x69"": -0.02748252485458908, ""x85"": 0.0033871509731714443, ""x86"": 0.010770192159313637, ""x40"": -0.015205957889551357, ""x23"": 0.005851687576863915, ""x91"": 0.0364685079809528, ""x57"": 0.035518164684584096, ""x78"": 0.028655436236585948, ""x60"": 0.07629546786788945, ""x70"": 0.02721663006584489, ""x35"": -0.024778547300231265, ""x59"": -0.0077652031848234795, ""x21"": -0.003293611164300482, ""x51"": 0.016600518124416958, ""x28"": 0.034486663747039036, ""x17"": -0.06989293451971033, ""x84"": -0.07063276161927497, ""x66"": -0.03300455725125806, ""x61"": 0.012712735621047322, ""x72"": -0.027280720931907473, ""x24"": -0.012240640053301367, ""x45"": -0.0014793477214448323}]",[0.9402698711487656],1,1.0,1.4454917907714844,rand,quantile_glm,rand_K1_nb2_L10.0_quantile_glm
