families,K,lambda,nonidentical,converged,error,loglik_train,bic,aic,test_loglik,pi,test_rmse,test_mae,active_counts,shared_active,symmetric_diff,active_sets,active_features,active_coefficients,component_intercepts,n_iter,min_pi,seconds,dataset,init,task_id
nb2+zinb,2,20.0,True,True,,-4231.956082998271,8790.750971756852,8549.912165996542,-2163.142192542725,"[0.6333537660676382, 0.36664623393236184]",3.9257019208020814,2.457198313316277,"[12, 25]",9.0,19.0,"[[1, 2, 4, 5, 7, 8, 9, 10, 16, 19, 21, 26], [1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 29, 31, 32, 34, 35]]","[[""x6"", ""x4"", ""x1"", ""x2"", ""x8"", ""x73"", ""x3"", ""x90"", ""x69"", ""x40"", ""x91"", ""x35""], [""x6"", ""x4"", ""x5"", ""x2"", ""x9"", ""x8"", ""x73"", ""x90"", ""x87"", ""x29"", ""x16"", ""x38"", ""x69"", ""x85"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x17"", ""x84"", ""x66"", ""x61""]]","[{""x6"": 0.3215404111822975, ""x4"": -0.13323114800525446, ""x1"": -0.2177779207719739, ""x2"": -0.1394199468045317, ""x8"": -0.027063525422123064, ""x73"": 0.0008935964967277015, ""x3"": 0.10230479988840611, ""x90"": 0.005626347458888227, ""x69"": 0.02159051791474309, ""x40"": -0.008622483139832592, ""x91"": 0.0063777424427633915, ""x35"": 0.01754608981039169}, {""x6"": 0.16202504473175516, ""x4"": -0.03036041235223948, ""x5"": 0.08771302129546235, ""x2"": -0.02870478541113364, ""x9"": 0.04257882591137174, ""x8"": 0.04019710231135438, ""x73"": 0.000980529530909182, ""x90"": 0.010329885736826533, ""x87"": -0.039772656236739264, ""x29"": -0.021261127063395557, ""x16"": 0.00754557921730274, ""x38"": 0.027384487253831125, ""x69"": -0.04545460345487999, ""x85"": 0.0020863237191565635, ""x91"": 0.005123522499401598, ""x57"": 0.05104529020218339, ""x78"": 0.022492235629483406, ""x60"": 0.10011561629855682, ""x70"": 0.048256432992661503, ""x35"": -0.03728146585615889, ""x51"": 0.022132081652064, ""x17"": -0.07235061215593687, ""x84"": -0.05207023635026813, ""x66"": -0.029830203864440335, ""x61"": 0.03966232612882013}]","[0.12238777577210802, 1.6277018778373962]",3,0.36664623393236184,5.254268407821655,rand,kmeans_glm,rand_K2_nb2-zinb_L20.0_kmeans_glm
nb2+zinb,2,20.0,True,True,,-4239.443172321658,8798.124247944083,8562.886344643315,-2166.761594018228,"[0.517070955357472, 0.4829290446425279]",3.935194005862929,2.4662728254567137,"[8, 28]",6.0,24.0,"[[1, 2, 4, 5, 7, 9, 16, 26], [1, 2, 3, 5, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 29, 30, 31, 32, 34, 35, 36]]","[[""x6"", ""x4"", ""x1"", ""x2"", ""x8"", ""x3"", ""x69"", ""x35""], [""x6"", ""x4"", ""x5"", ""x2"", ""x9"", ""x8"", ""x73"", ""x90"", ""x87"", ""x10"", ""x29"", ""x16"", ""x38"", ""x69"", ""x85"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x28"", ""x17"", ""x84"", ""x66"", ""x61"", ""x72""]]","[{""x6"": 0.33157342679662316, ""x4"": -0.1344762171040251, ""x1"": -0.19626870635070975, ""x2"": -0.10584933812806675, ""x8"": -0.015195578934153083, ""x3"": 0.0859781863681822, ""x69"": 0.011607684221215045, ""x35"": 0.005988794202111625}, {""x6"": 0.18459491532427905, ""x4"": -0.053806991806571905, ""x5"": 0.08406244026918158, ""x2"": -0.04030991039702699, ""x9"": 0.0490506749947786, ""x8"": 0.03757042954572692, ""x73"": 0.0016295407458262246, ""x90"": 0.017374785277135707, ""x87"": -0.03782206205002922, ""x10"": 0.0015369408007267172, ""x29"": -0.0163654834050287, ""x16"": 0.01208041889250328, ""x38"": 0.025138256533415587, ""x69"": -0.04388036636756667, ""x85"": 0.0021831561805374417, ""x91"": 0.015349040901465416, ""x57"": 0.04780418331701021, ""x78"": 0.023030521090448963, ""x60"": 0.09300654240096219, ""x70"": 0.04073596437719608, ""x35"": -0.03563748417337839, ""x51"": 0.02128642219406819, ""x28"": 0.01286112619219803, ""x17"": -0.07429038837092505, ""x84"": -0.05623481159865835, ""x66"": -0.03317601900084778, ""x61"": 0.031686300265204255, ""x72"": -0.0009379500197965871}]","[-0.06161035531803405, 1.4709505928331157]",3,0.4829290446425279,4.570752143859863,rand,quantile_glm,rand_K2_nb2-zinb_L20.0_quantile_glm
zip+zinb,2,20.0,True,True,,-4235.605740948156,8820.85299503525,8563.211481896313,-2166.763022150677,"[0.527581023461176, 0.472418976538824]",3.93252160442958,2.4650979114907323,"[15, 25]",11.0,18.0,"[[1, 2, 3, 4, 5, 7, 8, 9, 16, 17, 19, 26, 29, 34, 35], [1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26, 29, 30, 31, 32, 34, 35]]","[[""x6"", ""x4"", ""x5"", ""x1"", ""x2"", ""x8"", ""x73"", ""x3"", ""x69"", ""x85"", ""x40"", ""x35"", ""x51"", ""x66"", ""x61""], [""x6"", ""x4"", ""x5"", ""x2"", ""x9"", ""x8"", ""x73"", ""x90"", ""x87"", ""x29"", ""x16"", ""x38"", ""x69"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x28"", ""x17"", ""x84"", ""x66"", ""x61""]]","[{""x6"": 0.31521608939168094, ""x4"": -0.13244615352773015, ""x5"": 0.023469924701887305, ""x1"": -0.19884881704431392, ""x2"": -0.12952769754937407, ""x8"": -0.007434673020505474, ""x73"": 0.0008231236286207633, ""x3"": 0.06061280313386833, ""x69"": 0.03169839265204434, ""x85"": -0.024219325382251307, ""x40"": -0.005978090351404637, ""x35"": 0.03001532416499975, ""x51"": -0.0010698288370821639, ""x66"": 0.007154234477534529, ""x61"": -0.004573901681169675}, {""x6"": 0.18231617529550964, ""x4"": -0.05481551415353679, ""x5"": 0.08390406548510611, ""x2"": -0.037571275094560604, ""x9"": 0.04973654889823917, ""x8"": 0.03583788821145441, ""x73"": 0.00247060169097823, ""x90"": 0.01569091341195768, ""x87"": -0.03464363279714323, ""x29"": -0.016533811661702827, ""x16"": 0.010573376854075557, ""x38"": 0.025710471659478415, ""x69"": -0.04269458255916162, ""x91"": 0.012600437459948712, ""x57"": 0.04830706238442514, ""x78"": 0.0230760192835157, ""x60"": 0.08973298442587932, ""x70"": 0.039580537039013014, ""x35"": -0.03640457725562548, ""x51"": 0.022938211837659764, ""x28"": 0.010291421647797065, ""x17"": -0.07228692535060113, ""x84"": -0.05177023829267211, ""x66"": -0.031882556853675525, ""x61"": 0.030762535503234302}]","[0.19302971545169229, 1.5037676464102048]",3,0.472418976538824,12.65903902053833,rand,quantile_glm,rand_K2_zip-zinb_L20.0_quantile_glm
zip+zinb,2,20.0,True,True,,-4235.605740948156,8820.85299503525,8563.211481896313,-2166.763022150677,"[0.527581023461176, 0.472418976538824]",3.93252160442958,2.4650979114907323,"[15, 25]",11.0,18.0,"[[1, 2, 3, 4, 5, 7, 8, 9, 16, 17, 19, 26, 29, 34, 35], [1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 21, 22, 23, 24, 25, 26, 29, 30, 31, 32, 34, 35]]","[[""x6"", ""x4"", ""x5"", ""x1"", ""x2"", ""x8"", ""x73"", ""x3"", ""x69"", ""x85"", ""x40"", ""x35"", ""x51"", ""x66"", ""x61""], [""x6"", ""x4"", ""x5"", ""x2"", ""x9"", ""x8"", ""x73"", ""x90"", ""x87"", ""x29"", ""x16"", ""x38"", ""x69"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x28"", ""x17"", ""x84"", ""x66"", ""x61""]]","[{""x6"": 0.31521608939168094, ""x4"": -0.13244615352773015, ""x5"": 0.023469924701887305, ""x1"": -0.19884881704431392, ""x2"": -0.12952769754937407, ""x8"": -0.007434673020505474, ""x73"": 0.0008231236286207633, ""x3"": 0.06061280313386833, ""x69"": 0.03169839265204434, ""x85"": -0.024219325382251307, ""x40"": -0.005978090351404637, ""x35"": 0.03001532416499975, ""x51"": -0.0010698288370821639, ""x66"": 0.007154234477534529, ""x61"": -0.004573901681169675}, {""x6"": 0.18231617529550964, ""x4"": -0.05481551415353679, ""x5"": 0.08390406548510611, ""x2"": -0.037571275094560604, ""x9"": 0.04973654889823917, ""x8"": 0.03583788821145441, ""x73"": 0.00247060169097823, ""x90"": 0.01569091341195768, ""x87"": -0.03464363279714323, ""x29"": -0.016533811661702827, ""x16"": 0.010573376854075557, ""x38"": 0.025710471659478415, ""x69"": -0.04269458255916162, ""x91"": 0.012600437459948712, ""x57"": 0.04830706238442514, ""x78"": 0.0230760192835157, ""x60"": 0.08973298442587932, ""x70"": 0.039580537039013014, ""x35"": -0.03640457725562548, ""x51"": 0.022938211837659764, ""x28"": 0.010291421647797065, ""x17"": -0.07228692535060113, ""x84"": -0.05177023829267211, ""x66"": -0.031882556853675525, ""x61"": 0.030762535503234302}]","[0.19302971545169229, 1.5037676464102048]",3,0.472418976538824,12.631247520446777,rand,kmeans_glm,rand_K2_zip-zinb_L20.0_kmeans_glm
poisson+nb2+zinb,3,20.0,True,True,,-4232.854182222263,8838.152584962088,8563.708364444527,-2149.093762627981,"[0.40809003442474023, 0.2547197276235099, 0.3371902379517499]",3.9213478771644694,2.458984018136108,"[15, 0, 26]",0.0,31.0,"[[1, 2, 3, 4, 5, 7, 9, 16, 17, 26, 28, 29, 33, 34, 35], [], [1, 2, 3, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 19, 21, 22, 23, 24, 25, 26, 29, 30, 31, 32, 34, 35]]","[[""x6"", ""x4"", ""x5"", ""x1"", ""x2"", ""x8"", ""x3"", ""x69"", ""x85"", ""x35"", ""x21"", ""x51"", ""x39"", ""x66"", ""x61""], [], [""x6"", ""x4"", ""x5"", ""x9"", ""x8"", ""x73"", ""x90"", ""x87"", ""x29"", ""x16"", ""x38"", ""x69"", ""x85"", ""x40"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x28"", ""x17"", ""x84"", ""x66"", ""x61""]]","[{""x6"": 0.23369674942974855, ""x4"": -0.07694407193781955, ""x5"": 0.031066174646211437, ""x1"": -0.15561494388356226, ""x2"": -0.10835329272536803, ""x8"": -0.022141547850593843, ""x3"": 0.029100721746378275, ""x69"": 0.020760971462540176, ""x85"": -0.013461233689133545, ""x35"": 0.009148314910297432, ""x21"": 0.027119704193124084, ""x51"": -0.014570534432845603, ""x39"": 0.0011636760538547982, ""x66"": 0.0030653982720652033, ""x61"": -0.022680913524949012}, {}, {""x6"": 0.1583145298164951, ""x4"": -0.07991153143310409, ""x5"": 0.10317924558191918, ""x9"": 0.0538162918218077, ""x8"": 0.07082722071861294, ""x73"": 0.018333372063354704, ""x90"": 0.01195985437127298, ""x87"": -0.0022744096241274197, ""x29"": -0.025678696727324517, ""x16"": 0.009409318244132745, ""x38"": 0.056973119880341004, ""x69"": -0.039202898835954375, ""x85"": -0.00570464876444543, ""x40"": -0.02380490069343719, ""x91"": 0.028340823610604277, ""x57"": 0.017697580241040407, ""x78"": 0.008773984198663997, ""x60"": 0.07438980882610494, ""x70"": 0.0389131370507889, ""x35"": -0.011181546596092565, ""x51"": 0.05604863222252714, ""x28"": 0.044980485015823024, ""x17"": -0.04247843376655054, ""x84"": -0.04626666761533575, ""x66"": -0.0385953692223962, ""x61"": 0.011437171811592536}]","[0.42380582018829677, 0.22817963297915275, 1.5940385358256883]",4,0.2547197276235099,7.541464805603027,rand,kmeans_glm,rand_K3_poisson-nb2-zinb_L20.0_kmeans_glm
nb2+zinb+zinb,3,20.0,True,True,,-4240.751490085238,8846.346298228496,8577.502980170477,-2157.389907885315,"[0.18531850784999018, 0.5079934320422678, 0.3066880601077421]",3.920018309992511,2.45710309636144,"[19, 6, 13]",2.0,25.0,"[[1, 3, 5, 6, 7, 11, 13, 15, 16, 17, 22, 23, 24, 25, 26, 31, 32, 34, 35], [1, 2, 4, 5, 9, 16], [1, 2, 4, 5, 6, 13, 15, 19, 21, 28, 30, 31, 36]]","[[""x6"", ""x5"", ""x2"", ""x9"", ""x8"", ""x87"", ""x29"", ""x38"", ""x69"", ""x85"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x17"", ""x84"", ""x66"", ""x61""], [""x6"", ""x4"", ""x1"", ""x2"", ""x3"", ""x69""], [""x6"", ""x4"", ""x1"", ""x2"", ""x9"", ""x29"", ""x38"", ""x40"", ""x91"", ""x21"", ""x28"", ""x17"", ""x72""]]","[{""x6"": 0.10337316913076446, ""x5"": 0.08567033569315613, ""x2"": -0.0040618963461992305, ""x9"": 0.03084921208247711, ""x8"": 0.02963121857104875, ""x87"": -0.04039024299147401, ""x29"": -0.01950784571231175, ""x38"": 0.02498191720079183, ""x69"": -0.028403543230093434, ""x85"": 0.009354889030233413, ""x57"": 0.0482914411114825, ""x78"": 0.009994506642496234, ""x60"": 0.11854674301979848, ""x70"": 0.059704129838018295, ""x35"": -0.023669061601918954, ""x17"": -0.058839974785882494, ""x84"": -0.03186342918896753, ""x66"": -0.011913834419731853, ""x61"": 0.046706532096128496}, {""x6"": 0.3637373341625907, ""x4"": -0.14687742045935023, ""x1"": -0.1829262925786122, ""x2"": -0.07802652817268722, ""x3"": 0.07890464593716798, ""x69"": 0.00038265830651726667}, {""x6"": 0.1776547234224183, ""x4"": -0.07825747843050748, ""x1"": -0.03847637877005737, ""x2"": -0.06961671805532586, ""x9"": 0.03588377600073334, ""x29"": 0.005221478219511299, ""x38"": -0.006584788214221402, ""x40"": -0.016763347844604096, ""x91"": 0.00714481711030907, ""x21"": 0.006942861936561409, ""x28"": 0.0018685347804155788, ""x17"": -0.017175770907526335, ""x72"": -0.0008162250512686796}]","[1.9862607764987, -0.20689472128583414, 1.0232585743899727]",3,0.18531850784999018,6.162722826004028,rand,kmeans_glm,rand_K3_nb2-zinb-zinb_L20.0_kmeans_glm
nb2+nb2+zinb,3,20.0,True,True,,-4241.163551008593,8862.37222499429,8582.327102017185,-2165.625457940938,"[0.22427506592481167, 0.4810713648644684, 0.29465356921072]",3.9261734941301203,2.463875048434238,"[22, 7, 12]",2.0,27.0,"[[1, 3, 5, 6, 7, 8, 11, 13, 15, 16, 17, 22, 23, 24, 25, 26, 29, 31, 32, 34, 35, 38], [1, 2, 4, 5, 7, 9, 16], [1, 2, 4, 5, 6, 13, 15, 19, 21, 28, 31, 36]]","[[""x6"", ""x5"", ""x2"", ""x9"", ""x8"", ""x73"", ""x87"", ""x29"", ""x38"", ""x69"", ""x85"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x17"", ""x84"", ""x66"", ""x61"", ""x45""], [""x6"", ""x4"", ""x1"", ""x2"", ""x8"", ""x3"", ""x69""], [""x6"", ""x4"", ""x1"", ""x2"", ""x9"", ""x29"", ""x38"", ""x40"", ""x91"", ""x21"", ""x17"", ""x72""]]","[{""x6"": 0.11424217682105373, ""x5"": 0.08647596315501664, ""x2"": -0.01130826794340853, ""x9"": 0.033234761471034456, ""x8"": 0.0380267539602044, ""x73"": 0.003402749809352339, ""x87"": -0.04125728430917303, ""x29"": -0.024909859621638476, ""x38"": 0.03138283106137572, ""x69"": -0.03971417686084265, ""x85"": 0.011770358820904927, ""x57"": 0.052236256257860984, ""x78"": 0.016443898070002922, ""x60"": 0.11695340808411564, ""x70"": 0.0618944400639535, ""x35"": -0.03170417578280717, ""x51"": 0.004477308479991419, ""x17"": -0.059064842320492965, ""x84"": -0.036791689154081104, ""x66"": -0.022048912539841762, ""x61"": 0.04796557367981767, ""x45"": -0.003777303785665917}, {""x6"": 0.3166361827673486, ""x4"": -0.10407705408987517, ""x1"": -0.17443276394766632, ""x2"": -0.07481353726707399, ""x8"": -0.005152193929951582, ""x3"": 0.0695771847331297, ""x69"": 0.0009649339627710284}, {""x6"": 0.18534311393745076, ""x4"": -0.06552441783984832, ""x1"": -0.0612063615168887, ""x2"": -0.07727488112661118, ""x9"": 0.03249700993948254, ""x29"": 0.014437212030797541, ""x38"": -0.011208251819267805, ""x40"": -0.00869794871762615, ""x91"": 0.015818446050364768, ""x21"": 0.013041527697166612, ""x17"": -0.012082216361971505, ""x72"": -0.0017167652429406902}]","[1.9181296923077136, -0.3952632424044311, 0.950636357779205]",3,0.22427506592481167,7.850312948226929,rand,kmeans_glm,rand_K3_nb2-nb2-zinb_L20.0_kmeans_glm
nb2+zip+zinb,3,20.0,True,True,,-4241.317074365375,8870.280174167397,8584.63414873075,-2169.3307198694224,"[0.4764545728397767, 0.25466414332530185, 0.2688812838349215]",3.929211278682242,2.468106211939999,"[7, 10, 25]",3.0,26.0,"[[1, 2, 4, 5, 7, 9, 16], [1, 2, 4, 5, 6, 13, 15, 21, 28, 31], [1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 22, 23, 24, 25, 26, 29, 31, 32, 34, 35, 38]]","[[""x6"", ""x4"", ""x1"", ""x2"", ""x8"", ""x3"", ""x69""], [""x6"", ""x4"", ""x1"", ""x2"", ""x9"", ""x29"", ""x38"", ""x91"", ""x21"", ""x17""], [""x6"", ""x4"", ""x5"", ""x2"", ""x9"", ""x8"", ""x73"", ""x90"", ""x87"", ""x29"", ""x16"", ""x38"", ""x69"", ""x85"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x17"", ""x84"", ""x66"", ""x61"", ""x45""]]","[{""x6"": 0.3128997156048206, ""x4"": -0.10212152162010969, ""x1"": -0.1769599373853353, ""x2"": -0.07974697406664583, ""x8"": -0.00698790714461243, ""x3"": 0.06989719167202918, ""x69"": 0.0007480609467886181}, {""x6"": 0.17832557712875557, ""x4"": -0.05434837444452379, ""x1"": -0.06715625357058254, ""x2"": -0.0653390425833272, ""x9"": 0.06665485887431323, ""x29"": 0.010923704427567868, ""x38"": -0.010164348076614855, ""x91"": 0.011300990498135152, ""x21"": 0.010948086880311925, ""x17"": -0.002947279782044053}, {""x6"": 0.1270685719151014, ""x4"": -0.0086225932746788, ""x5"": 0.08500800218286063, ""x2"": -0.0166548426516437, ""x9"": 0.039708289309473795, ""x8"": 0.041202464581240446, ""x73"": 0.005141460628929864, ""x90"": 0.0007991245092574706, ""x87"": -0.042050884852153206, ""x29"": -0.025548804691282307, ""x16"": 0.0011176477169158312, ""x38"": 0.032171673197682285, ""x69"": -0.04447918731834694, ""x85"": 0.00990295498167724, ""x57"": 0.05339421980445826, ""x78"": 0.019903811374045045, ""x60"": 0.11198874541939578, ""x70"": 0.058590627033606034, ""x35"": -0.035026997431791294, ""x51"": 0.012357426229312454, ""x17"": -0.06150720258041664, ""x84"": -0.03841387333772396, ""x66"": -0.026929883846778455, ""x61"": 0.04587629309101513, ""x45"": -0.004255318445116053}]","[-0.36145422213339023, 0.8810600231173809, 1.8394498773979788]",3,0.25466414332530185,11.714632272720337,rand,quantile_glm,rand_K3_nb2-zip-zinb_L20.0_quantile_glm
nb2+zip+zip,3,20.0,True,True,,-4237.383812764032,8877.615455883795,8580.767625528064,-2161.546143122607,"[0.19136556784821263, 0.5045475743772574, 0.3040868577745299]",3.9205741770581644,2.460761052170167,"[20, 12, 13]",2.0,28.0,"[[1, 3, 5, 6, 7, 11, 13, 15, 16, 17, 22, 23, 24, 25, 26, 31, 32, 34, 35, 38], [1, 2, 3, 4, 5, 7, 9, 10, 16, 17, 18, 26], [1, 2, 4, 5, 6, 13, 15, 19, 21, 28, 30, 31, 36]]","[[""x6"", ""x5"", ""x2"", ""x9"", ""x8"", ""x87"", ""x29"", ""x38"", ""x69"", ""x85"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x17"", ""x84"", ""x66"", ""x61"", ""x45""], [""x6"", ""x4"", ""x5"", ""x1"", ""x2"", ""x8"", ""x3"", ""x90"", ""x69"", ""x85"", ""x86"", ""x35""], [""x6"", ""x4"", ""x1"", ""x2"", ""x9"", ""x29"", ""x38"", ""x40"", ""x91"", ""x21"", ""x28"", ""x17"", ""x72""]]","[{""x6"": 0.1077870513710331, ""x5"": 0.08359523756458928, ""x2"": -0.00819595399305913, ""x9"": 0.03293331836445028, ""x8"": 0.029945250232842946, ""x87"": -0.040757663274788455, ""x29"": -0.02083580580345174, ""x38"": 0.026209695946833315, ""x69"": -0.03042930919161302, ""x85"": 0.011385391079894027, ""x57"": 0.04961546107746599, ""x78"": 0.01089824146207589, ""x60"": 0.11575609169840306, ""x70"": 0.059864950698507564, ""x35"": -0.02605768649979615, ""x17"": -0.0584430444484256, ""x84"": -0.02955538993646895, ""x66"": -0.015212478847651742, ""x61"": 0.045996164680974304, ""x45"": -0.0006437005252909619}, {""x6"": 0.30764663459174857, ""x4"": -0.12337515562206543, ""x5"": 0.008723591753446612, ""x1"": -0.1854692075175823, ""x2"": -0.09745629622495412, ""x8"": -0.03242406412105369, ""x3"": 0.1055550661452896, ""x90"": 0.00010950104588829704, ""x69"": 0.010818385047493696, ""x85"": -0.00023144966036436936, ""x86"": 0.00833185993308605, ""x35"": 0.0027790835887741183}, {""x6"": 0.1952893605641741, ""x4"": -0.08453100944302741, ""x1"": -0.03733785646274927, ""x2"": -0.06511333178352514, ""x9"": 0.042731543573985564, ""x29"": 0.01278029974086024, ""x38"": -0.025267846293391166, ""x40"": -0.01889880156122972, ""x91"": 0.01606583688855516, ""x21"": 0.00792450599253211, ""x28"": 0.0017130031587397345, ""x17"": -0.022310306551873733, ""x72"": -0.006370966760810601}]","[1.9952540144859117, -0.19082759673009836, 1.0795538153417026]",3,0.19136556784821263,9.523832321166992,rand,kmeans_glm,rand_K3_nb2-zip-zip_L20.0_kmeans_glm
poisson+nb2+zip,3,20.0,True,True,,-4241.253985894655,8877.754899685498,8586.50797178931,-2170.83785480828,"[0.3199976073536737, 0.3404325599692183, 0.33956983267710794]",3.932882932115258,2.463818287621024,"[5, 26, 14]",2.0,27.0,"[[1, 2, 4, 9, 10], [1, 2, 3, 5, 6, 7, 8, 10, 11, 13, 14, 15, 16, 17, 21, 22, 23, 24, 25, 26, 29, 31, 32, 34, 35, 38], [1, 2, 3, 4, 5, 6, 7, 13, 15, 16, 21, 28, 29, 35]]","[[""x6"", ""x4"", ""x1"", ""x3"", ""x90""], [""x6"", ""x4"", ""x5"", ""x2"", ""x9"", ""x8"", ""x73"", ""x90"", ""x87"", ""x29"", ""x16"", ""x38"", ""x69"", ""x85"", ""x91"", ""x57"", ""x78"", ""x60"", ""x70"", ""x35"", ""x51"", ""x17"", ""x84"", ""x66"", ""x61"", ""x45""], [""x6"", ""x4"", ""x5"", ""x1"", ""x2"", ""x9"", ""x8"", ""x29"", ""x38"", ""x69"", ""x91"", ""x21"", ""x51"", ""x61""]]","[{""x6"": 0.32100401997107597, ""x4"": -0.05394909236105663, ""x1"": -0.055434177614214306, ""x3"": 0.02230126858699535, ""x90"": 0.0001282924364557152}, {""x6"": 0.1629271524826929, ""x4"": -0.029516413356981894, ""x5"": 0.08792534904955286, ""x2"": -0.026914981192060646, ""x9"": 0.039900356612091785, ""x8"": 0.04439299086414834, ""x73"": 0.0056250728162, ""x90"": 0.01021193656523342, ""x87"": -0.03922934571298235, ""x29"": -0.02525034527283031, ""x16"": 0.006002539086535033, ""x38"": 0.030184573255016126, ""x69"": -0.049427602010063146, ""x85"": 0.005878241737810179, ""x91"": 0.00395232145869933, ""x57"": 0.05515202010153914, ""x78"": 0.023337780604700126, ""x60"": 0.10253017042456591, ""x70"": 0.05131024845899982, ""x35"": -0.04121741755787185, ""x51"": 0.02400937962210904, ""x17"": -0.07012066252027407, ""x84"": -0.04890371703068916, ""x66"": -0.032195474485679304, ""x61"": 0.04251746274713688, ""x45"": -0.0035489416747964513}, {""x6"": 0.26285692284850737, ""x4"": -0.05403393396695945, ""x5"": 0.010383548576636856, ""x1"": -0.1699170267913465, ""x2"": -0.12253187601825696, ""x9"": 0.003019181962366658, ""x8"": -0.0021827288997201487, ""x29"": 0.003629128833078127, ""x38"": -0.0023434521155233138, ""x69"": 0.014242903619180085, ""x91"": 0.006174329638850732, ""x21"": 0.015599341439199449, ""x51"": -0.0066792163787149994, ""x61"": -0.008935279481068715}]","[-0.9174507018416364, 1.7068762890772282, 0.6412723873093527]",5,0.3199976073536737,9.00075912475586,rand,kmeans_glm,rand_K3_poisson-nb2-zip_L20.0_kmeans_glm
