Rank,K,Families,LogLik,AIC,BIC
1,2,lognormal + gamma,-579.1766908842544,1184.3533817685088,1239.1432870479973
2,2,gamma + lognormal,-579.1766908842544,1184.3533817685088,1239.1432870479973
3,2,lognormal + lognormal,-579.5967200510256,1185.1934401020512,1239.9833453815397
4,2,inverse_gaussian + lognormal,-580.5580613726124,1187.1161227452249,1241.9060280247134
5,2,lognormal + inverse_gaussian,-580.5580613726124,1187.1161227452249,1241.9060280247134
6,2,gamma + gamma,-584.3200247434434,1194.6400494868867,1249.4299547663752
7,2,gamma + inverse_gaussian,-584.5557519417132,1195.1115038834264,1249.901409162915
8,3,inverse_gaussian + inverse_gaussian + inverse_gaussian,-573.2670948737241,1186.5341897474482,1270.826351715892
9,3,inverse_gaussian + inverse_gaussian + gamma,-573.9053441295641,1187.8106882591283,1272.1028502275722
10,3,inverse_gaussian + gamma + inverse_gaussian,-574.0587634099045,1188.117526819809,1272.4096887882529
