scenario,example_id,seed,penalty,lambda,l1_ratio,bic,test_ll,time,tpr,fpr,fdr,fnr,mse,selected_size,active_size,tp,fp,fn,tn
B,1,1,none,0.0,,4032.7219265410836,-1.9035631904490242,0.7938599586486816,1.0,1.0,0.75,0.0,0.004975632924201299,40,10,10,30,0,0
B,1,1,lasso,1.0,,4026.1268694792975,-1.9009205648761571,0.8096773624420166,1.0,0.9666666666666667,0.7435897435897436,0.0,0.004472217079155039,39,10,10,29,0,1
B,1,1,lasso,2.0,,4019.8881914605045,-1.8986474717849275,0.817793607711792,1.0,0.9333333333333333,0.7368421052631579,0.0,0.00401882085080177,38,10,10,28,0,2
B,1,1,lasso,5.0,,3996.2556186096026,-1.8932366446240192,0.8354558944702148,1.0,0.8,0.7058823529411765,0.0,0.0029723100018315724,34,10,10,24,0,6
B,1,1,lasso,10.0,,3960.1009616753345,-1.8884233056777888,0.8470203876495361,1.0,0.5666666666666667,0.6296296296296297,0.0,0.0023933062921672552,27,10,10,17,0,13
B,1,1,lasso,20.0,,3897.692513814622,-1.8921691782096581,0.9300854206085205,1.0,0.13333333333333333,0.2857142857142857,0.0,0.005010544736272731,14,10,10,4,0,26
B,1,1,lasso,50.0,,4169.152018991353,-2.061793566582667,0.7721400260925293,0.6,0.0,0.0,0.4,0.115397040979043,6,10,6,0,4,30
B,1,1,lasso,100.0,,4311.876276401898,-2.1432377717894595,0.5853049755096436,0.30000000000000004,0.0,0.0,0.7,0.1527478883365742,3,10,3,0,7,30
B,1,1,lasso,200.0,,4341.542319561465,-2.158059704409523,0.42347288131713867,0.2,0.0,0.0,0.8,0.1624476392479003,2,10,2,0,8,30
B,1,1,enet,1.0,0.5,4032.9079671479435,-1.901936277516339,0.7925455570220947,1.0,1.0,0.75,0.0,0.004663973120631642,40,10,10,30,0,0
B,1,1,enet,2.0,0.5,4026.3407504938964,-1.9004256977678418,0.8241643905639648,1.0,0.9666666666666667,0.7435897435897436,0.0,0.004376901579665372,39,10,10,29,0,1
B,1,1,enet,5.0,0.5,4021.355848249215,-1.8967039783727222,0.8525295257568359,1.0,0.9333333333333333,0.7368421052631579,0.0,0.003665947663099158,38,10,10,28,0,2
B,1,1,enet,10.0,0.5,3999.828223723866,-1.8926321098743883,0.8707907199859619,1.0,0.8,0.7058823529411765,0.0,0.003015030685656556,34,10,10,24,0,6
B,1,1,enet,20.0,0.5,3966.175850060893,-1.8918279014650738,0.8906803131103516,1.0,0.5333333333333333,0.6153846153846154,0.0,0.003966993723116349,26,10,10,16,0,14
B,1,1,enet,50.0,0.5,4033.494314732148,-1.9625403359432612,0.7425503730773926,1.0,0.1,0.23076923076923078,0.0,0.04335544273968342,13,10,10,3,0,27
B,1,1,enet,100.0,0.5,4219.0749229989315,-2.097455980177664,0.597665548324585,0.4,0.0,0.0,0.6,0.13146710403607448,4,10,4,0,6,30
