example_id,n,Strict_Selection_Rate,Oracle_Eq_Selection_Rate,BIC_is_Best_Pred_Rate,In_Sample_LL_Selected,In_Sample_LL_Oracle,Test_LL_Selected,Test_LL_Oracle
1,500,0.75,0.75,0.23,-913.0339143296792,-917.3103491766537,-1.8683094321464628,-1.8795393844537096
1,1000,0.96,0.96,0.27,-1841.3522564495217,-1851.1829265156193,-1.8536106664327283,-1.8669725764939336
1,1500,0.99,0.99,0.26,-2766.3077283164293,-2781.8603274565326,-1.8525696478737688,-1.8668477192153567
2,500,0.56,0.56,0.47,-551.7280832940978,-556.7638411438288,-1.1326138452795753,-1.1409819184023346
2,1000,0.68,0.68,0.57,-1122.0607434163542,-1128.949509090351,-1.131413385918575,-1.1385335510887704
2,1500,0.81,0.81,0.61,-1679.7378568855718,-1691.165943645251,-1.12437449908166,-1.132540601059279
3,500,0.0,0.48,0.42,-1348.6778202397304,-1365.1283901102843,-2.7243585066742444,-2.7585038046739436
3,1000,0.0,0.88,0.69,-2695.0532284871074,-2733.3019640520656,-2.7097714530219745,-2.750188497893075
3,1500,0.0,0.98,0.72,-4048.8263514117148,-4109.048533633179,-2.705387174186174,-2.746622172329393
4,500,1.0,1.0,0.29,-1206.0746721296955,-1206.1082967241239,-2.443634991191975,-2.4442362804940743
4,1000,0.99,0.99,0.23,-2423.1879553648523,-2423.3569862549584,-2.435795374555811,-2.436222259369932
4,1500,0.99,0.99,0.18,-3642.1411543216436,-3642.2232376114644,-2.432945465572956,-2.43300601936638
