example_id,n,method,Mean_Abs_Bias,Mean_SE,SE_Success,Coverage,CI_Length
1,500,louis,0.07518572455302006,0.09260763361491633,1.0,0.937,0.36301525315743366
1,500,numeric,0.07518572455302006,0.09269338417662924,1.0,0.937,0.36335138918265636
1,1000,louis,0.05212323794720932,0.06480162228206722,1.0,0.948,0.25401769162523996
1,1000,numeric,0.05212323794720932,0.06479592561287052,1.0,0.948,0.2539953610923252
1,1500,louis,0.043887304049273136,0.05437559455110996,1.0,0.952,0.21314841391625583
1,1500,numeric,0.043887304049273136,0.054413804382854536,1.0,0.952,0.21329819370440523
2,500,louis,0.04944952677906737,0.042750867148413176,1.0,0.907,0.16758031983749275
2,500,numeric,0.04944952677906737,0.04275086016783282,1.0,0.907,0.16758029247412054
2,1000,louis,0.036598613642569396,0.030392256122765963,1.0,0.91,0.11913545481907643
2,1000,numeric,0.036598613642569396,0.030392254232457984,1.0,0.91,0.11913544740920531
2,1500,louis,0.03437750585337855,0.02483512657179213,1.0,0.909,0.09735190726441253
2,1500,numeric,0.03437750585337855,0.024835124137596382,1.0,0.909,0.09735189772254055
4,500,louis,0.059902898349877734,0.07148033612461065,1.0,0.943,0.2801977688141084
4,500,numeric,0.059902898349877734,0.07148081807393696,1.0,0.943,0.28019965802075236
4,1000,louis,0.041438541523721964,0.048876093014827704,1.0,0.933,0.19159076402818398
4,1000,numeric,0.041438541523721964,0.04887724419465248,1.0,0.933,0.19159527657017655
4,1500,louis,0.03164738214034036,0.03857523197919925,1.0,0.938,0.15121213074901652
4,1500,numeric,0.03164738214034036,0.038575245014242525,1.0,0.938,0.1512121818454472
