example_id,n,rank,K,families,bic,is_true_structure,is_equiv_structure
1,500,1,2,student_t + gaussian,1902.018793381789,True,True
1,500,2,2,gaussian + gaussian,1907.81764332838,False,False
1,500,3,2,student_t + skew_normal,1908.2334449858604,False,False
1,500,4,2,student_t + student_t,1908.5600920267923,False,True
1,500,5,2,gaussian + student_t,1912.6923232515805,True,True
1,500,6,2,gaussian + skew_normal,1914.0322441335013,False,False
1,500,7,2,skew_normal + gaussian,1914.0322451689499,False,False
1,500,8,2,skew_normal + student_t,1918.9069346177118,False,False
1,500,9,2,skew_normal + skew_normal,1920.2468456982508,False,False
1,500,10,3,student_t + gaussian + gaussian,1937.630171744277,False,False
1,1000,1,2,student_t + gaussian,3814.0892283138614,True,True
1,1000,2,2,student_t + skew_normal,3820.9970355138785,False,False
1,1000,3,2,student_t + student_t,3821.143743624439,False,True
1,1000,4,2,gaussian + student_t,3833.542170577087,True,True
1,1000,5,2,gaussian + gaussian,3836.476653946798,False,False
1,1000,6,2,skew_normal + student_t,3840.450207053831,False,False
1,1000,7,2,gaussian + skew_normal,3843.383494534416,False,False
1,1000,8,2,skew_normal + gaussian,3843.3842810730707,False,False
1,1000,9,2,skew_normal + skew_normal,3850.29111859421,False,False
1,1000,10,3,student_t + gaussian + gaussian,3859.287151068376,False,False
1,1500,1,2,student_t + gaussian,5619.215186274474,True,True
1,1500,2,2,student_t + skew_normal,5626.528602357892,False,False
1,1500,3,2,student_t + student_t,5626.604523250976,False,True
1,1500,4,2,gaussian + gaussian,5647.15421742093,False,False
1,1500,5,2,gaussian + student_t,5651.412583913983,True,True
1,1500,6,2,skew_normal + gaussian,5654.467445497239,False,False
1,1500,7,2,gaussian + skew_normal,5654.467470948792,False,False
1,1500,8,3,student_t + gaussian + gaussian,5654.944924585374,False,False
1,1500,9,2,skew_normal + student_t,5658.72551187448,False,False
1,1500,10,2,skew_normal + skew_normal,5661.78069928168,False,False
2,500,1,2,lognormal + gamma,1239.1432870479973,True,True
2,500,2,2,gamma + lognormal,1239.1432870479973,True,True
2,500,3,2,lognormal + lognormal,1239.9833453815397,False,False
2,500,4,2,inverse_gaussian + lognormal,1241.9060280247134,False,False
2,500,5,2,lognormal + inverse_gaussian,1241.9060280247134,False,False
2,500,6,2,gamma + gamma,1249.4299547663752,False,False
2,500,7,2,gamma + inverse_gaussian,1249.901409162915,False,False
2,500,8,3,inverse_gaussian + inverse_gaussian + inverse_gaussian,1270.826351715892,False,False
2,500,9,3,inverse_gaussian + inverse_gaussian + gamma,1272.1028502275722,False,False
2,500,10,3,inverse_gaussian + gamma + inverse_gaussian,1272.4096887882529,False,False
2,1000,1,2,lognormal + gamma,2416.849523070933,True,True
2,1000,2,2,gamma + lognormal,2416.849523070933,True,True
2,1000,3,2,lognormal + lognormal,2417.0940683208073,False,False
2,1000,4,2,inverse_gaussian + lognormal,2428.7073606258223,False,False
2,1000,5,2,lognormal + inverse_gaussian,2428.7073606258223,False,False
2,1000,6,3,inverse_gaussian + lognormal + lognormal,2439.8300866855384,False,False
2,1000,7,3,gamma + lognormal + inverse_gaussian,2439.92520247533,False,False
2,1000,8,3,inverse_gaussian + lognormal + inverse_gaussian,2451.4733849121603,False,False
2,1000,9,3,lognormal + inverse_gaussian + inverse_gaussian,2451.5193862914375,False,False
2,1000,10,3,inverse_gaussian + inverse_gaussian + lognormal,2451.519387224212,False,False
2,1500,1,2,gamma + lognormal,3436.6247152803917,True,True
2,1500,2,2,lognormal + lognormal,3444.359568362558,False,False
2,1500,3,2,inverse_gaussian + lognormal,3466.018249615442,False,False
2,1500,4,3,lognormal + inverse_gaussian + gamma,3474.8174454850287,False,False
2,1500,5,3,inverse_gaussian + gamma + lognormal,3474.8414140596956,False,False
2,1500,6,3,gamma + lognormal + lognormal,3479.998464765977,False,False
2,1500,7,3,lognormal + gamma + lognormal,3479.998464765977,False,False
2,1500,8,3,inverse_gaussian + lognormal + gamma,3482.5570371633003,False,False
2,1500,9,3,lognormal + lognormal + inverse_gaussian,3482.722041526014,False,False
2,1500,10,3,inverse_gaussian + gamma + gamma,3482.947991812002,False,False
3,500,1,2,poisson + zip,2744.9627717248904,False,False
3,500,2,2,zip + poisson,2744.9940690123117,False,False
3,500,3,2,nb2 + zip,2750.00465668391,False,False
3,500,4,2,zip + zip,2750.9373810077595,False,False
3,500,5,2,zip + nb2,2751.158264982544,False,False
3,500,6,2,nb2 + nb2,2757.6047423908276,False,True
3,500,7,3,poisson + poisson + nb2,2769.433394990128,False,False
3,500,8,3,poisson + poisson + zip,2773.037178335016,False,False
3,500,9,3,poisson + nb2 + poisson,2774.83774096514,False,False
3,500,10,3,nb2 + poisson + poisson,2774.983874727071,False,False
3,1000,1,2,nb2 + nb2,5480.4368214088345,False,True
3,1000,2,3,poisson + nb2 + nb2,5507.04081149564,False,False
3,1000,3,3,zip + poisson + poisson,5511.63533351761,False,False
3,1000,4,3,poisson + zip + poisson,5512.909531053165,False,False
3,1000,5,3,nb2 + nb2 + poisson,5513.744962703301,False,False
3,1000,6,3,nb2 + nb2 + zip,5515.531093224621,False,False
3,1000,7,3,nb2 + poisson + nb2,5517.03638440635,False,False
3,1000,8,3,poisson + poisson + nb2,5517.1004690810805,False,False
3,1000,9,3,poisson + nb2 + poisson,5517.184243562895,False,False
3,1000,10,3,poisson + zip + zip,5519.023753767453,False,False
3,1500,1,2,nb2 + nb2,8300.028161012358,False,True
3,1500,2,2,zip + poisson,8309.577365597306,False,False
3,1500,3,2,poisson + zip,8309.625224559319,False,False
3,1500,4,2,nb2 + zip,8313.717074061513,False,False
3,1500,5,2,zip + nb2,8314.093922214477,False,False
3,1500,6,2,zip + zip,8316.687031743637,False,False
3,1500,7,3,zip + poisson + poisson,8330.05852989324,False,False
3,1500,8,3,poisson + poisson + zip,8332.907979037556,False,False
3,1500,9,3,poisson + zip + nb2,8334.74568941803,False,False
3,1500,10,3,poisson + nb2 + poisson,8334.786843360946,False,False
4,500,1,2,zip + poisson,2460.727258078729,True,True
4,500,2,2,poisson + zip,2460.7416033519776,True,True
4,500,3,2,zip + nb2,2466.0074284615894,False,False
4,500,4,2,zip + zip,2466.9199374570962,False,True
4,500,5,2,nb2 + zip,2466.946814012369,False,False
4,500,6,3,poisson + poisson + nb2,2486.152251188547,False,False
4,500,7,3,poisson + nb2 + poisson,2487.281057020103,False,False
4,500,8,3,poisson + poisson + poisson,2487.737637908646,False,False
4,500,9,3,poisson + poisson + zip,2490.9850058084353,False,False
4,500,10,3,zip + poisson + poisson,2493.079611840038,False,False
4,1000,1,2,poisson + zip,4946.422096716249,True,True
4,1000,2,2,zip + poisson,4946.558956387903,True,True
4,1000,3,2,zip + nb2,4953.415823793074,False,False
4,1000,4,2,zip + zip,4953.42560545997,False,True
4,1000,5,2,nb2 + zip,4954.923568763188,False,False
