criterion,example_id,n,K,families,count,avg_rank,avg_bic,true_hits,equiv_hits
BIC,1,500,2,student_t + gaussian,100,1.33,1912.4631898150378,100,100
BIC,1,500,2,student_t + student_t,100,3.76,1918.2976389466746,0,100
BIC,1,500,2,student_t + skew_normal,100,3.92,1918.67731364065,0,0
BIC,1,500,2,gaussian + student_t,100,4.11,1921.6252117312179,100,100
BIC,1,500,2,skew_normal + student_t,100,6.91,1927.800090214377,0,0
BIC,1,500,2,gaussian + gaussian,87,3.4482758620689653,1919.2302445749,0,0
BIC,1,500,2,gaussian + skew_normal,83,6.0843373493975905,1924.4876498527708,0,0
BIC,1,500,2,skew_normal + gaussian,82,6.085365853658536,1923.975380258507,0,0
BIC,1,500,2,skew_normal + skew_normal,72,8.722222222222221,1925.5990706369969,0,0
BIC,1,500,3,student_t + gaussian + gaussian,53,8.641509433962264,1949.5834405330456,0,0
BIC,1,1000,2,student_t + gaussian,100,1.1,3779.432675421113,100,100
BIC,1,1000,2,student_t + student_t,100,2.64,3785.7980666379776,0,100
BIC,1,1000,2,student_t + skew_normal,100,2.96,3786.3400470273527,0,0
BIC,1,1000,2,gaussian + student_t,100,4.36,3799.0744269369884,100,100
BIC,1,1000,2,skew_normal + student_t,97,6.453608247422681,3805.4347040951816,0,0
BIC,1,1000,3,student_t + gaussian + gaussian,86,8.267441860465116,3822.515501344,0,0
BIC,1,1000,2,gaussian + gaussian,75,4.666666666666667,3795.5686003610117,0,0
BIC,1,1000,2,gaussian + skew_normal,69,6.811594202898551,3799.3889493313413,0,0
BIC,1,1000,2,skew_normal + gaussian,69,6.971014492753623,3799.389082548152,0,0
BIC,1,1000,2,skew_normal + skew_normal,58,8.96551724137931,3806.9082076711984,0,0
BIC,1,1500,2,student_t + gaussian,100,1.01,5634.928433928271,100,100
BIC,1,1500,2,student_t + student_t,100,2.43,5641.59291889967,0,100
BIC,1,1500,2,student_t + skew_normal,100,2.7,5642.241685039206,0,0
BIC,1,1500,3,student_t + gaussian + gaussian,96,7.208333333333333,5683.414086450674,0,0
BIC,1,1500,2,gaussian + student_t,95,4.652631578947369,5664.096468923201,95,95
BIC,1,1500,2,skew_normal + student_t,88,6.215909090909091,5668.398952005798,0,0
BIC,1,1500,2,gaussian + gaussian,58,5.120689655172414,5660.158360564314,0,0
BIC,1,1500,3,student_t + gaussian + student_t,50,7.88,5700.4381261245835,0,0
BIC,1,1500,3,student_t + student_t + gaussian,50,7.9,5693.260529788015,0,0
BIC,1,1500,2,skew_normal + gaussian,48,6.916666666666667,5663.853030594158,0,0
BIC,2,500,2,lognormal + lognormal,100,2.35,1186.0423477570887,0,0
BIC,2,500,2,gamma + lognormal,96,2.90625,1188.8588224851685,96,96
BIC,2,500,2,lognormal + inverse_gaussian,94,4.553191489361702,1194.1757538944537,0,0
BIC,2,500,2,lognormal + gamma,90,2.1333333333333333,1188.4914805683607,90,90
BIC,2,500,2,inverse_gaussian + lognormal,87,4.114942528735632,1198.8125744043407,0,0
BIC,2,500,2,inverse_gaussian + gamma,76,5.973684210526316,1201.9314661988828,0,0
BIC,2,500,2,gamma + inverse_gaussian,73,6.4520547945205475,1198.6544443338912,0,0
BIC,2,500,2,gamma + gamma,61,6.19672131147541,1205.1221406192494,0,0
BIC,2,500,2,inverse_gaussian + inverse_gaussian,44,7.431818181818182,1193.086134863013,0,0
BIC,2,500,3,inverse_gaussian + lognormal + lognormal,25,8.92,1177.3438115359181,0,0
BIC,2,1000,2,lognormal + lognormal,100,2.25,2335.8777127471017,0,0
BIC,2,1000,2,gamma + lognormal,84,2.261904761904762,2337.5395135039907,84,84
BIC,2,1000,2,inverse_gaussian + lognormal,81,3.753086419753086,2348.550874703231,0,0
BIC,2,1000,2,lognormal + inverse_gaussian,81,4.185185185185185,2346.6848028977106,0,0
BIC,2,1000,2,lognormal + gamma,76,1.6842105263157894,2343.2796344188087,76,76
BIC,2,1000,3,lognormal + gamma + lognormal,43,7.813953488372093,2385.2203795476607,0,0
BIC,2,1000,2,inverse_gaussian + gamma,39,5.9743589743589745,2325.291737332492,0,0
BIC,2,1000,3,lognormal + lognormal + gamma,38,7.368421052631579,2383.8242637377807,0,0
BIC,2,1000,2,gamma + inverse_gaussian,33,6.424242424242424,2322.3633118598877,0,0
BIC,2,1000,3,lognormal + gamma + inverse_gaussian,30,7.4,2343.327288552689,0,0
BIC,2,1500,2,lognormal + lognormal,100,2.27,3457.506999594026,0,0
BIC,2,1500,2,lognormal + inverse_gaussian,84,4.226190476190476,3474.0654255058316,0,0
BIC,2,1500,2,gamma + lognormal,76,1.7894736842105263,3456.234467229966,76,76
BIC,2,1500,2,inverse_gaussian + lognormal,74,3.6216216216216215,3473.0783454509497,0,0
BIC,2,1500,2,lognormal + gamma,71,1.2112676056338028,3467.763966182078,71,71
BIC,2,1500,3,gamma + lognormal + lognormal,55,7.036363636363636,3484.2682689090575,0,0
BIC,2,1500,3,lognormal + gamma + lognormal,49,7.36734693877551,3479.5495172786577,0,0
BIC,2,1500,3,lognormal + lognormal + gamma,47,7.23404255319149,3505.973235651204,0,0
BIC,2,1500,3,lognormal + lognormal + lognormal,41,7.2439024390243905,3531.0089863489607,0,0
BIC,2,1500,3,lognormal + gamma + inverse_gaussian,37,7.108108108108108,3514.6421360424793,0,0
BIC,3,500,2,nb2 + nb2,100,2.65,2777.566106273321,0,100
BIC,3,500,2,poisson + zip,97,2.2577319587628866,2780.1273382377726,0,0
BIC,3,500,2,nb2 + zip,95,4.863157894736842,2784.4776197496462,0,0
BIC,3,500,2,zip + poisson,94,2.4148936170212765,2779.6767879591835,0,0
BIC,3,500,2,zip + nb2,94,4.75531914893617,2785.161196778985,0,0
BIC,3,500,2,zip + zip,91,5.747252747252747,2784.3411769492404,0,0
BIC,3,500,2,poisson + poisson,56,6.625,2783.963921277524,0,0
BIC,3,500,3,nb2 + poisson + poisson,39,8.307692307692308,2798.180752004198,0,0
BIC,3,500,3,poisson + poisson + poisson,38,7.657894736842105,2801.6197206624306,0,0
BIC,3,500,2,poisson + nb2,38,8.0,2789.0777954705386,38,38
BIC,3,1000,2,nb2 + nb2,100,1.31,5479.651711723587,0,100
BIC,3,1000,2,zip + poisson,93,2.752688172043011,5490.880770344519,0,0
BIC,3,1000,2,poisson + zip,89,2.7865168539325844,5488.253621333865,0,0
BIC,3,1000,2,zip + zip,86,5.941860465116279,5494.734867032378,0,0
BIC,3,1000,2,zip + nb2,85,4.670588235294118,5494.825385592167,0,0
BIC,3,1000,2,nb2 + zip,85,4.976470588235294,5494.9870736556095,0,0
BIC,3,1000,3,nb2 + nb2 + poisson,38,7.7631578947368425,5523.272077917078,0,0
BIC,3,1000,3,zip + poisson + poisson,36,7.083333333333333,5511.028324449124,0,0
BIC,3,1000,3,poisson + nb2 + nb2,33,7.090909090909091,5506.372224513634,0,0
BIC,3,1000,3,nb2 + poisson + nb2,33,7.545454545454546,5519.063465103687,0,0
BIC,3,1500,2,nb2 + nb2,100,1.04,8192.634316922542,0,100
BIC,3,1500,2,zip + poisson,71,3.267605633802817,8205.73003879716,0,0
BIC,3,1500,2,poisson + zip,70,3.0142857142857142,8202.840477091193,0,0
BIC,3,1500,3,nb2 + poisson + nb2,59,6.338983050847458,8244.710266337479,0,0
BIC,3,1500,2,zip + nb2,57,4.982456140350878,8199.589806935524,0,0
BIC,3,1500,2,zip + zip,56,6.25,8204.694566553484,0,0
BIC,3,1500,2,nb2 + zip,55,4.581818181818182,8199.925827766063,0,0
BIC,3,1500,3,poisson + nb2 + nb2,54,6.351851851851852,8237.50099900865,0,0
BIC,3,1500,3,nb2 + nb2 + poisson,53,6.509433962264151,8241.22405216353,0,0
BIC,3,1500,3,zip + poisson + poisson,36,5.833333333333333,8229.301507450316,0,0
BIC,4,500,2,poisson + zip,100,1.58,2486.89189226585,100,100
BIC,4,500,2,nb2 + zip,99,3.757575757575758,2492.241697337345,0,0
BIC,4,500,2,zip + zip,99,4.444444444444445,2492.1061432758966,0,99
