criterion,example_id,n,K,families,count,avg_rank,avg_bic,true_hits,equiv_hits
BIC,3,1500,2,nb2 + nb2,100,1.04,8192.634316922542,0,100
BIC,3,1500,2,zip + poisson,71,3.267605633802817,8205.73003879716,0,0
BIC,3,1500,2,poisson + zip,70,3.0142857142857142,8202.840477091193,0,0
BIC,3,1500,3,nb2 + poisson + nb2,59,6.338983050847458,8244.710266337479,0,0
BIC,3,1500,2,zip + nb2,57,4.982456140350878,8199.589806935524,0,0
BIC,3,1500,2,zip + zip,56,6.25,8204.694566553484,0,0
BIC,3,1500,2,nb2 + zip,55,4.581818181818182,8199.925827766063,0,0
BIC,3,1500,3,poisson + nb2 + nb2,54,6.351851851851852,8237.50099900865,0,0
BIC,3,1500,3,nb2 + nb2 + poisson,53,6.509433962264151,8241.22405216353,0,0
BIC,3,1500,3,zip + poisson + poisson,36,5.833333333333333,8229.301507450316,0,0
